Date,ADS Index,Previous ADS Index,ADS_Change,EPU Index,Previous EPU Index,EPU_Change,Price,Previous Week Price,% FTSE100 Change,Previous Week % FTSE100 Change,Next Week % FTSE100 Change,MSCI Previous Week Price,Previous Week % MSCI Change,% MSCI Change,Close,Vix Close,SWAV,SWAV_lagged,Change in SWAV,Stringency_Change,Covid_Stringency,Last_Week_Covid_Stringency,Cloud_Cover,7D_Rolling_Avg_Cloud_Cover,DCC,Previous_Day_DCC,Change_in_DCC,7D_Rolling_Avg_Change_in_DCC,% FTSE250 Change,Previous Week % FTSE250 Change,% FTSEAllShare Change,Previous Week % FTSEAllShare Change,% FTSESmallCap Change,Previous Week % FTSESmallCap Change,% MSCIUK Change,Previous Week % MSCIUK Change,Month,% GILT2 Change,Previous Week % GILT2 Change,Next Week % GILT2 Change,% FTSEAIM Change,Previous Week % FTSEAIM Change,Next Week % FTSEAIM Change,TED
2017-01-24,-0.17201,-5.17e-05,-0.1719583,284.23,472.86,-188.63,7150.34,7337.81,-2.55,2.06,-0.13,1788.23,0.8,0.13,11.07,11.07,0.5211406030461032,0.5342361646422114,-0.0130955615961081,0.0,0.0,0.0,99.2,85.2,14.0,-15.61428571428572,29.61428571428572,6.4510204081632665,-1.48,1.22,-2.32,1.91,-0.73,1.58,0.61,1.46,1.0,-4.35,54.62,-32.95,0.12,2.63,1.72,0.53
2017-01-25,-0.185643,-0.0547437,-0.1308993,473.08,669.4,-196.32,7164.43,7327.13,-2.22,1.83,0.33,1783.76,0.07,1.24,10.81,10.81,0.5209658918890446,0.5150642704940941,0.0059016213949505,0.0,0.0,0.0,2.1,71.4,-69.30000000000001,14.0,-83.30000000000001,-14.19591836734694,-0.95,-0.0,-1.97,1.53,-0.67,1.65,1.4,0.71,1.0,15.23,-28.77,-39.66,-0.06,2.07,2.1,0.55
2017-01-26,-0.199419,-0.0716684,-0.1277506,301.63,786.23,-484.6,7161.49,7220.38,-0.82,0.14,0.15,1782.86,-0.01,1.17,10.63,10.63,0.5295629150075346,0.5191033019874751,0.0104596130200594,0.0,0.0,0.0,25.7,61.04285714285714,-35.34285714285714,-69.30000000000001,33.95714285714287,-9.310204081632651,-0.54,-0.55,-0.76,0.06,-0.55,0.9,0.83,0.16,1.0,7.26,-17.13,-46.88,0.4,1.06,2.33,0.54
2017-01-27,-0.213345,-0.0878426,-0.1255024,229.52,565.27,-335.75,7184.49,7247.61,-0.87,0.14,0.02,1785.69,0.49,0.99,10.58,10.58,0.5391225513100576,0.5184046451463685,0.020717906163689,0.0,0.0,0.0,31.9,55.385714285714286,-23.485714285714288,-35.34285714285714,11.857142857142854,-3.2959183673469394,-0.67,-0.36,-0.82,0.04,-0.22,-0.2,1.12,0.35,1.0,-19.29,8.84,-27.04,0.93,0.68,2.22,0.53
2017-01-30,-0.256186,-0.103273,-0.152913,329.56,377.29,-47.73000000000002,7118.48,7208.44,-1.25,-0.92,0.99,1776.02,-0.2,0.9,11.88,11.88,0.5226249462003137,0.5228388666923841,-0.0002139204920703,0.0,0.0,0.0,70.1,53.957142857142856,16.14285714285714,-23.485714285714288,39.62857142857143,0.8755102040816334,-0.78,-1.03,-1.15,-0.91,-0.58,-0.14,0.39,0.87,1.0,-29.81,-0.48,-34.93,1.11,0.3,1.8,0.52
2017-01-31,-0.270986,-0.117964,-0.153022,357.73,540.56,-182.82999999999996,7099.15,7198.44,-1.38,-1.26,1.84,1782.71,0.26,0.54,11.99,11.99,0.5207882360464333,0.5423589951272529,-0.0215707590808196,0.0,0.0,0.0,100.0,55.41428571428571,44.58571428571429,16.14285714285714,28.44285714285715,4.489795918367348,-0.02,-1.32,-1.14,-1.24,-0.69,-0.47,0.9,0.65,1.0,-32.12,8.43,-31.3,1.15,0.38,1.79,0.51
2017-02-01,-0.286076,-0.158516,-0.12756,453.06,399.44,53.620000000000005,7107.65,7151.18,-0.61,-1.94,2.13,1781.43,-0.11,0.67,11.81,11.81,0.5234199216214139,0.5247075395731547,-0.0012876179517408,0.0,0.0,0.0,51.1,54.3,-3.199999999999996,44.58571428571429,-47.785714285714285,1.7734693877551035,0.69,-1.02,-0.38,-1.73,-0.05,-0.31,0.48,0.8,2.0,-3.33,-7.98,-44.14,1.49,0.38,1.57,0.53
2017-02-02,-0.300418,-0.17201,-0.128408,286.6,284.23,2.3700000000000045,7140.75,7150.34,-0.13,-2.55,1.93,1790.57,0.13,0.25,11.93,11.93,0.5338635830070974,0.5211406030461032,0.0127229799609941,0.0,0.0,0.0,90.7,53.08571428571429,37.614285714285714,-3.199999999999996,40.81428571428571,3.373469387755102,0.88,-1.48,0.04,-2.32,0.12,-0.73,0.06,0.61,2.0,-32.95,-4.35,-12.71,1.72,0.12,1.16,0.52
2017-02-03,-0.314018,-0.185643,-0.128375,568.11,473.08,95.03000000000004,7188.3,7164.43,0.33,-2.22,1.12,1805.81,1.24,-0.02,10.97,10.97,0.5374839892118578,0.5209658918890446,0.0165180973228131,0.0,0.0,0.0,80.5,64.28571428571429,16.214285714285708,37.614285714285714,-21.40000000000001,12.216326530612246,1.53,-0.95,0.53,-1.97,0.46,-0.67,-0.85,1.4,2.0,-39.66,15.23,-10.48,2.1,-0.06,1.01,0.53
2017-02-06,-0.349815,-0.199419,-0.1503959999999999,654.0,301.63,352.37,7172.15,7161.49,0.15,-0.82,1.82,1803.75,1.17,-0.31,11.37,11.37,0.5183599941711563,0.5295629150075346,-0.0112029208363783,0.0,0.0,0.0,93.6,73.98571428571428,19.614285714285717,16.214285714285708,3.4000000000000057,7.851020408163265,1.29,-0.54,0.35,-0.76,0.7,-0.55,-0.82,0.83,2.0,-34.93,-29.81,28.42,2.33,0.4,1.19,0.51
2017-02-07,-0.359288,-0.213345,-0.145943,447.32,229.52,217.8,7186.22,7184.49,0.02,-0.87,1.28,1803.39,0.99,-0.34,11.29,11.29,0.5230289344745683,0.5391225513100576,-0.0160936168354892,0.0,0.0,0.0,62.7,78.38571428571429,-15.685714285714283,19.614285714285717,-35.3,1.114285714285715,2.03,-0.67,0.39,-0.82,1.32,-0.22,-0.25,1.12,2.0,-31.3,-32.12,18.89,2.22,0.93,0.66,0.51
2017-02-08,-0.367437,-0.256186,-0.1112509999999999,433.78,329.56,104.21999999999996,7188.82,7118.48,0.99,-1.25,1.55,1792.06,0.9,0.57,11.45,11.45,0.5189452770294288,0.5226249462003137,-0.0036796691708849,0.0,0.0,0.0,79.2,79.68571428571428,-0.4857142857142804,-15.685714285714283,15.200000000000005,-2.3755102040816314,2.9,-0.78,1.31,-1.15,1.59,-0.58,1.06,0.39,2.0,-44.14,-3.33,22.22,1.8,1.11,1.12,0.5
2017-02-09,-0.374265,-0.270986,-0.103279,330.64,357.73,-27.090000000000032,7229.5,7099.15,1.84,-1.38,0.97,1792.4,0.54,0.84,10.88,10.88,0.5175460469337652,0.5207882360464333,-0.0032421891126681,0.0,0.0,0.0,43.9,71.67142857142856,-27.771428571428565,-0.4857142857142804,-27.285714285714285,-10.33673469387755,2.64,-0.02,1.96,-1.14,1.76,-0.69,0.92,0.9,2.0,-12.71,-32.95,-14.56,1.79,1.15,0.94,0.5
2017-02-10,-0.379775,-0.286076,-0.0936989999999999,432.07,453.06,-20.99000000000001,7258.75,7107.65,2.13,-0.61,0.22,1793.39,0.67,1.19,10.85,10.85,0.5321441486070851,0.5234199216214139,0.0087242269856712,0.0,0.0,0.0,41.9,70.35714285714286,-28.457142857142863,-27.771428571428565,-0.6857142857142975,-3.608163265306124,2.61,0.69,2.19,-0.38,1.8,-0.05,0.73,0.48,2.0,-10.48,-39.66,-8.51,1.57,1.49,0.96,0.5
2017-02-13,-0.38837,-0.300418,-0.0879519999999999,395.64,286.6,109.03999999999996,7278.92,7140.75,1.93,-0.13,0.32,1795.11,0.25,1.57,11.07,11.07,0.5226658775745696,0.5338635830070974,-0.0111977054325277,0.0,0.0,0.0,62.0,66.25714285714285,-4.257142857142853,-28.457142857142863,24.20000000000001,-5.981632653061225,2.74,0.88,2.07,0.04,2.06,0.12,1.68,0.06,2.0,2.59,-27.04,-14.29,1.16,1.72,1.01,0.52
2017-02-14,-0.388532,-0.314018,-0.0745139999999999,531.1,568.11,-37.00999999999999,7268.56,7188.3,1.12,0.33,0.04,1805.51,-0.02,1.0,10.74,10.74,0.4955878945487347,0.5374839892118578,-0.0418960946631231,0.0,0.0,0.0,30.5,59.11428571428571,-28.614285714285707,-4.257142857142853,-24.35714285714285,-6.404081632653059,2.04,1.53,1.28,0.53,1.44,0.46,1.33,-0.85,2.0,28.42,-34.93,-36.89,1.01,2.1,0.78,0.5
2017-02-15,-0.387336,-0.349815,-0.037521,650.34,654.0,-3.659999999999968,7302.41,7172.15,1.82,0.15,-0.8,1798.21,-0.31,1.97,11.97,11.97,0.516120209198319,0.5183599941711563,-0.0022397849728372,0.0,0.0,0.0,94.3,59.21428571428572,35.08571428571428,-28.614285714285707,63.69999999999999,2.2102040816326527,2.45,1.29,1.91,0.35,1.64,0.7,2.01,-0.82,2.0,18.89,-31.3,-11.21,1.19,2.33,0.14,0.51
2017-02-16,-0.38478,-0.359288,-0.025492,370.82,447.32,-76.5,7277.92,7186.22,1.28,0.02,-0.34,1797.29,-0.34,2.18,11.76,11.76,0.5381990455895015,0.5230289344745683,0.0151701111149331,0.0,0.0,0.0,68.2,60.0,8.200000000000003,35.08571428571428,-26.88571428571428,3.412244897959184,0.79,2.03,1.19,0.39,1.07,1.32,1.71,-0.25,2.0,22.22,-44.14,-5.05,0.66,2.22,0.2,0.54
2017-02-17,-0.380864,-0.367437,-0.0134269999999999,415.57,433.78,-18.20999999999998,7299.96,7188.82,1.55,0.99,-0.5,1802.26,0.57,1.9,11.49,11.49,0.5250010438532863,0.5189452770294288,0.0060557668238574,0.0,0.0,0.0,93.9,62.1,31.800000000000004,8.200000000000003,23.6,4.612244897959184,0.55,2.9,1.37,1.31,1.06,1.59,1.14,1.06,2.0,-14.56,-12.71,14.77,1.12,1.8,-0.08,0.53
