Date,ADS_Change,EPU_Change,Stringency_Change,Rolling_Avg_Change_in_DCC,% FTSE100 Change,Previous % FTSE100 Change,Next % FTSE100 Change,% FTSE250 Change,Previous % FTSE250 Change,Next % FTSE250 Change,% FTSEAIM Change,Previous % FTSEAIM Change,Next % FTSEAIM Change,% FTSEAllShare Change,Previous % FTSEAllShare Change,Next % FTSEAllShare Change,% FTSESmallCap Change,Previous % FTSESmallCap Change,Next % FTSESmallCap Change,% MSCI Change,Previous % MSCI Change,Next % MSCI Change,% MSCIUK Change,Previous % MSCIUK Change,Next % MSCIUK Change,% GILT2 Change,Previous % GILT2 Change,Next % GILT2 Change,Close,Vix Close,SWAV,SWAV_lagged,Change in SWAV,% Barc Change,Previous % Barc Change,Next % Barc Change,% Voda Change,Previous % Voda Change,Next % Voda Change,% BP Change,Previous % BP Change,Next % BP Change,% Glen Change,Previous % Glen Change,Next % Glen Change,% LLoyds Change,Previous % LLoyds Change,Next % LLoyds Change
2017-02-01,-0.1982334,-112.20999999999998,0.0,-1.5559999999999996,-1.93,0.8,2.74,-0.4,0.89,3.22,1.56,2.53,2.27,-1.63,0.83,2.81,-0.19,1.03,2.52,0.43,0.66,2.24,1.18,1.36,1.27,-26.4,65.55,-35.17,11.81,11.81,0.5234199216214139,0.5184046451463685,0.0050152764750454,-2.42,-3.15,7.72,-7.03,0.92,2.2,-6.37,-2.73,-3.25,2.79,12.36,-0.03,0.36,0.64,3.13
2017-02-02,-0.197145,-90.69,0.0,2.1670000000000003,-0.94,0.18,1.92,0.19,-0.46,2.45,2.04,1.66,1.86,-0.73,0.11,2.02,-0.1,0.95,2.25,1.07,-0.36,2.31,1.06,0.1,1.81,-43.27,-1.89,0.85,11.93,11.93,0.5338635830070974,0.5228388666923841,0.0110247163147132,-3.04,-1.83,7.52,-6.26,-1.6,2.64,-5.3,-3.51,-5.14,2.81,8.68,-0.15,0.22,0.14,3.65
2017-02-03,-0.196054,27.550000000000068,0.0,0.1680000000000006,-0.14,-0.16,1.55,1.44,-1.04,1.61,2.3,1.22,1.6,0.13,-0.28,1.56,0.38,0.5,1.59,1.28,-0.02,1.72,1.06,-0.48,1.43,-45.6,-10.65,16.19,10.97,10.97,0.5374839892118578,0.5423589951272529,-0.0048750059153951,0.64,-3.34,3.56,-5.8,-2.51,2.01,-3.96,-3.14,-6.81,-2.78,10.36,3.21,1.21,-1.27,1.53
2017-02-06,-0.191299,254.56,0.0,4.343,0.29,-1.2,1.78,1.44,-1.43,2.01,2.57,0.74,1.31,0.49,-1.2,1.81,0.81,-0.34,1.45,0.94,0.25,2.14,-0.25,1.06,2.1,-45.4,-2.25,-7.37,11.37,11.37,0.5183599941711563,0.5247075395731547,-0.0063475454019984,1.29,-4.08,4.44,-5.09,-2.28,2.93,-2.18,-5.13,-6.58,-2.99,7.26,5.21,2.58,-1.25,1.95
2017-02-07,-0.187278,163.08999999999995,0.0,-2.349000000000001,0.5,-1.72,1.23,2.54,-1.7,1.15,2.94,0.61,0.93,0.85,-1.67,1.21,1.29,-0.36,1.11,0.38,0.62,2.55,0.16,1.88,1.75,-53.12,17.79,-4.44,11.29,11.29,0.5230289344745683,0.5211406030461032,0.0018883314284651,-1.14,-3.22,4.38,-3.46,-5.18,4.26,-6.66,-4.3,-1.38,-2.77,6.41,3.24,3.01,-3.57,0.96
2017-02-08,-0.181794,-39.30000000000001,0.0,7.822,0.34,-1.73,1.58,2.61,-1.42,0.38,2.58,0.58,1.29,0.72,-1.64,1.36,0.99,-0.56,0.96,-0.2,1.55,2.23,-0.57,2.58,2.09,-49.06,-13.59,22.22,11.45,11.45,0.5189452770294288,0.5209658918890446,-0.0020206148596157,-2.56,-1.43,4.53,1.56,-9.48,2.99,-6.58,-4.92,-1.81,-4.56,5.49,4.37,0.06,-1.2,6.28
2017-02-09,-0.174846,29.00999999999999,0.0,1.2690000000000012,0.95,-1.79,0.58,2.67,-0.88,0.09,2.71,0.62,1.14,1.23,-1.59,0.5,1.2,-0.2,0.56,0.21,1.14,2.09,0.35,1.38,0.76,-29.45,-3.31,-0.97,10.88,10.88,0.5175460469337652,0.5295629150075346,-0.0120168680737694,-1.21,0.04,-0.22,3.43,-10.19,1.58,-5.5,-5.82,-1.81,-2.57,2.54,6.13,-0.03,0.2,5.15
2017-02-10,-0.1664299999999999,202.55,0.0,0.4240000000000002,1.03,-2.09,-0.21,2.88,-0.99,-0.68,2.2,0.83,0.83,1.36,-1.87,-0.28,1.83,-0.76,-0.21,0.63,0.85,1.44,0.79,1.02,0.47,-28.24,-26.82,-18.09,10.85,10.85,0.5321441486070851,0.5391225513100576,-0.0069784027029724,-0.85,-1.98,-1.2,2.25,-9.94,2.6,-5.59,-6.02,-2.72,-2.02,3.36,2.11,-0.35,-0.26,5.54
2017-02-13,-0.1321839999999999,66.07999999999998,0.0,-1.5909999999999989,2.25,-2.85,-0.36,3.74,-1.23,-0.47,2.09,0.7,0.9,2.5,-2.54,-0.38,2.55,-1.26,-0.42,1.75,0.47,1.0,2.37,-0.22,-0.28,0.85,-43.27,-21.01,11.07,11.07,0.5226658775745696,0.5226249462003137,4.0931374255870345e-05,4.01,-3.33,-3.16,0.13,-6.91,2.7,-3.46,-7.13,-1.76,2.3,-0.11,-0.99,1.46,0.33,5.08
2017-02-14,-0.1175459999999999,173.37,0.0,-7.018000000000001,2.39,-1.68,-0.07,3.53,-0.51,-0.09,2.15,1.31,0.51,2.57,-1.47,-0.11,2.54,-1.09,-0.95,1.74,0.54,0.83,1.49,0.26,0.44,16.19,-45.6,-17.21,10.74,10.74,0.4955878945487347,0.5207882360464333,-0.0252003414976986,7.2,-5.25,-3.72,0.87,-6.41,2.98,-2.82,-5.81,-1.29,-0.02,3.57,-1.33,2.41,-0.8,3.29
