Date,ADS_Change,EPU_Change,Stringency_Change,Rolling_Avg_Change_in_DCC,% FTSE100 Change,Previous % FTSE100 Change,Next % FTSE100 Change,% FTSE250 Change,Previous % FTSE250 Change,Next % FTSE250 Change,% FTSEAIM Change,Previous % FTSEAIM Change,Next % FTSEAIM Change,% FTSEAllShare Change,Previous % FTSEAllShare Change,Next % FTSEAllShare Change,% FTSESmallCap Change,Previous % FTSESmallCap Change,Next % FTSESmallCap Change,% MSCI Change,Previous % MSCI Change,Next % MSCI Change,% MSCIUK Change,Previous % MSCIUK Change,Next % MSCIUK Change,% GILT2 Change,Previous % GILT2 Change,Next % GILT2 Change,Close,Vix Close,TED,Previous TED,TED_Change,SWAV,SWAV_lagged,Change in SWAV,% Barc Change,Previous % Barc Change,Next % Barc Change,% Voda Change,Previous % Voda Change,Next % Voda Change,% BP Change,Previous % BP Change,Next % BP Change,% Glen Change,Previous % Glen Change,Next % Glen Change,% LLoyds Change,Previous % LLoyds Change,Next % LLoyds Change,festive
2017-01-20,-0.1179123,67.69999999999993,0.0,0.0,-1.9,1.77,-0.19,-1.2,0.17,0.22,-0.04,1.26,0.87,-1.74,1.49,-0.13,-0.42,0.92,-0.34,-0.31,0.29,1.16,-0.51,0.67,1.32,4.89,-13.21,-17.62,11.54,11.54,0.55,0.5,0.05,0.5423589951272529,0.5342361646422114,0.0081228304850415,-3.34,0.0,1.41,-4.03,1.59,-6.16,-3.79,0.68,-2.32,0.52,9.79,2.83,-1.48,0.21,1.24,1
2017-01-27,-0.095381,-311.04,0.0,0.0,-0.19,-1.9,0.05,0.22,-1.2,1.21,0.87,-0.04,1.41,-0.13,-1.74,0.26,-0.34,-0.42,0.72,1.16,-0.31,0.12,1.32,-0.51,-0.25,-17.62,4.89,-33.96,10.58,10.58,0.53,0.55,-0.02,0.5391225513100576,0.5423589951272529,-0.0032364438171953,1.41,-3.34,-0.76,-6.16,-4.03,0.39,-2.32,-3.79,-1.68,2.83,0.52,-5.45,1.24,-1.48,-0.03,1
2017-02-03,-0.100673,338.59000000000003,0.0,0.0,0.05,-0.19,0.98,1.21,0.22,1.65,1.41,0.87,0.78,0.26,-0.13,1.09,0.72,-0.34,1.1,0.12,1.16,0.51,-0.25,1.32,1.05,-33.96,-17.62,-10.48,10.97,10.97,0.53,0.53,0.0,0.5374839892118578,0.5391225513100576,-0.0016385620981997,-0.76,1.41,-0.09,0.39,-6.16,1.85,-1.68,-2.32,-3.97,-5.45,2.83,3.63,-0.03,1.24,-0.32,0
2017-02-10,-0.0657569999999999,-136.04000000000002,0.0,0.0,0.98,0.05,0.57,1.65,1.21,-0.04,0.78,1.41,0.82,1.09,0.26,0.47,1.1,0.72,0.48,0.51,0.12,1.2,1.05,-0.25,0.38,-10.48,-33.96,-6.38,10.85,10.85,0.5,0.53,-0.03,0.5321441486070851,0.5374839892118578,-0.0053398406047726,-0.09,-0.76,3.65,1.85,0.39,0.15,-3.97,-1.68,-2.96,3.63,-5.45,-0.4,-0.32,-0.03,1.86,0
2017-02-17,-0.001089,-16.5,0.0,0.0,0.57,0.98,-0.77,-0.04,1.65,-0.64,0.82,0.78,0.01,0.47,1.09,-0.75,0.48,1.1,-0.69,1.2,0.51,0.23,0.38,1.05,0.09,-6.38,-10.48,6.82,11.49,11.49,0.53,0.5,0.03,0.5250010438532863,0.5321441486070851,-0.0071431047537988,3.65,-0.09,-4.68,0.15,1.85,2.45,-2.96,-3.97,0.25,-0.4,3.63,2.52,1.86,-0.32,3.62,0
2017-02-24,0.0523779999999999,10.840000000000032,0.0,0.0,-0.77,0.57,1.8,-0.64,-0.04,1.58,0.01,0.82,0.77,-0.75,0.47,1.73,-0.69,0.48,0.88,0.23,1.2,0.44,0.09,0.38,0.16,6.82,-6.38,-2.13,11.47,11.47,0.54,0.53,0.01,0.5202756511105983,0.5250010438532863,-0.004725392742688,-4.68,3.65,2.43,2.45,0.15,-0.32,0.25,-2.96,3.79,2.52,-0.4,3.28,3.62,1.86,-1.24,0
2017-03-03,0.093651,-174.18000000000004,0.0,0.0,1.8,-0.77,-0.42,1.58,-0.64,0.42,0.77,0.01,0.12,1.73,-0.75,-0.27,0.88,-0.69,0.05,0.44,0.23,-0.17,0.16,0.09,-1.16,-2.13,6.82,5.43,10.96,10.96,0.4,0.54,-0.14,0.5464701296827986,0.5202756511105983,0.0261944785722003,2.43,-4.68,0.19,-0.32,2.45,0.82,3.79,0.25,1.43,3.28,2.52,-8.19,-1.24,3.62,0.5,0
2017-03-10,0.1107679999999999,92.33,0.0,0.0,-0.42,1.8,1.12,0.42,1.58,0.7,0.12,0.77,1.22,-0.27,1.73,1.05,0.05,0.88,1.03,-0.17,0.44,0.93,-1.16,0.16,3.16,5.43,-2.13,-12.37,11.66,11.66,0.39,0.4,-0.01,0.5450747832649959,0.5464701296827986,-0.0013953464178027,0.19,2.43,-0.63,0.82,-0.32,3.7,1.43,3.79,-1.64,-8.19,3.28,10.22,0.5,-1.24,0.84,0
2017-03-17,0.0930005999999999,-2.069999999999993,0.0,0.0,1.12,-0.42,-1.19,0.7,0.42,-0.6,1.22,0.12,-1.01,1.05,-0.27,-1.07,1.03,0.05,-0.65,0.93,-0.17,-0.93,3.16,-1.16,-0.58,-12.37,5.43,94.12,11.28,11.28,0.43,0.39,0.0399999999999999,0.5436872478986875,0.5450747832649959,-0.0013875353663084,-0.63,0.19,-1.5,3.7,0.82,0.09,-1.64,1.43,-2.41,10.22,-8.19,-6.59,0.84,0.5,-1.86,0
2017-03-24,0.0945099,-30.370000000000005,0.0,0.0,-1.19,1.12,-0.19,-0.6,0.7,-0.05,-1.01,1.22,1.26,-1.07,1.05,-0.13,-0.65,1.03,0.95,-0.93,0.93,0.43,-0.58,3.16,0.25,94.12,-12.37,-22.42,12.96,12.96,0.38,0.43,-0.0499999999999999,0.5040554635752946,0.5436872478986875,-0.0396317843233928,-1.5,-0.63,-0.82,0.09,3.7,-1.65,-2.41,-1.64,1.26,-6.59,10.22,-2.06,-1.86,0.84,-2.55,0
2017-03-31,0.0762765,137.37,0.0,0.0,-0.19,-1.19,0.36,-0.05,-0.6,1.36,1.26,-1.01,0.55,-0.13,-1.07,0.51,0.95,-0.65,-0.04,0.43,-0.93,-0.44,0.25,-0.58,-0.77,-22.42,94.12,-10.94,12.37,12.37,0.4,0.38,0.02,0.5177721875302672,0.5040554635752946,0.0137167239549725,-0.82,-1.5,-4.35,-1.65,0.09,-2.35,1.26,-2.41,2.81,-2.06,-6.59,2.54,-2.55,-1.86,-4.24,0
2017-04-07,0.0348229999999999,-175.59000000000003,0.0,0.0,0.36,-0.19,-3.2,1.36,-0.05,0.67,0.55,1.26,1.3,0.51,-0.13,-2.44,-0.04,0.95,0.4,-0.44,0.43,-0.18,-0.77,0.25,0.22,-10.94,-22.42,-7.02,12.87,12.87,0.35,0.4,-0.05,0.49888062634755,0.5177721875302672,-0.0188915611827172,-4.35,-0.82,-3.41,-2.35,-1.65,-2.19,2.81,1.26,-6.16,2.54,-2.06,-6.99,-4.24,-2.55,2.14,0
2017-04-21,0.0261319999999999,101.49,0.0,0.0,-3.2,0.36,1.26,0.67,1.36,1.33,1.3,0.55,1.8,-2.44,0.51,1.28,0.4,-0.04,1.45,-0.18,-0.44,1.97,0.22,-0.77,2.26,-9.43,-7.02,-21.88,14.63,14.63,0.38,0.35,0.03,0.5209158984477837,0.49888062634755,0.0220352721002337,-3.41,-4.35,2.07,-2.19,-2.35,0.15,-6.16,2.81,0.25,-6.99,2.54,1.67,2.14,-4.24,7.5,0
2017-04-28,-0.01452,23.629999999999995,0.0,0.0,1.26,-3.2,1.3,1.33,0.67,0.43,1.8,1.3,0.17,1.28,-2.44,1.12,1.45,0.4,0.43,1.97,-0.18,0.98,2.26,0.22,1.84,-21.88,-9.43,90.67,10.82,10.82,0.38,0.38,0.0,0.5222663438552453,0.5209158984477837,0.0013504454074615,2.07,-3.41,-2.78,0.15,-2.19,2.96,0.25,-6.16,2.0,1.67,-6.99,-4.81,7.5,2.14,1.16,0
2017-05-05,-0.0453069999999999,3.050000000000012,0.0,0.0,1.3,1.26,1.89,0.43,1.33,0.32,0.17,1.8,0.99,1.12,1.28,1.61,0.43,1.45,1.27,0.98,1.97,-0.2,1.84,2.26,1.07,90.67,-21.88,-23.78,10.57,10.57,0.3,0.38,-0.08,0.555020394369856,0.5222663438552453,0.0327540505146106,-2.78,2.07,-0.22,2.96,0.15,2.98,2.0,0.25,1.92,-4.81,1.67,-1.4,1.16,7.5,-1.86,0
2017-05-12,-0.0457627,-40.5,0.0,0.0,1.89,1.3,0.48,0.32,0.43,0.25,0.99,0.17,0.2,1.61,1.12,0.4,1.27,0.43,-0.46,-0.2,0.98,0.1,1.07,1.84,2.23,-23.78,90.67,2.75,10.4,10.4,0.32,0.3,0.02,0.5574758487226795,0.555020394369856,0.0024554543528235,-0.22,-2.78,3.79,2.98,2.96,4.38,1.92,2.0,2.64,-1.4,-4.81,3.56,-1.86,1.16,4.48,0
2017-05-19,-0.0444901,245.81,0.0,0.0,0.48,1.89,1.03,0.25,0.32,1.07,0.2,0.99,1.49,0.4,1.61,1.04,-0.46,1.27,1.15,0.1,-0.2,0.92,2.23,1.07,-1.0,2.75,-23.78,-20.54,12.04,12.04,0.29,0.32,-0.03,0.5656804263476848,0.5574758487226795,0.0082045776250052,3.79,-0.22,-0.96,4.38,2.98,4.49,2.64,1.92,0.51,3.56,-1.4,-0.9,4.48,-1.86,-0.06,0
2017-05-26,-0.0326645,-408.88,0.0,0.0,1.03,0.48,0.0,1.07,0.25,-0.11,1.49,0.2,0.04,1.04,0.4,-0.02,1.15,-0.46,-0.17,0.92,0.1,1.2,-1.0,2.23,0.93,-20.54,2.75,26.97,9.81,9.81,0.28,0.29,-0.0099999999999999,0.5828645771600512,0.5656804263476848,0.0171841508123664,-0.96,3.79,-0.35,4.49,4.38,-0.11,0.51,2.64,-2.49,-0.9,3.56,-1.96,-0.06,4.48,-3.33,0
2017-06-02,-0.01178829,243.73,0.0,0.0,0.0,1.03,-0.27,-0.11,1.07,-1.16,0.04,1.49,-1.39,-0.02,1.04,-0.42,-0.17,1.15,-0.48,1.2,0.92,-0.64,0.93,-1.0,-1.75,26.97,-20.54,-19.47,9.75,9.75,0.26,0.28,-0.02,0.5692437307248541,0.5828645771600512,-0.0136208464351971,-0.35,-0.96,-2.04,-0.11,4.49,-3.87,-2.49,0.51,1.09,-1.96,-0.9,2.88,-3.33,-0.06,0.95,0
2017-06-09,-0.02098031,315.81999999999994,0.0,0.0,-0.27,0.0,-0.85,-1.16,-0.11,0.23,-1.39,0.04,-0.68,-0.42,-0.02,-0.65,-0.48,-0.17,-0.18,-0.64,1.2,0.02,-1.75,0.93,0.12,-19.47,26.97,71.43,10.7,10.7,0.25,0.26,-0.01,0.5661361238490571,0.5692437307248541,-0.003107606875797,-2.04,-0.35,-1.62,-3.87,-0.11,0.68,1.09,-2.49,-0.25,2.88,-1.96,-5.17,0.95,-3.33,-2.1,0
2017-06-16,-0.0310044999999999,-206.5,0.0,0.0,-0.85,-0.27,-0.53,0.23,-1.16,-0.66,-0.68,-1.39,-0.22,-0.65,-0.42,-0.52,-0.18,-0.48,0.15,0.02,-0.64,0.09,0.12,-1.75,-3.48,71.43,-19.47,50.64,10.38,10.38,0.26,0.25,0.01,0.5765081222335613,0.5661361238490571,0.0103719983845042,-1.62,-2.04,-2.8,0.68,-3.87,0.52,-0.25,1.09,-2.21,-5.17,2.88,-0.09,-2.1,0.95,-2.71,0
2017-06-23,-0.0313547,314.4100000000001,0.0,0.0,-0.53,-0.85,-1.5,-0.66,0.23,-1.75,-0.22,-0.68,-0.34,-0.52,-0.65,-1.51,0.15,-0.18,-0.67,0.09,0.02,-0.45,-3.48,0.12,0.88,50.64,71.43,52.34,10.02,10.02,0.34,0.26,0.08,0.5725098594439503,0.5765081222335613,-0.003998262789611,-2.8,-1.62,2.63,0.52,0.68,-2.66,-2.21,-0.25,-2.97,-0.09,-5.17,2.76,-2.71,-2.1,-0.79,0
2017-06-30,-0.0334049,-65.68000000000006,0.0,0.0,-1.5,-0.53,0.52,-1.75,-0.66,0.28,-0.34,-0.22,-0.72,-1.51,-0.52,0.47,-0.67,0.15,0.07,-0.45,0.09,-0.17,0.88,-3.48,-0.42,52.34,50.64,-8.1,11.18,11.18,0.29,0.34,-0.05,0.5768826833092677,0.5725098594439503,0.0043728238653174,2.63,-2.8,2.66,-2.66,0.52,0.46,-2.97,-2.21,0.27,2.76,-0.09,3.5,-0.79,-2.71,0.57,0
2017-07-07,-0.0213109999999999,-327.1,0.0,0.0,0.52,-1.5,0.37,0.28,-1.75,0.07,-0.72,-0.34,-0.5,0.47,-1.51,0.32,0.07,-0.67,0.18,-0.17,-0.45,1.82,-0.42,0.88,2.14,-8.1,52.34,-2.74,11.19,11.19,0.28,0.29,-0.0099999999999999,0.5823045505939646,0.5768826833092677,0.0054218672846968,2.66,2.63,0.17,0.46,-2.66,0.02,0.27,-2.97,0.18,3.5,2.76,6.34,0.57,-0.79,0.62,0
2017-07-14,-0.0253249999999999,-46.06,0.0,0.0,0.37,0.52,1.01,0.07,0.28,1.77,-0.5,-0.72,1.62,0.32,0.47,1.14,0.18,0.07,1.23,1.82,-0.17,0.55,2.14,-0.42,0.09,-2.74,-8.1,-16.25,9.51,9.51,0.28,0.28,0.0,0.5682832956225643,0.5823045505939646,-0.0140212549714002,0.17,2.66,-1.65,0.02,0.46,3.29,0.18,0.27,0.34,6.34,3.5,-0.81,0.62,0.57,1.75,0
2017-07-21,-0.043426,-63.26999999999998,0.0,0.0,1.01,0.37,-1.13,1.77,0.07,-0.12,1.62,-0.5,1.39,1.14,0.32,-0.92,1.23,0.18,0.07,0.55,1.82,0.08,0.09,2.14,0.09,-16.25,-2.74,-7.46,9.36,9.36,0.17,0.28,-0.11,0.5487905207836814,0.5682832956225643,-0.0194927748388828,-1.65,0.17,0.02,3.29,0.02,-2.52,0.34,0.18,-0.59,-0.81,6.34,5.64,1.75,0.62,-2.36,0
2017-07-28,-0.0425379999999999,43.15999999999997,0.0,0.0,-1.13,1.01,1.95,-0.12,1.77,1.22,1.39,1.62,1.07,-0.92,1.14,1.79,0.07,1.23,0.87,0.08,0.55,0.38,0.09,0.09,1.24,-7.46,-16.25,1.21,10.29,10.29,0.25,0.17,0.0799999999999999,0.5708363237221282,0.5487905207836814,0.0220458029384468,0.02,-1.65,2.56,-2.52,3.29,2.13,-0.59,0.34,4.43,5.64,-0.81,1.98,-2.36,1.75,0.47,0
2017-08-04,-0.0423869999999999,272.47,0.0,0.0,1.95,-1.13,-2.69,1.22,-0.12,-2.13,1.07,1.39,-0.47,1.79,-0.92,-2.52,0.87,0.07,-0.81,0.38,0.08,-1.53,1.24,0.09,-2.68,1.21,-7.46,-15.94,10.03,10.03,0.25,0.25,0.0,0.5751769624806864,0.5708363237221282,0.0043406387585581,2.56,0.02,-5.23,2.13,-2.52,-2.44,4.43,-0.59,-3.36,1.98,5.64,-4.68,0.47,-2.36,-3.25,0
2017-08-11,-0.020786,-322.92,0.0,0.0,-2.69,1.95,0.19,-2.13,1.22,0.42,-0.47,1.07,1.04,-2.52,1.79,0.21,-0.81,0.87,-0.38,-1.53,0.38,-0.38,-2.68,1.24,-0.81,-15.94,1.21,10.9,15.51,15.51,0.3,0.25,0.0499999999999999,0.567406536929556,0.5751769624806864,-0.0077704255511303,-5.23,2.56,-1.86,-2.44,2.13,-0.21,-3.36,4.43,-1.73,-4.68,1.98,6.66,-3.25,0.47,-1.13,0
2017-08-18,-0.017004,-134.62,0.0,0.0,0.19,-2.69,1.06,0.42,-2.13,0.23,1.04,-0.47,0.59,0.21,-2.52,0.9,-0.38,-0.81,0.36,-0.38,-1.53,0.73,-0.81,-2.68,1.18,10.9,-15.94,-22.22,14.26,14.26,0.31,0.3,0.01,0.5658134352030838,0.567406536929556,-0.0015931017264722,-1.86,-5.23,-0.69,-0.21,-2.44,0.25,-1.73,-3.36,1.25,6.66,-4.68,2.72,-1.13,-3.25,1.56,0
2017-08-25,-0.0001039999999999,171.49,0.0,0.0,1.06,0.19,0.5,0.23,0.42,0.58,0.59,1.04,1.02,0.9,0.21,0.52,0.36,-0.38,0.68,0.73,-0.38,1.09,1.18,-0.81,1.22,-22.22,10.9,1.1,11.28,11.28,0.31,0.31,0.0,0.5551157154062113,0.5658134352030838,-0.0106977197968725,-0.69,-1.86,-1.11,0.25,-0.21,-0.05,1.25,-1.73,-0.17,2.72,6.66,4.02,1.56,-1.13,-1.88,0
