Date,ADS_Change,EPU_Change,Stringency_Change,Rolling_Avg_Change_in_DCC,% FTSE100 Change,Previous % FTSE100 Change,Next % FTSE100 Change,% FTSE250 Change,Previous % FTSE250 Change,Next % FTSE250 Change,% FTSEAIM Change,Previous % FTSEAIM Change,Next % FTSEAIM Change,% FTSEAllShare Change,Previous % FTSEAllShare Change,Next % FTSEAllShare Change,% FTSESmallCap Change,Previous % FTSESmallCap Change,Next % FTSESmallCap Change,% MSCI Change,Previous % MSCI Change,Next % MSCI Change,% MSCIUK Change,Previous % MSCIUK Change,Next % MSCIUK Change,% GILT2 Change,Previous % GILT2 Change,Next % GILT2 Change,Close,Vix Close,TED,SWAV,SWAV_lagged,Change in SWAV,% Barc Change,Previous % Barc Change,Next % Barc Change,% Voda Change,Previous % Voda Change,Next % Voda Change,% BP Change,Previous % BP Change,Next % BP Change,% Glen Change,Previous % Glen Change,Next % Glen Change,% LLoyds Change,Previous % LLoyds Change,Next % LLoyds Change
2017-03-02,0.049141,319.61,0.0,-2.233,3.38,-0.76,-0.17,3.79,-0.27,0.32,2.6,3.73,1.5,3.41,-0.62,-0.06,2.34,0.85,0.88,2.99,0.71,0.6,1.23,2.56,1.72,32.63,-46.63,21.43,11.81,11.81,0.44,0.5308267630447461,0.5338635830070974,-0.0030368199623512,3.68,-4.82,-0.63,4.81,-7.76,3.11,-1.66,-8.62,-0.69,3.35,11.74,-5.48,6.2,0.36,-3.28
2017-03-03,0.079183,-315.88,0.0,0.6305000000000003,2.59,-0.3,-0.7,2.56,0.38,0.47,2.39,3.54,1.57,2.55,-0.15,-0.44,1.78,0.88,1.38,2.41,1.26,0.25,1.78,1.16,1.62,2.22,-44.79,85.87,10.96,10.96,0.4,0.5464701296827986,0.5374839892118578,0.0089861404709408,1.11,-2.72,-2.72,4.17,-8.16,2.92,-3.04,-6.98,-1.4,9.29,7.3,-7.42,3.9,-0.08,-3.08
2017-03-06,0.16554,-253.65,0.0,-1.8507500000000003,2.48,-0.91,-0.92,2.74,-0.01,0.39,2.18,3.33,1.47,2.49,-0.71,-0.65,1.6,0.47,0.79,2.64,1.2,0.18,1.02,0.57,1.67,5.83,-31.79,33.03,11.24,11.24,0.38,0.5393382794292155,0.5183599941711563,0.0209782852580592,-0.2,-2.84,-2.42,4.74,-7.26,2.3,-2.89,-7.2,-1.45,5.05,4.05,-3.95,2.18,1.3,-2.18
2017-03-07,0.190967,-31.95999999999998,0.0,0.2122499999999998,2.13,-1.23,-0.23,1.76,0.8,0.71,1.61,3.57,1.71,2.04,-0.83,-0.05,1.34,0.93,0.61,2.41,0.99,0.51,0.73,0.8,2.53,9.57,-47.49,5.83,11.45,11.45,0.36,0.5407835591098908,0.5230289344745683,0.0177546246353225,0.44,-4.32,-4.1,5.17,-8.47,2.05,1.29,-10.67,0.14,0.68,3.47,0.06,2.06,-0.67,-2.94
2017-03-08,0.214465,146.75,0.0,-1.241,2.03,-1.39,-0.04,1.75,1.15,0.73,2.06,3.17,1.52,1.96,-0.93,0.11,1.53,0.43,0.66,1.8,1.35,0.61,-0.16,2.04,2.7,-4.26,-52.28,42.22,11.86,11.86,0.39,0.5383578356733721,0.5189452770294288,0.0194125586439433,3.27,-3.95,-5.9,3.91,-8.07,1.47,1.04,-11.17,0.98,2.1,0.68,1.04,4.16,-1.14,-4.13
2017-03-09,0.236043,577.24,0.0,-0.38325,1.18,-0.86,-0.16,1.42,1.77,1.24,1.57,3.34,1.81,1.21,-0.38,0.12,0.94,1.0,1.24,1.57,1.35,0.58,-0.28,2.0,2.57,-10.92,-42.79,21.7,12.3,12.3,0.4,0.5505613825699944,0.5175460469337652,0.0330153356362292,1.15,-1.16,-6.8,2.16,-7.11,0.29,-1.02,-11.0,2.3,-1.67,-0.1,4.02,3.64,0.17,-6.53
2017-03-10,0.255708,-87.50999999999999,0.0,2.5515,1.16,-1.08,0.09,1.31,1.87,1.41,1.72,3.05,2.01,1.17,-0.54,0.34,0.72,1.06,1.28,1.72,1.48,-0.02,-0.25,1.73,2.02,-20.49,-36.79,11.34,11.66,11.66,0.39,0.5450747832649959,0.5321441486070851,0.0129306346579107,1.4,-2.81,-7.14,3.11,-7.92,-0.32,2.42,-11.27,-0.06,-3.18,1.28,3.39,4.76,-0.61,-7.65
2017-03-13,0.3039334,198.53,0.0,0.5822500000000002,1.21,-0.66,-0.25,1.44,2.46,1.24,2.15,2.81,1.89,1.23,-0.1,0.05,0.56,1.26,1.45,1.46,2.22,-0.18,0.5,1.82,1.16,-2.02,-43.75,29.9,11.35,11.35,0.35,0.5388286112077953,0.5226658775745696,0.0161627336332257,-0.93,0.54,-6.08,3.64,-6.79,0.27,0.85,-10.34,1.33,-4.27,2.19,1.19,4.09,1.79,-7.31
2017-03-14,0.3172747999999999,466.94,0.0,0.7169999999999994,1.23,0.67,0.1,0.87,3.0,1.88,1.67,3.49,2.33,1.14,1.06,0.45,0.52,1.42,1.7,1.06,2.29,0.27,-0.91,2.14,3.25,-15.91,-49.43,85.14,12.3,12.3,0.37,0.5381892753996729,0.4955878945487347,0.0426013808509381,-3.7,1.58,-5.1,4.31,-5.59,-0.59,-0.54,-8.47,3.0,-3.17,3.55,1.37,2.05,1.59,-6.49
2017-03-15,0.3293635,-254.71000000000004,0.0,-3.98025,0.91,0.76,-0.27,0.73,2.81,2.43,1.38,3.86,2.47,0.86,1.14,0.24,0.37,2.32,1.91,1.12,2.68,-0.6,0.91,1.75,1.33,-48.84,-55.21,159.09,11.63,11.63,0.43,0.5396482464698406,0.516120209198319,0.0235280372715215,-4.91,5.12,-6.07,4.03,-4.99,-0.44,-0.31,-9.41,3.58,-0.44,2.75,-4.65,1.14,3.49,-7.64
