Date,ADS_Change,EPU_Change,Stringency_Change,Rolling_Avg_Change_in_DCC,% FTSE100 Change,Previous % FTSE100 Change,Next % FTSE100 Change,% FTSE250 Change,Previous % FTSE250 Change,Next % FTSE250 Change,% FTSEAIM Change,Previous % FTSEAIM Change,Next % FTSEAIM Change,% FTSEAllShare Change,Previous % FTSEAllShare Change,Next % FTSEAllShare Change,% FTSESmallCap Change,Previous % FTSESmallCap Change,Next % FTSESmallCap Change,% MSCI Change,Previous % MSCI Change,Next % MSCI Change,% MSCIUK Change,Previous % MSCIUK Change,Next % MSCIUK Change,% GILT2 Change,Previous % GILT2 Change,Next % GILT2 Change,Close,Vix Close,SWAV,SWAV_lagged,Change in SWAV,% Barc Change,Previous % Barc Change,Next % Barc Change,% Voda Change,Previous % Voda Change,Next % Voda Change,% BP Change,Previous % BP Change,Next % BP Change,% Glen Change,Previous % Glen Change,Next % Glen Change,% LLoyds Change,Previous % LLoyds Change,Next % LLoyds Change,festive
2017-01-27,-0.347484,-54.71000000000001,0.0,-1.5222222222222257,0.48,-0.81,-1.07,0.5,-0.68,0.27,0.71,0.31,0.62,0.46,-0.76,-0.82,-0.03,-0.22,0.03,0.72,0.82,-0.55,0.41,1.0,0.06,-9.66,-15.38,-8.81,10.58,10.58,0.5391225513100576,0.5211406030461032,0.0179819482639543,0.85,0.15,-3.69,-3.01,-3.28,-0.18,-0.59,-1.89,-2.86,0.14,3.42,-0.21,2.61,-0.84,-0.69,1
2017-02-03,-0.3139663,210.38,0.0,-8.755555555555558,1.26,-0.87,0.01,1.45,0.03,1.06,1.14,0.9,0.47,1.28,-0.72,0.19,1.08,-0.55,0.53,0.73,-0.63,-0.18,0.16,-0.57,0.29,-19.85,-31.77,-9.52,10.97,10.97,0.5374839892118578,0.5207882360464333,0.0166957531654244,4.28,-5.55,-1.7,-0.13,0.96,0.93,1.22,-2.59,-4.73,-5.19,1.87,0.84,1.43,-1.87,-0.41,0
2017-02-10,-0.2618109999999999,-15.25,0.0,1.0444444444444454,1.01,0.64,0.6,0.84,1.65,0.6,-0.02,1.2,0.69,0.96,0.82,0.6,0.51,1.17,0.7,0.97,0.12,1.04,1.05,0.1,0.53,4.44,-11.76,29.79,10.85,10.85,0.5321441486070851,0.5230289344745683,0.0091152141325168,1.15,2.12,4.64,2.73,-0.39,-0.23,0.55,-3.3,-0.45,0.91,-2.2,1.81,-0.75,1.93,2.78,0
2017-02-17,-0.1675189999999999,-115.53000000000004,0.0,7.57777777777778,0.43,0.54,0.03,-0.43,0.86,-0.16,0.59,0.36,0.17,0.28,0.6,-0.0,0.14,0.77,-0.1,0.71,0.89,0.32,0.09,0.57,0.94,-27.87,29.79,15.91,11.49,11.49,0.5250010438532863,0.4955878945487347,0.0294131493045515,0.74,2.48,-0.78,0.99,-1.53,1.89,-2.94,0.17,0.38,-2.13,4.55,1.97,0.56,0.52,4.25,0
2017-02-24,-0.0144679999999999,3.1200000000000045,0.0,-1.1888888888888876,-0.43,-0.04,1.92,-0.98,0.36,2.12,-0.13,0.28,0.26,-0.53,0.02,1.92,-0.8,0.04,0.92,-0.12,0.35,0.84,-0.16,0.09,0.25,-7.84,15.91,21.28,11.47,11.47,0.5202756511105983,0.5126566338722828,0.0076190172383154,-4.26,-0.86,3.1,1.1,1.19,-0.15,-0.82,0.54,3.91,-0.2,1.12,3.13,3.76,-0.72,-0.64,0
2017-03-03,0.1449399999999999,-464.07,0.0,12.866666666666667,1.53,-0.11,-0.54,0.6,0.68,0.26,0.86,-0.27,0.15,1.37,-0.0,-0.38,1.29,-0.75,0.28,0.56,-0.36,-0.77,0.38,-1.05,-1.81,-6.12,3.16,11.96,10.96,10.96,0.5464701296827986,0.5121088229410588,0.0343613067417398,2.16,-1.11,0.39,0.15,-0.17,0.67,2.32,0.7,-0.72,5.03,-2.81,-5.79,-0.37,-1.26,-0.16,0
2017-03-10,0.256797,-70.80000000000001,0.0,12.922222222222226,0.06,-0.59,0.35,0.4,-0.34,0.01,0.09,0.21,0.35,0.11,-0.52,0.29,-0.1,0.18,0.35,0.29,-0.45,0.45,0.19,-1.22,1.74,-5.83,11.96,-23.71,11.66,11.66,0.5450747832649959,0.5407835591098908,0.004291224155105,2.11,-1.07,-1.88,0.72,-0.05,0.66,1.66,-0.4,-3.09,-2.95,-4.73,4.68,1.88,-2.05,-0.78,0
2017-03-17,0.2974196,-655.55,0.0,16.67777777777778,0.91,0.59,-1.35,0.76,0.32,-1.37,1.04,0.46,-1.44,0.89,0.53,-1.34,0.89,0.35,-0.99,1.09,0.39,-1.1,3.0,0.67,-0.49,14.86,-23.71,70.59,11.28,11.28,0.5436872478986875,0.5381892753996729,0.0054979724990146,1.7,-2.43,-2.54,3.37,0.54,-1.77,1.31,0.66,-1.78,8.31,2.95,-3.73,2.2,-1.03,-2.47,0
2017-03-24,0.2982785,-2.6399999999999864,0.0,-6.733333333333332,-0.56,-0.51,0.5,-0.04,-0.2,-0.01,-0.21,-0.59,0.69,-0.47,-0.44,0.42,-0.23,-0.01,0.49,-0.03,-0.95,0.59,-0.15,0.0,0.22,13.79,70.59,9.7,12.96,12.96,0.5040554635752946,0.486909432826669,0.0171460307486256,-1.33,0.24,0.15,0.95,0.05,-0.43,-1.42,-0.2,2.07,-3.14,-3.31,-2.11,-1.01,-1.2,-2.22,0
2017-03-31,0.263787,120.7,0.0,-9.555555555555552,-0.28,0.04,0.12,0.1,-0.26,0.51,1.05,0.24,0.1,-0.18,0.0,0.16,0.81,0.38,-0.43,-0.28,0.75,-0.42,0.15,-0.15,-0.77,-29.28,9.7,-2.34,12.37,12.37,0.5177721875302672,0.5034930885496616,0.0142790989806056,-1.32,1.88,-2.89,-1.02,-0.36,-0.74,0.9,-0.69,1.67,0.5,-3.12,2.81,-0.71,-2.4,-1.25,0
