Date,% BP Change,Previous % BP Change,Next % BP Change
2017-02-03,-3.96,-3.14,-6.81
2017-02-10,-5.59,-6.02,-2.72
2017-02-17,-6.81,-3.96,4.05
2017-02-24,-2.72,-5.59,5.28
2017-03-03,4.05,-6.81,-0.23
2017-03-10,5.28,-2.72,-4.0
2017-03-17,-0.23,4.05,-1.18
2017-03-24,-4.0,5.28,4.11
2017-03-31,-1.18,-0.23,-3.53
2017-04-07,4.11,-4.0,-5.93
2017-04-21,-3.53,-1.18,2.25
2017-04-28,-5.93,4.11,3.95
2017-05-05,2.25,-3.53,4.61
2017-05-12,3.95,-5.93,3.16
2017-05-19,4.61,2.25,-1.99
2017-05-26,3.16,3.95,-1.42
2017-06-02,-1.99,4.61,0.84
2017-06-09,-1.42,3.16,-2.45
2017-06-16,0.84,-1.99,-5.11
2017-06-23,-2.45,-1.42,-2.71
2017-06-30,-5.11,0.84,0.45
2017-07-07,-2.71,-2.45,0.52
2017-07-14,0.45,-5.11,-0.26
2017-07-21,0.52,-2.71,3.81
2017-07-28,-0.26,0.45,0.92
2017-08-04,3.81,0.52,-5.03
2017-08-11,0.92,-0.26,-0.5
2017-08-18,-5.03,3.81,1.08
2017-08-25,-0.5,0.92,0.13
2017-09-01,1.08,-5.03,0.79
2017-09-08,0.13,-0.5,4.6
2017-09-15,0.79,1.08,6.48
2017-09-22,4.6,0.13,4.62
2017-09-29,6.48,0.79,2.83
2017-10-06,4.62,4.6,0.77
2017-10-13,2.83,6.48,1.45
2017-10-20,0.77,4.62,5.06
2017-10-27,1.45,2.83,1.81
2017-11-03,5.06,0.77,-4.59
2017-11-10,1.81,1.45,-1.1
2017-11-17,-4.59,5.06,-0.22
2017-11-24,-1.1,1.81,-1.71
2017-12-01,-0.22,-4.59,2.68
2017-12-08,-1.71,-1.1,4.96
2017-12-15,2.68,-0.22,3.46
2017-12-22,4.96,-1.71,2.4
2017-12-29,3.46,2.68,2.31
2018-01-05,2.4,4.96,-3.72
2018-01-12,2.31,3.46,-3.46
2018-01-19,-3.72,2.4,-4.01
2018-01-26,-3.46,2.31,-8.96
2018-02-02,-4.01,-3.72,-3.28
2018-02-09,-8.96,-3.46,1.29
2018-02-16,-3.28,-4.01,-1.96
2018-02-23,1.29,-8.96,0.44
