Date,% FTSEAIM Change,Previous % FTSEAIM Change,Next % FTSEAIM Change
2017-02-03,2.3,1.22,1.6
2017-02-10,2.2,0.83,0.83
2017-02-17,1.6,2.3,0.78
2017-02-24,0.83,2.2,0.89
2017-03-03,0.78,1.6,1.34
2017-03-10,0.89,0.83,0.2
2017-03-17,1.34,0.78,0.23
2017-03-24,0.2,0.89,1.81
2017-03-31,0.23,1.34,1.85
2017-04-07,1.81,0.2,3.13
2017-04-21,1.85,0.23,1.97
2017-04-28,3.13,1.81,1.16
2017-05-05,1.97,1.85,1.19
2017-05-12,1.16,3.13,1.69
2017-05-19,1.19,1.97,1.53
2017-05-26,1.69,1.16,-1.35
2017-06-02,1.53,1.19,-2.06
2017-06-09,-1.35,1.69,-0.9
2017-06-16,-2.06,1.53,-0.56
2017-06-23,-0.9,-1.35,-1.06
2017-06-30,-0.56,-2.06,-1.22
2017-07-07,-1.06,-0.9,1.11
2017-07-14,-1.22,-0.56,3.03
2017-07-21,1.11,-1.06,2.47
2017-07-28,3.03,-1.22,0.6
2017-08-04,2.47,1.11,0.57
2017-08-11,0.6,3.03,1.64
2017-08-18,0.57,2.47,1.62
2017-08-25,1.64,0.6,0.53
2017-09-01,1.62,0.57,-2.14
2017-09-08,0.53,1.64,-1.57
2017-09-15,-2.14,1.62,1.05
2017-09-22,-1.57,0.53,2.67
2017-09-29,1.05,-2.14,2.69
2017-10-06,2.67,-1.57,-0.09
2017-10-13,2.69,1.05,0.34
2017-10-20,-0.09,2.67,2.29
2017-10-27,0.34,2.69,0.2
2017-11-03,2.29,-0.09,-1.94
2017-11-10,0.2,0.34,-0.67
2017-11-17,-1.94,2.29,-0.14
2017-11-24,-0.67,0.2,-1.26
2017-12-01,-0.14,-1.94,-0.69
2017-12-08,-1.26,-0.67,1.7
2017-12-15,-0.69,-0.14,3.42
2017-12-22,1.7,-1.26,3.22
2017-12-29,3.42,-0.69,1.55
2018-01-05,3.22,1.7,0.04
