Date,% GILT2 Change,Previous % GILT2 Change,Next % GILT2 Change
2017-02-20,-37.74,152.38,-30.14
2017-02-21,-30.14,10.61,-41.22
2017-02-22,-41.22,-13.25,-34.48
2017-02-23,-34.48,21.85,-20.34
2017-02-24,-20.34,-44.34,-3.81
2017-02-27,-3.81,-51.39,-3.92
2017-02-28,-3.92,-43.65,-1.72
2017-03-01,-1.72,-44.5,32.63
2017-03-02,32.63,-46.63,2.22
2017-03-03,2.22,-44.79,14.81
2017-03-04,14.81,-55.98,5.83
2017-03-06,5.83,-31.79,9.57
2017-03-07,9.57,-47.49,-4.26
2017-03-08,-4.26,-52.28,-10.92
2017-03-09,-10.92,-42.79,-20.49
2017-03-10,-20.49,-36.79,-8.41
2017-03-12,-8.41,-28.67,-2.02
2017-03-13,-2.02,-43.75,-15.91
2017-03-14,-15.91,-49.43,-48.84
2017-03-15,-48.84,-55.21,-10.1
2017-03-16,-10.1,-37.74,-16.67
2017-03-17,-16.67,-30.14,1.3
2017-03-18,1.3,-41.22,-10.53
2017-03-20,-10.53,-34.48,54.26
2017-03-21,54.26,-20.34,10.89
2017-03-22,10.89,-3.81,62.24
2017-03-23,62.24,-3.92,44.74
2017-03-24,44.74,-1.72,21.43
2017-03-26,21.43,32.63,85.87
2017-03-27,85.87,2.22,94.62
2017-03-28,94.62,14.81,33.03
2017-03-29,33.03,5.83,5.83
2017-03-30,5.83,9.57,42.22
2017-03-31,42.22,-4.26,21.7
2017-04-02,21.7,-10.92,11.34
2017-04-03,11.34,-20.49,27.55
2017-04-04,27.55,-8.41,29.9
2017-04-05,29.9,-2.02,85.14
2017-04-06,85.14,-15.91,159.09
2017-04-07,159.09,-48.84,26.97
2017-04-08,26.97,-10.1,12.94
2017-04-10,12.94,-16.67,23.08
2017-04-11,23.08,1.3,8.24
2017-04-12,8.24,-10.53,-23.45
2017-04-13,-23.45,54.26,-5.36
2017-04-14,-5.36,10.89,-33.96
2017-04-17,-33.96,62.24,-47.27
2017-04-18,-47.27,44.74,-11.76
2017-04-19,-11.76,21.43,-29.82
2017-04-20,-29.82,85.87,-46.96
2017-04-21,-46.96,94.62,-34.48
2017-04-22,-34.48,33.03,-9.17
2017-04-23,-9.17,5.83,-35.16
2017-04-24,-35.16,42.22,-12.4
2017-04-25,-12.4,21.7,-10.19
2017-04-26,-10.19,11.34,-41.6
2017-04-27,-41.6,27.55,-40.48
2017-04-28,-40.48,29.9,-45.99
2017-04-29,-45.99,85.14,-28.07
2017-05-01,-28.07,159.09,-29.2
2017-05-02,-29.2,26.97,-23.96
2017-05-03,-23.96,12.94,8.33
2017-05-04,8.33,23.08,55.43
2017-05-05,55.43,8.24,28.83
2017-05-07,28.83,-23.45,46.23
2017-05-08,46.23,-5.36,55.24
2017-05-09,55.24,-33.96,55.17
2017-05-10,55.17,-47.27,-9.63
2017-05-11,-9.63,-11.76,-9.17
2017-05-12,-9.17,-29.82,42.71
2017-05-15,42.71,-46.96,43.16
2017-05-16,43.16,-34.48,18.18
2017-05-17,18.18,-9.17,31.33
2017-05-18,31.33,-35.16,-0.88
2017-05-19,-0.88,-12.4,9.28
2017-05-22,9.28,-10.19,52.05
2017-05-23,52.05,-41.6,40.0
2017-05-24,40.0,-40.48,24.32
2017-05-25,24.32,-45.99,8.54
2017-05-26,8.54,-28.07,17.5
2017-05-29,17.5,-29.2,19.18
2017-05-30,19.18,-23.96,22.12
2017-05-31,22.12,8.33,-6.99
2017-06-01,-6.99,55.43,-20.98
2017-06-02,-20.98,28.83,-32.9
2017-06-05,-32.9,46.23,-44.79
2017-06-06,-44.79,55.24,-15.56
2017-06-07,-15.56,55.17,-2.46
2017-06-08,-2.46,-9.63,-16.51
2017-06-09,-16.51,-9.17,-40.88
2017-06-12,-40.88,42.71,5.15
2017-06-13,5.15,43.16,-20.51
2017-06-14,-20.51,18.18,56.88
2017-06-15,56.88,31.33,39.29
2017-06-16,39.29,-0.88,50.0
2017-06-17,50.0,9.28,60.36
2017-06-19,60.36,52.05,27.62
2017-06-20,27.62,40.0,129.35
2017-06-21,129.35,24.32,137.08
2017-06-22,137.08,8.54,150.0
2017-06-23,150.0,17.5,168.97
2017-06-25,168.97,19.18,83.46
