Date,% Glen Change,Previous % Glen Change,Next % Glen Change
2017-02-03,-2.78,10.36,3.21
2017-02-10,-2.02,3.36,2.11
2017-02-17,3.21,-2.78,5.88
2017-02-24,2.11,-2.02,-5.17
2017-03-03,5.88,3.21,1.2
2017-03-10,-5.17,2.11,2.96
2017-03-17,1.2,5.88,-8.52
2017-03-24,2.96,-5.17,0.42
2017-03-31,-8.52,1.2,-4.63
2017-04-07,0.42,2.96,-5.43
2017-04-21,-4.63,-8.52,-3.22
2017-04-28,-5.43,0.42,-6.14
2017-05-05,-3.22,-4.63,2.11
2017-05-12,-6.14,-5.43,2.63
2017-05-19,2.11,-3.22,-2.85
2017-05-26,2.63,-6.14,0.86
2017-06-02,-2.85,2.11,-2.44
2017-06-09,0.86,2.63,-5.25
2017-06-16,-2.44,-2.85,2.66
2017-06-23,-5.25,0.86,6.35
2017-06-30,2.66,-2.44,10.06
2017-07-07,6.35,-5.25,5.48
2017-07-14,10.06,2.66,4.79
2017-07-21,5.48,6.35,7.74
2017-07-28,4.79,10.06,-2.79
2017-08-04,7.74,5.48,1.67
2017-08-11,-2.79,4.79,9.57
2017-08-18,1.67,7.74,6.86
2017-08-25,9.57,-2.79,2.9
2017-09-01,6.86,1.67,-6.13
2017-09-08,2.9,9.57,-4.38
2017-09-15,-6.13,6.86,-0.72
2017-09-22,-4.38,2.9,5.69
2017-09-29,-0.72,-6.13,10.12
2017-10-06,5.69,-4.38,3.08
2017-10-13,10.12,-0.72,-2.5
2017-10-20,3.08,5.69,0.17
2017-10-27,-2.5,10.12,-1.25
2017-11-03,0.17,3.08,-6.7
2017-11-10,-1.25,-2.5,-0.07
2017-11-17,-6.7,0.17,-4.16
2017-11-24,-0.07,-1.25,-4.65
2017-12-01,-4.16,-6.7,7.08
2017-12-08,-4.65,-0.07,8.65
2017-12-15,7.08,-4.16,7.51
2017-12-22,8.65,-4.65,3.52
2017-12-29,7.51,7.08,4.5
2018-01-05,3.52,8.65,4.77
2018-01-12,4.5,7.51,-1.39
2018-01-19,4.77,3.52,-5.99
2018-01-26,-1.39,4.5,-10.18
2018-02-02,-5.99,4.77,1.37
2018-02-09,-10.18,-1.39,9.76
2018-02-16,1.37,-5.99,-6.06
2018-02-23,9.76,-10.18,-6.67
2018-03-02,-6.06,1.37,5.76
2018-03-09,-6.67,9.76,-3.06
2018-03-16,5.76,-6.06,-8.91
2018-03-23,-3.06,-6.67,-3.54
2018-04-06,-8.91,5.76,8.4
2018-04-13,-3.54,-3.06,6.71
2018-04-20,8.4,-8.91,-5.43
2018-04-27,6.71,-3.54,4.63
2018-05-04,-5.43,8.4,5.65
2018-05-11,4.63,6.71,-2.23
2018-05-18,5.65,-5.43,0.25
2018-05-25,-2.23,4.63,1.68
2018-06-01,0.25,5.65,0.0
2018-06-08,1.68,-2.23,0.86
2018-06-15,0.0,0.25,-5.06
2018-06-22,0.86,1.68,-15.03
2018-06-29,-5.06,0.0,-13.53
2018-07-06,-15.03,0.86,-5.26
2018-07-13,-13.53,-5.06,4.15
2018-07-20,-5.26,-15.03,2.07
2018-07-27,4.15,-13.53,-1.49
2018-08-03,2.07,-5.26,-4.12
2018-08-10,-1.49,4.15,-0.13
2018-08-17,-4.12,2.07,2.8
2018-08-24,-0.13,-1.49,-7.73
2018-08-31,2.8,-4.12,-3.83
2018-09-07,-7.73,-0.13,13.81
2018-09-14,-3.83,2.8,10.0
2018-09-21,13.81,-7.73,-3.51
2018-09-28,10.0,-3.83,-5.46
2018-10-05,-3.51,13.81,-5.12
2018-10-12,-5.46,10.0,-3.54
2018-10-19,-5.12,-3.51,3.78
2018-10-26,-3.54,-5.46,0.46
2018-11-02,3.78,-5.12,-7.03
2018-11-09,0.46,-3.54,-7.68
2018-11-16,-7.03,3.78,-2.47
2018-11-23,-7.68,0.46,-0.41
2018-11-30,-2.47,-7.03,-0.17
2018-12-07,-0.41,-7.68,2.79
2018-12-14,-0.17,-2.47,0.12
2018-12-21,2.79,-0.41,-1.05
2018-12-28,0.12,-0.17,1.95
2019-01-04,-1.05,2.79,4.77
2019-01-11,1.95,0.12,0.63
2019-01-18,4.77,-1.05,2.84
2019-01-25,0.63,1.95,-1.83
2019-02-01,2.84,4.77,-0.83
2019-02-08,-1.83,0.63,5.75
2019-02-15,-0.83,2.84,0.25
2019-02-22,5.75,-1.83,-3.85
2019-03-01,0.25,-0.83,0.34
2019-03-08,-3.85,5.75,4.85
2019-03-15,0.34,0.25,4.09
2019-03-22,4.85,-3.85,6.72
2019-03-29,4.09,0.34,4.56
2019-04-05,6.72,4.85,-6.44
2019-04-12,4.56,4.09,-10.24
2019-04-26,-6.44,6.72,-9.65
2019-05-03,-10.24,4.56,-7.27
2019-05-10,-9.65,-6.44,-7.07
2019-05-17,-7.27,-10.24,-7.97
2019-05-24,-7.07,-9.65,-0.04
2019-05-31,-7.97,-7.27,6.83
2019-06-07,-0.04,-7.07,7.41
2019-06-14,6.83,-7.97,0.48
2019-06-21,7.41,-0.04,-3.82
2019-06-28,0.48,6.83,-2.58
2019-07-05,-3.82,7.41,1.0
2019-07-12,-2.58,0.48,2.18
2019-07-19,1.0,-3.82,-11.02
2019-07-26,2.18,-2.58,-15.05
2019-08-02,-11.02,1.0,-7.37
2019-08-09,-15.05,2.18,-2.45
2019-08-16,-7.37,-11.02,5.59
2019-08-23,-2.45,-15.05,7.14
2019-08-30,5.59,-7.37,10.3
2019-09-06,7.14,-2.45,6.19
2019-09-13,10.3,5.59,-5.49
2019-09-20,6.19,7.14,-11.65
2019-09-27,-5.49,10.3,-3.85
2019-10-04,-11.65,6.19,0.4
2019-10-11,-3.85,-5.49,-1.37
2019-10-18,0.4,-11.65,5.89
2019-10-25,-1.37,-3.85,8.6
2019-11-01,5.89,0.4,1.1
2019-11-08,8.6,-1.37,-2.95
2019-11-15,1.1,5.89,0.13
2019-11-22,-2.95,8.6,-10.83
2019-11-29,0.13,1.1,-7.42
2019-12-06,-10.83,-2.95,7.49
2019-12-13,-7.42,0.13,5.74
2019-12-20,7.49,-10.83,2.11
2019-12-27,5.74,-7.42,0.61
2020-01-03,2.11,7.49,0.64
2020-01-10,0.61,5.74,-4.02
2020-01-17,0.64,2.11,-8.51
2020-01-24,-4.02,0.61,1.15
2020-01-31,-8.51,0.64,5.15
2020-02-07,1.15,-4.02,-3.79
2020-02-14,5.15,-8.51,-17.39
2020-02-21,-3.79,1.15,-22.42
2020-02-28,-17.39,5.15,-29.8
2020-03-06,-22.42,-3.79,-31.3
2020-03-13,-29.8,-17.39,-8.6
2020-03-20,-31.3,-22.42,0.34
2020-03-27,-8.6,-29.8,13.93
2020-04-03,0.34,-31.3,16.07
2020-04-17,13.93,-8.6,-1.06
2020-04-24,16.07,0.34,1.43
2020-05-01,-1.06,13.93,5.97
2020-05-15,1.43,16.07,6.05
2020-05-22,5.97,-1.06,22.19
2020-05-29,6.05,1.43,15.03
2020-06-05,22.19,5.97,-4.97
2020-06-12,15.03,6.05,-3.24
2020-06-19,-4.97,22.19,-1.34
2020-06-26,-3.24,15.03,5.18
2020-07-03,-1.34,-4.97,8.34
2020-07-10,5.18,-3.24,4.23
2020-07-17,8.34,-1.34,-5.0
2020-07-24,4.23,5.18,-4.51
2020-07-31,-5.0,8.34,-2.36
2020-08-07,-4.51,4.23,-3.56
2020-08-14,-2.36,-5.0,-0.78
2020-08-21,-3.56,-4.51,1.84
2020-08-28,-0.78,-2.36,7.58
2020-09-04,1.84,-3.56,5.34
2020-09-11,7.58,-0.78,-8.03
2020-09-18,5.34,1.84,-10.43
2020-09-25,-8.03,7.58,3.36
2020-10-02,-10.43,5.34,1.11
2020-10-09,3.36,-8.03,-3.2
2020-10-16,1.11,-10.43,-4.68
2020-10-23,-3.2,3.36,1.51
2020-10-30,-4.68,1.11,21.57
2020-11-06,1.51,-3.2,14.74
2020-11-13,21.57,-4.68,12.67
2020-11-20,14.74,1.51,21.83
2020-11-27,12.67,21.57,11.1
2020-12-04,21.83,14.74,1.85
2020-12-11,11.1,12.67,16.52
2020-12-18,1.85,21.83,15.63
2021-01-08,16.52,11.1,-2.04
2021-01-15,15.63,1.85,-11.97
2021-01-22,-2.04,16.52,-4.28
2021-01-29,-11.97,15.63,9.09
2021-02-05,-4.28,-2.04,15.8
2021-02-12,9.09,-11.97,8.15
2021-02-19,15.8,-4.28,-5.71
2021-02-26,8.15,9.09,-0.16
2021-03-05,-5.71,15.8,-0.36
2021-03-12,-0.16,8.15,-1.33
2021-03-19,-0.36,-5.71,2.38
2021-03-26,-1.33,-0.16,5.45
2021-04-09,2.38,-0.36,2.62
2021-04-16,5.45,-1.33,-2.25
2021-04-23,2.62,2.38,8.94
2021-04-30,-2.25,5.45,9.96
2021-05-07,8.94,2.62,-3.84
2021-05-14,9.96,-2.25,-0.97
2021-05-21,-3.84,8.94,6.25
2021-05-28,-0.97,9.96,2.38
2021-06-04,6.25,-3.84,-9.77
2021-06-11,2.38,-0.97,-4.23
2021-06-18,-9.77,6.25,5.92
2021-06-25,-4.23,2.38,1.33
2021-07-02,5.92,-9.77,-1.95
2021-07-09,1.33,-4.23,-1.14
2021-07-16,-1.95,5.92,4.71
2021-07-23,-1.14,1.33,3.06
2021-07-30,4.71,-1.95,4.11
2021-08-06,3.06,-1.14,-4.86
2021-08-13,4.11,4.71,-1.27
2021-08-20,-4.86,3.06,8.53
2021-08-27,-1.27,4.11,1.93
2021-09-03,8.53,-4.86,-1.76
2021-09-10,1.93,-1.27,-1.64
2021-09-17,-1.76,8.53,7.18
2021-09-24,-1.64,1.93,7.51
2021-10-01,7.18,-1.76,11.36
2021-10-08,7.51,-1.64,3.29
2021-10-15,11.36,7.18,-6.48
2021-10-22,3.29,7.51,-3.71
2021-10-29,-6.48,11.36,0.73
2021-11-05,-3.71,3.29,4.54
2021-11-12,0.73,-6.48,-4.32
2021-11-19,4.54,-3.71,-4.75
2021-11-26,-4.32,0.73,4.52
2021-12-03,-4.75,4.54,4.68
2021-12-10,4.52,-4.32,1.38
2021-12-17,4.68,-4.75,1.79
2021-12-24,1.38,4.52,5.99
2021-12-31,1.79,4.68,7.56
2022-01-07,5.99,1.38,3.72
2022-01-14,7.56,1.79,-2.49
2022-01-21,3.72,5.99,-1.9
2022-01-28,-2.49,7.56,6.23
2022-02-04,-1.9,3.72,4.91
2022-02-11,6.23,-2.49,5.12
2022-02-18,4.91,-1.9,9.16
2022-02-25,5.12,6.23,16.43
2022-03-04,9.16,4.91,4.04
2022-03-11,16.43,5.12,-1.04
2022-03-18,4.04,9.16,5.91
2022-03-25,-1.04,16.43,4.35
2022-04-01,5.91,4.04,-7.53
2022-04-08,4.35,-1.04,-7.16
2022-04-22,-7.53,5.91,2.39
2022-04-29,-7.16,4.35,-7.23
2022-05-06,2.39,-7.53,2.0
2022-05-13,-7.23,-7.16,14.06
2022-05-20,2.0,2.39,1.64
2022-05-27,14.06,-7.23,-12.35
2022-06-10,1.64,2.0,-11.72
2022-06-17,-12.35,14.06,-7.56
2022-06-24,-11.72,1.64,-3.34
2022-07-01,-7.56,-12.35,-4.57
2022-07-08,-3.34,-11.72,-2.12
2022-07-15,-4.57,-7.56,13.52
2022-07-22,-2.12,-3.34,10.56
2022-07-29,13.52,-4.57,2.28
2022-08-05,10.56,-2.12,4.36
2022-08-12,2.28,13.52,5.61
2022-08-19,4.36,10.56,-5.06
2022-08-26,5.61,2.28,-0.11
2022-09-02,-5.06,4.36,7.96
2022-09-09,-0.11,5.61,-5.5
2022-09-16,7.96,-5.06,-2.28
2022-09-23,-5.5,-0.11,7.0
2022-09-30,-2.28,7.96,1.3
2022-10-07,7.0,-5.5,1.67
2022-10-14,1.3,-2.28,2.56
2022-10-21,1.67,7.0,5.95
2022-10-28,2.56,1.3,1.06
2022-11-04,5.95,1.67,-4.92
2022-11-11,1.06,2.56,6.34
2022-11-18,-4.92,5.95,10.38
2022-11-25,6.34,1.06,1.63
2022-12-02,10.38,-4.92,-4.87
2022-12-09,1.63,6.34,2.86
2022-12-16,-4.87,10.38,4.01
2022-12-23,2.86,1.63,-5.75
2022-12-30,4.01,-4.87,1.09
2023-01-06,-5.75,2.86,9.51
2023-01-13,1.09,4.01,-1.83
2023-01-20,9.51,-5.75,-3.72
2023-01-27,-1.83,1.09,-6.55
2023-02-03,-3.72,9.51,-8.08
2023-02-10,-6.55,-1.83,-4.68
2023-02-17,-8.08,-3.72,2.61
2023-02-24,-4.68,-6.55,-3.14
2023-03-03,2.61,-8.08,-17.27
2023-03-10,-3.14,-4.68,-6.41
2023-03-17,-17.27,2.61,7.38
2023-03-24,-6.41,-3.14,11.07
2023-03-31,7.38,-17.27,5.66
2023-04-14,11.07,-6.41,-4.62
2023-04-21,5.66,7.38,-9.53
2023-04-28,-4.62,11.07,-7.83
2023-05-05,-9.53,5.66,-2.07
2023-05-12,-7.83,-4.62,-2.24
2023-05-19,-2.07,-9.53,-0.23
2023-05-26,-2.24,-7.83,2.93
2023-06-02,-0.23,-2.07,7.63
2023-06-09,2.93,-2.24,-0.54
2023-06-16,7.63,-0.23,-4.82
2023-06-23,-0.54,2.93,0.86
2023-06-30,-4.82,7.63,5.02
2023-07-07,0.86,-0.54,8.3
2023-07-14,5.02,-4.82,-0.07
2023-07-21,8.3,0.86,-1.98
2023-07-28,-0.07,5.02,-4.67
2023-08-04,-1.98,8.3,-10.18
2023-08-11,-4.67,-0.07,-4.17
2023-08-18,-10.18,-1.98,4.16
2023-08-25,-4.17,-4.67,1.42
2023-09-01,4.16,-10.18,6.85
2023-09-08,1.42,-4.17,6.82
2023-09-15,6.85,4.16,2.96
2023-09-22,6.82,1.42,-2.21
2023-09-29,2.96,6.85,-2.89
2023-10-06,-2.21,6.82,-2.16
2023-10-13,-2.89,2.96,-2.42
2023-10-20,-2.16,-2.21,0.96
2023-10-27,-2.42,-2.89,-4.08
2023-11-03,0.96,-2.16,6.38
2023-11-10,-4.08,-2.42,4.93
2023-11-17,6.38,0.96,-2.13
2023-11-24,4.93,-4.08,2.06
2023-12-01,-2.13,6.38,0.69
2023-12-08,2.06,4.93,1.96
2023-12-15,0.69,-2.13,2.44
