Date,% LLoyds Change,Previous % LLoyds Change,Next % LLoyds Change
2017-02-03,1.21,-1.27,1.53
2017-02-10,-0.35,-0.26,5.54
2017-02-17,1.53,1.21,2.34
2017-02-24,5.54,-0.35,-0.74
2017-03-03,2.34,1.53,1.34
2017-03-10,-0.74,5.54,-1.04
2017-03-17,1.34,2.34,-4.36
2017-03-24,-1.04,-0.74,-6.68
2017-03-31,-4.36,1.34,-2.19
2017-04-07,-6.68,-1.04,9.81
2017-04-21,-2.19,-4.36,8.75
2017-04-28,9.81,-6.68,-0.72
2017-05-05,8.75,-2.19,2.54
2017-05-12,-0.72,9.81,4.43
2017-05-19,2.54,8.75,-3.39
2017-05-26,4.43,-0.72,-2.41
2017-06-02,-3.39,2.54,-1.17
2017-06-09,-2.41,4.43,-4.76
2017-06-16,-1.17,-3.39,-3.49
2017-06-23,-4.76,-2.41,-0.22
2017-06-30,-3.49,-1.17,1.19
2017-07-07,-0.22,-4.76,2.37
2017-07-14,1.19,-3.49,-0.66
2017-07-21,2.37,-0.22,-1.91
2017-07-28,-0.66,1.19,-2.8
2017-08-04,-1.91,2.37,-4.34
2017-08-11,-2.8,-0.66,0.42
2017-08-18,-4.34,-1.91,-0.34
2017-08-25,0.42,-2.8,-1.76
2017-09-01,-0.34,-4.34,2.56
2017-09-08,-1.76,0.42,4.92
2017-09-15,2.56,-0.34,3.69
2017-09-22,4.92,-1.76,-0.46
2017-09-29,3.69,2.56,-2.7
2017-10-06,-0.46,4.92,0.6
2017-10-13,-2.7,3.69,4.57
2017-10-20,0.6,-0.46,0.58
2017-10-27,4.57,-2.7,-3.53
2017-11-03,0.58,0.6,-2.08
2017-11-10,-3.53,4.57,-0.59
2017-11-17,-2.08,0.58,-1.88
2017-11-24,-0.59,-3.53,1.07
2017-12-01,-1.88,-2.08,2.56
2017-12-08,1.07,-0.59,0.61
2017-12-15,2.56,-1.88,2.48
2017-12-22,0.61,1.07,1.28
2017-12-29,2.48,2.56,3.59
2018-01-05,1.28,0.61,5.01
2018-01-12,3.59,2.48,1.08
2018-01-19,5.01,1.28,-3.82
2018-01-26,1.08,3.59,-6.61
2018-02-02,-3.82,5.01,-1.48
2018-02-09,-6.61,1.08,3.16
2018-02-16,-1.48,-3.82,-1.08
2018-02-23,3.16,-6.61,-1.98
2018-03-02,-1.08,-1.48,0.75
2018-03-09,-1.98,3.16,-3.76
2018-03-16,0.75,-1.08,-1.75
2018-03-23,-3.76,-1.98,5.28
2018-04-06,-1.75,0.75,-0.93
2018-04-13,5.28,-3.76,-4.97
2018-04-20,-0.93,-1.75,-0.49
2018-04-27,-4.97,5.28,3.53
2018-05-04,-0.49,-0.93,0.99
2018-05-11,3.53,-4.97,-2.1
2018-05-18,0.99,-0.49,-4.06
2018-05-25,-2.1,3.53,-4.22
2018-06-01,-4.06,0.99,-2.0
2018-06-08,-4.22,-2.1,-1.24
2018-06-15,-2.0,-4.06,1.56
2018-06-22,-1.24,-4.22,0.6
2018-06-29,1.56,-2.0,-1.02
2018-07-06,0.6,-1.24,0.22
2018-07-13,-1.02,1.56,0.3
2018-07-20,0.22,0.6,-0.13
2018-07-27,0.3,-1.02,-1.18
2018-08-03,-0.13,0.22,-3.82
2018-08-10,-1.18,0.3,-1.65
2018-08-17,-3.82,-0.13,-1.43
2018-08-24,-1.65,-1.18,-3.45
2018-08-31,-1.43,-3.82,-0.71
2018-09-07,-3.45,-1.65,5.31
2018-09-14,-0.71,-1.43,0.66
2018-09-21,5.31,-3.45,-4.74
2018-09-28,0.66,-0.71,-1.89
2018-10-05,-4.74,5.31,-4.75
2018-10-12,-1.89,0.66,-2.27
2018-10-19,-4.75,-4.74,5.99
2018-10-26,-2.27,-1.89,5.49
2018-11-02,5.99,-4.75,-8.39
2018-11-09,5.49,-2.27,-4.59
2018-11-16,-8.39,5.99,1.58
2018-11-23,-4.59,5.49,-5.51
2018-11-30,1.58,-8.39,-4.8
2018-12-07,-5.51,-4.59,-4.7
2018-12-14,-4.8,1.58,-2.83
2018-12-21,-4.7,-5.51,2.5
2018-12-28,-2.83,-4.8,6.83
2019-01-04,2.5,-4.7,9.85
2019-01-11,6.83,-2.83,7.06
2019-01-18,9.85,2.5,0.31
2019-01-25,7.06,6.83,-2.89
2019-02-01,0.31,9.85,0.45
2019-02-08,-2.89,7.06,5.49
2019-02-15,0.45,0.31,7.55
2019-02-22,5.49,-2.89,3.12
2019-03-01,7.55,0.45,3.17
2019-03-08,3.12,5.49,0.71
2019-03-15,3.17,7.55,-4.16
2019-03-22,0.71,3.12,-0.16
2019-03-29,-4.16,3.17,4.28
2019-04-05,-0.16,0.71,1.27
2019-04-12,4.28,-4.16,-3.33
2019-04-26,1.27,-0.16,-3.1
2019-05-03,-3.33,4.28,-3.67
2019-05-10,-3.1,1.27,-4.14
2019-05-17,-3.67,-3.33,-5.1
2019-05-24,-4.14,-3.1,-1.56
2019-05-31,-5.1,-3.67,0.77
2019-06-07,-1.56,-4.14,0.85
2019-06-14,0.77,-5.1,-1.92
2019-06-21,0.85,-1.56,-0.46
2019-06-28,-1.92,0.77,1.93
2019-07-05,-0.46,0.85,-1.8
2019-07-12,1.93,-1.92,-2.93
2019-07-19,-1.8,-0.46,-9.74
2019-07-26,-2.93,1.93,-11.59
2019-08-02,-9.74,-1.8,-3.14
2019-08-09,-11.59,-2.93,0.99
2019-08-16,-3.14,-9.74,0.36
2019-08-23,0.99,-11.59,0.1
2019-08-30,0.36,-3.14,9.63
2019-09-06,0.1,0.99,10.93
2019-09-13,9.63,0.36,0.57
2019-09-20,10.93,0.1,-6.27
2019-09-27,0.57,9.63,7.63
2019-10-04,-6.27,10.93,15.68
2019-10-11,7.63,0.57,1.47
2019-10-18,15.68,-6.27,-4.78
2019-10-25,1.47,7.63,-6.2
2019-11-01,-4.78,15.68,3.25
2019-11-08,-6.2,1.47,6.24
2019-11-15,3.25,-4.78,3.35
2019-11-22,6.24,-6.2,2.81
2019-11-29,3.35,3.25,5.2
2019-12-06,2.81,6.24,1.4
2019-12-13,5.2,3.35,-1.79
2019-12-20,1.4,2.81,1.16
2019-12-27,-1.79,5.2,-4.51
2020-01-03,1.16,1.4,-7.3
2020-01-10,-4.51,-1.79,-3.71
2020-01-17,-7.3,1.16,-2.84
2020-01-24,-3.71,-4.51,-2.01
2020-01-31,-2.84,-7.3,-0.32
2020-02-07,-2.01,-3.71,-2.76
2020-02-14,-0.32,-2.84,-11.32
2020-02-21,-2.76,-2.01,-17.47
2020-02-28,-11.32,-0.32,-24.52
2020-03-06,-17.47,-2.76,-29.73
2020-03-13,-24.52,-11.32,-9.21
2020-03-20,-29.73,-17.47,-13.61
2020-03-27,-9.21,-24.52,-11.48
2020-04-03,-13.61,-29.73,7.21
2020-04-17,-11.48,-9.21,4.04
2020-04-24,7.21,-13.61,-4.14
2020-05-01,4.04,-11.48,-11.24
2020-05-15,-4.14,7.21,4.81
2020-05-22,-11.24,4.04,26.42
2020-05-29,4.81,-4.14,6.9
2020-06-05,26.42,-11.24,-9.34
2020-06-12,6.9,4.81,-2.66
2020-06-19,-9.34,26.42,-3.75
2020-06-26,-2.66,6.9,-2.03
2020-07-03,-3.75,-9.34,-1.45
2020-07-10,-2.03,-2.66,-2.5
2020-07-17,-1.45,-3.75,-14.03
2020-07-24,-2.5,-2.03,-6.43
2020-07-31,-14.03,-1.45,10.16
2020-08-07,-6.43,-2.5,1.15
2020-08-14,10.16,-14.03,-2.07
2020-08-21,1.15,-6.43,-4.13
2020-08-28,-2.07,10.16,-8.71
2020-09-04,-4.13,1.15,-6.31
2020-09-11,-8.71,-2.07,-4.48
2020-09-18,-6.31,-4.13,7.73
2020-09-25,-4.48,-8.71,14.2
2020-10-02,7.73,-6.31,-0.66
2020-10-09,14.2,-4.48,3.72
2020-10-16,-0.66,7.73,3.74
2020-10-23,3.72,14.2,-6.56
2020-10-30,3.74,-0.66,23.91
2020-11-06,-6.56,3.72,30.88
2020-11-13,23.91,3.74,7.4
2020-11-20,30.88,-6.56,8.99
2020-11-27,7.4,23.91,-8.64
2020-12-04,8.99,30.88,-10.58
2020-12-11,-8.64,7.4,8.1
2020-12-18,-10.58,8.99,2.98
2021-01-08,8.1,-8.64,-5.59
2021-01-15,2.98,-10.58,-8.18
2021-01-22,-5.59,8.1,6.41
2021-01-29,-8.18,2.98,12.42
2021-02-05,6.41,-5.59,3.22
2021-02-12,12.42,-8.18,5.12
2021-02-19,3.22,6.41,4.95
2021-02-26,5.12,12.42,5.67
2021-03-05,4.95,3.22,2.37
2021-03-12,5.67,5.12,2.55
2021-03-19,2.37,4.95,5.44
2021-03-26,2.55,5.67,2.84
2021-04-09,5.44,2.37,-1.46
2021-04-16,2.84,2.55,4.56
2021-04-23,-1.46,5.44,9.22
2021-04-30,4.56,2.84,6.18
2021-05-07,9.22,-1.46,4.1
2021-05-14,6.18,4.56,3.4
2021-05-21,4.1,9.22,0.97
2021-05-28,3.4,6.18,-2.99
2021-06-04,0.97,4.1,-5.13
2021-06-11,-2.99,3.4,-2.44
2021-06-18,-5.13,0.97,0.86
2021-06-25,-2.44,-2.99,-1.08
2021-07-02,0.86,-5.13,-2.37
2021-07-09,-1.08,-2.44,-1.78
2021-07-16,-2.37,0.86,-0.2
2021-07-23,-1.78,-1.08,1.53
2021-07-30,-0.2,-2.37,1.31
2021-08-06,1.53,-1.78,-5.56
2021-08-13,1.31,-0.2,-4.63
2021-08-20,-5.56,1.53,-1.32
2021-08-27,-4.63,1.31,-3.47
2021-09-03,-1.32,-5.56,3.75
2021-09-10,-3.47,-4.63,6.74
2021-09-17,3.75,-1.32,0.44
2021-09-24,6.74,-3.47,3.15
2021-10-01,0.44,3.75,8.58
2021-10-08,3.15,6.74,3.97
2021-10-15,8.58,0.44,2.24
2021-10-22,3.97,3.15,0.78
2021-10-29,2.24,8.58,-1.97
2021-11-05,0.78,3.97,-0.08
2021-11-12,-1.97,2.24,-6.56
2021-11-19,-0.08,0.78,-5.26
2021-11-26,-6.56,-1.97,0.72
2021-12-03,-5.26,-0.08,-0.69
2021-12-10,0.72,-6.56,2.4
2021-12-17,-0.69,-5.26,3.55
2021-12-24,2.4,0.72,11.38
2021-12-31,3.55,-0.69,15.0
2022-01-07,11.38,2.4,-2.06
2022-01-14,15.0,3.55,-6.86
2022-01-21,-2.06,11.38,-0.71
2022-01-28,-6.86,15.0,5.39
2022-02-04,-0.71,-2.06,-0.31
2022-02-11,5.39,-6.86,-7.93
2022-02-18,-0.31,-0.71,-15.99
2022-02-25,-7.93,5.39,-8.47
2022-03-04,-15.99,-0.31,14.2
2022-03-11,-8.47,-7.93,7.21
2022-03-18,14.2,-15.99,-3.56
2022-03-25,7.21,-8.47,-8.55
2022-04-01,-3.56,14.2,-2.7
2022-04-08,-8.55,7.21,2.92
2022-04-22,-2.7,-3.56,-5.94
2022-04-29,2.92,-8.55,-4.36
2022-05-06,-5.94,-2.7,0.53
2022-05-13,-4.36,2.92,3.1
2022-05-20,0.53,-5.94,0.23
2022-05-27,3.1,-4.36,-6.59
2022-06-10,0.23,0.53,-0.69
2022-06-17,-6.59,3.1,0.35
2022-06-24,-0.69,0.23,-2.76
2022-07-01,0.35,-6.59,-1.2
2022-07-08,-2.76,-0.69,2.44
2022-07-15,-1.2,0.35,7.97
2022-07-22,2.44,-2.76,3.89
2022-07-29,7.97,-1.2,0.91
2022-08-05,3.89,2.44,-0.2
2022-08-12,0.91,7.97,-4.34
2022-08-19,-0.2,3.89,-2.45
2022-08-26,-4.34,0.91,5.29
2022-09-02,-2.45,-0.2,9.35
2022-09-09,5.29,-4.34,0.52
2022-09-16,9.35,-2.45,-13.43
2022-09-23,0.52,5.29,-7.66
2022-09-30,-13.43,9.35,2.56
2022-10-07,-7.66,0.52,-3.05
2022-10-14,2.56,-13.43,-2.78
2022-10-21,-3.05,-7.66,3.31
