Date,% MSCI Change,Previous % MSCI Change,Next % MSCI Change
2017-02-03,1.28,-0.02,1.72
2017-02-10,0.63,0.85,1.44
2017-02-17,1.72,1.28,0.68
2017-02-24,1.44,0.63,0.28
2017-03-03,0.68,1.72,0.76
2017-03-10,0.28,1.44,-0.0
2017-03-17,0.76,0.68,-0.5
2017-03-24,-0.0,0.28,-0.02
2017-03-31,-0.5,0.76,-0.63
2017-04-07,-0.02,-0.0,1.78
2017-04-21,-0.63,-0.5,2.97
2017-04-28,1.78,-0.02,0.78
2017-05-05,2.97,-0.63,-0.1
2017-05-12,0.78,1.78,1.02
2017-05-19,-0.1,2.97,2.13
2017-05-26,1.02,0.78,0.55
2017-06-02,2.13,-0.1,-0.62
2017-06-09,0.55,1.02,0.12
2017-06-16,-0.62,2.13,-0.35
2017-06-23,0.12,0.55,-0.61
2017-06-30,-0.35,-0.62,1.65
2017-07-07,-0.61,0.12,2.38
2017-07-14,1.65,-0.35,0.63
2017-07-21,2.38,-0.61,0.46
2017-07-28,0.63,1.65,-1.15
2017-08-04,0.46,2.38,-1.9
2017-08-11,-1.15,0.63,0.35
2017-08-18,-1.9,0.46,1.83
2017-08-25,0.35,-1.15,1.03
2017-09-01,1.83,-1.9,1.12
2017-09-08,1.03,0.35,1.53
2017-09-15,1.12,1.83,0.65
2017-09-22,1.53,1.03,0.97
2017-09-29,0.65,1.12,1.37
2017-10-06,0.97,1.53,1.07
2017-10-13,1.37,0.65,0.32
2017-10-20,1.07,0.97,0.49
2017-10-27,0.32,1.37,0.28
2017-11-03,0.49,1.07,-0.6
2017-11-10,0.28,0.32,0.95
2017-11-17,-0.6,0.49,1.78
2017-11-24,0.95,0.28,0.68
2017-12-01,1.78,-0.6,0.78
2017-12-08,0.68,0.95,1.26
2017-12-15,0.78,1.78,0.86
2017-12-22,1.26,0.68,2.72
2017-12-29,0.86,0.78,3.89
2018-01-05,2.72,1.26,2.36
2018-01-12,3.89,0.86,2.91
2018-01-19,2.36,2.72,-1.62
2018-01-26,2.91,3.89,-8.81
2018-02-02,-1.62,2.36,-1.55
2018-02-09,-8.81,2.91,4.39
2018-02-16,-1.55,-1.62,-2.25
2018-02-23,4.39,-8.81,0.39
2018-03-02,-2.25,-1.55,2.12
2018-03-09,0.39,4.39,-5.25
2018-03-16,2.12,-2.25,-3.81
2018-03-23,-5.25,0.39,2.57
2018-04-06,-3.81,2.12,2.29
2018-04-13,2.57,-5.25,0.34
2018-04-20,2.29,-3.81,-0.49
2018-04-27,0.34,2.57,1.71
2018-05-04,-0.49,2.29,1.5
2018-05-11,1.71,0.34,-0.99
2018-05-18,1.5,-0.49,-0.55
2018-05-25,-0.99,1.71,1.28
2018-06-01,-0.55,1.5,1.18
2018-06-08,1.28,-0.99,-1.07
2018-06-15,1.18,-0.55,-2.1
2018-06-22,-1.07,1.28,-0.05
2018-06-29,-2.1,1.18,2.17
2018-07-06,-0.05,-1.07,1.2
2018-07-13,2.17,-2.1,1.01
2018-07-20,1.2,-0.05,0.76
2018-07-27,1.01,2.17,-0.75
2018-08-03,0.76,1.2,-0.8
2018-08-10,-0.75,1.01,1.02
2018-08-17,-0.8,0.76,1.75
2018-08-24,1.02,-0.75,-1.11
