Date,% Voda Change,Previous % Voda Change,Next % Voda Change
2017-02-03,-5.8,-2.51,2.01
2017-02-10,2.25,-9.94,2.6
2017-02-17,2.01,-5.8,2.12
2017-02-24,2.6,2.25,0.49
2017-03-03,2.12,2.01,4.55
2017-03-10,0.49,2.6,3.8
2017-03-17,4.55,2.12,-1.56
2017-03-24,3.8,0.49,-3.97
2017-03-31,-1.56,4.55,-4.49
2017-04-07,-3.97,3.8,-2.04
2017-04-21,-4.49,-1.56,3.12
2017-04-28,-2.04,-3.97,6.03
2017-05-05,3.12,-4.49,7.49
2017-05-12,6.03,-2.04,9.07
2017-05-19,7.49,3.12,4.38
2017-05-26,9.07,6.03,-3.97
2017-06-02,4.38,7.49,-3.22
2017-06-09,-3.97,9.07,1.2
2017-06-16,-3.22,4.38,-2.16
2017-06-23,1.2,-3.97,-2.21
2017-06-30,-2.16,-3.22,0.48
2017-07-07,-2.21,1.2,3.31
2017-07-14,0.48,-2.16,0.69
2017-07-21,3.31,-2.21,-0.44
2017-07-28,0.69,0.48,-0.36
2017-08-04,-0.44,3.31,-2.64
2017-08-11,-0.36,0.69,0.05
2017-08-18,-2.64,-0.44,0.21
2017-08-25,0.05,-0.36,-2.66
2017-09-01,0.21,-2.64,-5.95
2017-09-08,-2.66,0.05,-2.57
2017-09-15,-5.95,0.21,1.14
2017-09-22,-2.57,-2.66,1.7
2017-09-29,1.14,-5.95,3.28
2017-10-06,1.7,-2.57,2.38
2017-10-13,3.28,1.14,-0.02
2017-10-20,2.38,1.7,1.15
2017-10-27,-0.02,3.28,0.95
2017-11-03,1.15,2.38,4.26
2017-11-10,0.95,-0.02,3.61
2017-11-17,4.26,1.15,-2.06
2017-11-24,3.61,0.95,1.73
2017-12-01,-2.06,4.26,2.68
2017-12-08,1.73,3.61,2.83
2017-12-15,2.68,-2.06,2.17
2017-12-22,2.83,1.73,0.38
2017-12-29,2.17,2.68,-2.4
2018-01-05,0.38,2.83,-4.65
2018-01-12,-2.4,2.17,-1.64
2018-01-19,-4.65,0.38,-2.79
2018-01-26,-1.64,-2.4,-10.55
2018-02-02,-2.79,-4.65,-6.77
2018-02-09,-10.55,-1.64,1.02
2018-02-16,-6.77,-2.79,-2.75
2018-02-23,1.02,-10.55,1.55
2018-03-02,-2.75,-6.77,1.25
2018-03-09,1.55,1.02,-6.46
2018-03-16,1.25,-2.75,1.24
2018-03-23,-6.46,1.55,6.83
2018-04-06,1.24,1.25,2.94
2018-04-13,6.83,-6.46,1.79
2018-04-20,2.94,1.24,0.24
2018-04-27,1.79,6.83,-0.21
2018-05-04,0.24,2.94,-8.23
2018-05-11,-0.21,1.79,-7.17
2018-05-18,-8.23,0.24,0.9
2018-05-25,-7.17,-0.21,-3.88
2018-06-01,0.9,-8.23,-5.19
2018-06-08,-3.88,-7.17,-0.11
2018-06-15,-5.19,0.9,-0.53
2018-06-22,-0.11,-3.88,1.99
2018-06-29,-0.53,-5.19,-1.26
2018-07-06,1.99,-0.11,-6.99
2018-07-13,-1.26,-0.53,-0.83
2018-07-20,-6.99,1.99,4.03
2018-07-27,-0.83,-1.26,1.4
2018-08-03,4.03,-6.99,-4.88
2018-08-10,1.4,-0.83,-3.97
2018-08-17,-4.88,4.03,-6.42
2018-08-24,-3.97,1.4,-5.72
2018-08-31,-6.42,-4.88,1.79
2018-09-07,-5.72,-3.97,3.44
2018-09-14,1.79,-6.42,-1.76
2018-09-21,3.44,-5.72,-6.27
2018-09-28,-1.76,1.79,-8.21
2018-10-05,-6.27,3.44,-4.84
2018-10-12,-8.21,-1.76,-4.61
2018-10-19,-4.84,-6.27,-1.27
2018-10-26,-4.61,-8.21,-0.08
2018-11-02,-1.27,-4.84,1.91
2018-11-09,-0.08,-4.61,7.78
2018-11-16,1.91,-1.27,10.13
2018-11-23,7.78,-0.08,4.94
2018-11-30,10.13,1.91,-4.89
2018-12-07,4.94,7.78,-3.71
2018-12-14,-4.89,10.13,-3.8
2018-12-21,-3.71,4.94,0.79
2018-12-28,-3.8,-4.89,-1.13
2019-01-04,0.79,-3.71,-5.47
2019-01-11,-1.13,-3.8,-10.36
2019-01-18,-5.47,0.79,-7.03
2019-01-25,-10.36,-1.13,1.23
2019-02-01,-7.03,-5.47,1.7
2019-02-08,1.23,-10.36,2.25
2019-02-15,1.7,-7.03,-4.93
2019-02-22,2.25,1.23,-3.53
