Date,% downloaded_hold_BP Change,Previous % downloaded_hold_BP Change,Next % downloaded_hold_BP Change
2017-01-31,-5.81,-2.96,-6.66
2017-02-01,-6.37,-2.73,-6.58
2017-02-02,-5.3,-3.51,-5.5
2017-02-03,-3.96,-3.14,-5.59
2017-02-06,-2.18,-5.13,-3.46
2017-02-07,-6.66,-4.3,-2.82
2017-02-08,-6.58,-4.92,-3.25
2017-02-09,-5.5,-5.82,-5.14
2017-02-10,-5.59,-6.02,-6.81
2017-02-13,-3.46,-7.13,-6.58
2017-02-14,-2.82,-5.81,-1.38
2017-02-15,-3.25,-6.37,-1.81
2017-02-16,-5.14,-5.3,-1.81
2017-02-17,-6.81,-3.96,-2.72
2017-02-20,-6.58,-2.18,-1.76
2017-02-21,-1.38,-6.66,-1.29
2017-02-22,-1.81,-6.58,1.54
2017-02-23,-1.81,-5.5,3.67
2017-02-24,-2.72,-5.59,4.05
2017-02-27,-1.76,-3.46,3.95
2017-02-28,-1.29,-2.82,2.71
2017-03-01,1.54,-3.25,2.9
2017-03-02,3.67,-5.14,0.8
2017-03-03,4.05,-6.81,5.28
2017-03-06,3.95,-6.58,2.66
2017-03-07,2.71,-1.38,0.76
2017-03-08,2.9,-1.81,-1.82
2017-03-09,0.8,-1.81,-1.2
2017-03-10,5.28,-2.72,-0.23
2017-03-13,2.66,-1.76,-0.37
2017-03-14,0.76,-1.29,-1.0
2017-03-15,-1.82,1.54,-1.29
2017-03-16,-1.2,3.67,0.57
2017-03-17,-0.23,4.05,-4.0
2017-03-20,-0.37,3.95,-3.37
2017-03-21,-1.0,2.71,-0.78
2017-03-22,-1.29,2.9,1.11
2017-03-23,0.57,0.8,0.52
2017-03-24,-4.0,5.28,-1.18
2017-03-27,-3.37,2.66,-1.08
2017-03-28,-0.78,0.76,1.16
2017-03-29,1.11,-1.82,2.3
2017-03-30,0.52,-1.2,1.72
2017-03-31,-1.18,-0.23,4.11
2017-04-03,-1.08,-0.37,4.86
2017-04-04,1.16,-1.0,3.8
2017-04-05,2.3,-1.29,2.45
2017-04-06,1.72,0.57,2.05
2017-04-07,4.11,-4.0,-1.08
2017-04-10,4.86,-3.37,-1.82
2017-04-11,3.8,-0.78,-3.67
2017-04-12,2.45,1.11,-5.12
2017-04-13,2.05,0.52,-3.26
2017-04-18,-1.08,-1.18,-4.5
2017-04-19,-1.82,-1.08,-3.41
2017-04-20,-3.67,1.16,-5.96
2017-04-21,-5.12,2.3,-6.35
2017-04-24,-3.26,1.72,-4.56
2017-04-25,-4.5,4.11,-1.31
2017-04-26,-3.41,4.86,-0.67
2017-04-27,-5.96,3.8,1.05
2017-04-28,-6.35,2.45,2.96
2017-05-02,-4.56,2.05,1.44
2017-05-03,-1.31,-1.08,2.52
2017-05-04,-0.67,-1.82,0.51
2017-05-05,1.05,-3.67,3.92
2017-05-08,2.96,-5.12,4.9
2017-05-09,1.44,-3.26,4.37
2017-05-10,2.52,-4.5,5.34
2017-05-11,0.51,-3.41,5.44
2017-05-12,3.92,-5.96,4.61
2017-05-15,4.9,-6.35,4.29
2017-05-16,4.37,-4.56,4.06
2017-05-17,5.34,-1.31,3.9
2017-05-18,5.44,-0.67,3.76
2017-05-19,4.61,1.05,3.16
2017-05-22,4.29,2.96,1.7
2017-05-23,4.06,1.44,-0.54
2017-05-24,3.9,2.52,-0.11
2017-05-25,3.76,0.51,-1.33
2017-05-26,3.16,3.92,-1.72
2017-05-30,1.7,4.9,-1.91
2017-05-31,-0.54,4.37,-3.68
2017-06-01,-0.11,5.34,-4.63
2017-06-02,-1.33,5.44,-1.12
2017-06-05,-1.72,4.61,-0.77
2017-06-06,-1.91,4.29,-0.41
2017-06-07,-3.68,4.06,-1.09
2017-06-08,-4.63,3.9,-1.93
2017-06-09,-1.12,3.76,0.84
2017-06-12,-0.77,3.16,1.85
2017-06-13,-0.41,1.7,-1.0
2017-06-14,-1.09,-0.54,-0.02
2017-06-15,-1.93,-0.11,0.09
2017-06-16,0.84,-1.33,-2.45
2017-06-19,1.85,-1.72,-2.78
2017-06-20,-1.0,-1.91,-2.1
2017-06-21,-0.02,-3.68,-1.36
2017-06-22,0.09,-4.63,-2.4
2017-06-23,-2.45,-1.12,-5.11
2017-06-26,-2.78,-0.77,-4.52
2017-06-27,-2.1,-0.41,-2.23
2017-06-28,-1.36,-1.09,-2.75
2017-06-29,-2.4,-1.93,-2.38
2017-06-30,-5.11,0.84,-2.71
2017-07-03,-4.52,1.85,-3.07
2017-07-04,-2.23,-1.0,-3.88
2017-07-05,-2.75,-0.02,-1.02
2017-07-06,-2.38,0.09,-0.68
2017-07-07,-2.71,-2.45,0.45
2017-07-10,-3.07,-2.78,-0.76
2017-07-11,-3.88,-2.1,-1.01
2017-07-12,-1.02,-1.36,0.41
2017-07-13,-0.68,-2.4,0.98
2017-07-14,0.45,-5.11,0.52
2017-07-17,-0.76,-4.52,-0.9
2017-07-18,-1.01,-2.23,0.9
2017-07-19,0.41,-2.75,-1.22
2017-07-20,0.98,-2.38,-0.48
2017-07-21,0.52,-2.71,-0.26
2017-07-24,-0.9,-3.07,-0.46
2017-07-25,0.9,-3.88,2.47
2017-07-26,-1.22,-1.02,2.99
2017-07-27,-0.48,-0.68,2.3
2017-07-28,-0.26,0.45,3.81
2017-07-31,-0.46,-0.76,6.53
2017-08-01,2.47,-1.01,5.53
2017-08-02,2.99,0.41,5.32
2017-08-03,2.3,0.98,2.93
2017-08-04,3.81,0.52,0.92
2017-08-07,6.53,-0.9,0.07
2017-08-08,5.53,0.9,-2.71
2017-08-09,5.32,-1.22,-3.02
2017-08-10,2.93,-0.48,-3.78
2017-08-11,0.92,-0.26,-5.03
2017-08-14,0.07,-0.46,-6.04
2017-08-15,-2.71,2.47,-6.14
2017-08-16,-3.02,2.99,-5.19
2017-08-17,-3.78,2.3,-3.19
2017-08-18,-5.03,3.81,-0.5
2017-08-21,-6.04,6.53,-1.28
2017-08-22,-6.14,5.53,-0.5
2017-08-23,-5.19,5.32,-0.07
2017-08-24,-3.19,2.93,0.35
2017-08-25,-0.5,0.92,1.47
2017-08-29,-1.28,0.07,1.49
2017-08-30,-0.5,-2.71,1.03
2017-08-31,-0.07,-3.02,1.21
2017-09-01,0.35,-3.78,0.67
2017-09-04,1.47,-5.03,0.81
2017-09-05,1.49,-6.04,1.93
2017-09-06,1.03,-6.14,2.36
2017-09-07,1.21,-5.19,1.47
2017-09-08,0.67,-3.19,0.79
2017-09-11,0.81,-0.5,0.97
2017-09-12,1.93,-1.28,2.1
2017-09-13,2.36,-0.5,2.83
2017-09-14,1.47,-0.07,3.02
2017-09-15,0.79,0.35,4.6
2017-09-18,0.97,1.47,5.19
2017-09-19,2.1,1.49,5.05
2017-09-20,2.83,1.03,4.58
2017-09-21,3.02,1.21,5.39
2017-09-22,4.6,0.67,6.48
2017-09-25,5.19,0.81,6.48
2017-09-26,5.05,1.93,6.64
2017-09-27,4.58,2.36,5.74
2017-09-28,5.39,1.47,5.8
2017-09-29,6.48,0.79,4.62
2017-10-02,6.48,0.97,2.94
2017-10-03,6.64,2.1,3.9
2017-10-04,5.74,2.83,3.3
2017-10-05,5.8,3.02,3.23
2017-10-06,4.62,4.6,2.83
2017-10-09,2.94,5.19,2.4
2017-10-10,3.9,5.05,0.86
2017-10-11,3.3,4.58,0.46
2017-10-12,3.23,5.39,0.36
2017-10-13,2.83,6.48,0.77
2017-10-16,2.4,6.48,0.96
2017-10-17,0.86,6.64,1.29
2017-10-18,0.46,5.74,-0.18
2017-10-19,0.36,5.8,-0.3
2017-10-20,0.77,4.62,1.45
2017-10-23,0.96,2.94,2.05
2017-10-24,1.29,3.9,4.0
2017-10-25,-0.18,3.3,5.33
2017-10-26,-0.3,3.23,5.27
2017-10-27,1.45,2.83,5.06
2017-10-30,2.05,2.4,6.14
2017-10-31,4.0,0.86,5.73
2017-11-01,5.33,0.46,7.45
2017-11-02,5.27,0.36,5.02
2017-11-03,5.06,0.77,1.81
2017-11-06,6.14,0.96,1.06
2017-11-07,5.73,1.29,-1.41
2017-11-08,7.45,-0.18,-3.7
2017-11-09,5.02,-0.3,-5.2
2017-11-10,1.81,1.45,-4.59
2017-11-13,1.06,2.05,-5.58
2017-11-14,-1.41,4.0,-5.79
2017-11-15,-3.7,5.33,-5.01
2017-11-16,-5.2,5.27,-2.66
2017-11-17,-4.59,5.06,-1.1
2017-11-20,-5.58,6.14,-2.11
2017-11-21,-5.79,5.73,-0.32
2017-11-22,-5.01,7.45,-0.1
2017-11-23,-2.66,5.02,-0.42
2017-11-24,-1.1,1.81,-0.22
2017-11-27,-2.11,1.06,0.2
2017-11-28,-0.32,-1.41,-0.52
2017-11-29,-0.1,-3.7,-0.72
2017-11-30,-0.42,-5.2,-2.54
2017-12-01,-0.22,-4.59,-1.71
2017-12-04,0.2,-5.58,0.5
2017-12-05,-0.52,-5.79,1.91
2017-12-06,-0.72,-5.01,2.2
2017-12-07,-2.54,-2.66,3.05
2017-12-08,-1.71,-1.1,2.68
2017-12-11,0.5,-2.11,3.39
2017-12-12,1.91,-0.32,3.26
2017-12-13,2.2,-0.1,2.92
2017-12-14,3.05,-0.42,6.41
2017-12-15,2.68,-0.22,4.96
2017-12-18,3.39,0.2,4.01
2017-12-19,3.26,-0.52,1.49
2017-12-20,2.92,-0.72,3.42
2017-12-21,6.41,-2.54,2.68
2017-12-22,4.96,-1.71,3.76
2017-12-27,4.01,0.5,3.98
2017-12-28,1.49,1.91,4.29
2017-12-29,3.42,2.2,3.68
2018-01-02,2.68,3.05,1.64
2018-01-03,3.76,2.68,2.57
2018-01-04,3.98,3.39,2.76
2018-01-05,4.29,3.26,3.12
2018-01-08,3.68,2.92,1.91
2018-01-09,1.64,6.41,0.15
2018-01-10,2.57,4.96,-1.51
2018-01-11,2.76,4.01,-2.55
2018-01-12,3.12,1.49,-3.72
2018-01-15,1.91,3.42,-2.2
2018-01-16,0.15,2.68,-2.33
2018-01-17,-1.51,3.76,-2.83
2018-01-18,-2.55,3.98,-3.06
2018-01-19,-3.72,4.29,-3.46
2018-01-22,-2.2,3.68,-3.21
2018-01-23,-2.33,1.64,-2.01
2018-01-24,-2.83,2.57,-2.94
2018-01-25,-3.06,2.76,-2.9
2018-01-26,-3.46,3.12,-4.01
2018-01-29,-3.21,1.91,-6.54
2018-01-30,-2.01,0.15,-7.89
2018-01-31,-2.94,-1.51,-5.92
2018-02-01,-2.9,-2.55,-6.89
2018-02-02,-4.01,-3.72,-8.96
2018-02-05,-6.54,-2.2,-7.14
2018-02-06,-7.89,-2.33,-6.29
2018-02-07,-5.92,-2.83,-5.23
2018-02-08,-6.89,-3.06,-6.33
2018-02-09,-8.96,-3.46,-3.28
2018-02-12,-7.14,-3.21,-1.66
2018-02-13,-6.29,-2.01,0.0
2018-02-14,-5.23,-2.94,-2.64
2018-02-15,-6.33,-2.9,-1.5
2018-02-16,-3.28,-4.01,1.29
2018-02-19,-1.66,-6.54,0.43
