Date,% downloaded_hold_Barc Change,Previous % downloaded_hold_Barc Change,Next % downloaded_hold_Barc Change
2017-01-31,-5.25,-0.13,-1.14
2017-02-01,-2.42,-3.15,-2.56
2017-02-02,-3.04,-1.83,-1.21
2017-02-03,0.64,-3.34,-0.85
2017-02-06,1.29,-4.08,4.01
2017-02-07,-1.14,-3.22,7.2
2017-02-08,-2.56,-1.43,7.72
2017-02-09,-1.21,0.04,7.52
2017-02-10,-0.85,-1.98,3.56
2017-02-13,4.01,-3.33,4.44
2017-02-14,7.2,-5.25,4.38
2017-02-15,7.72,-2.42,4.53
2017-02-16,7.52,-3.04,-0.22
2017-02-17,3.56,0.64,-1.2
2017-02-20,4.44,1.29,-3.16
2017-02-21,4.38,-1.14,-3.72
2017-02-22,4.53,-2.56,-2.65
2017-02-23,-0.22,-1.21,-3.57
2017-02-24,-1.2,-0.85,-2.36
2017-02-27,-3.16,4.01,-4.44
2017-02-28,-3.72,7.2,-3.77
2017-03-01,-2.65,7.72,-1.21
2017-03-02,-3.57,7.52,1.38
2017-03-03,-2.36,3.56,2.63
2017-03-06,-4.44,4.44,2.31
2017-03-07,-3.77,4.38,0.02
2017-03-08,-1.21,4.53,-2.32
2017-03-09,1.38,-0.22,-0.02
2017-03-10,2.63,-1.2,-0.43
2017-03-13,2.31,-3.16,0.59
2017-03-14,0.02,-3.72,1.3
2017-03-15,-2.32,-2.65,-3.34
2017-03-16,-0.02,-3.57,-3.57
2017-03-17,-0.43,-2.36,-2.11
2017-03-20,0.59,-4.44,-2.61
2017-03-21,1.3,-3.77,0.68
2017-03-22,-3.34,-1.21,-0.09
2017-03-23,-3.57,1.38,-0.61
2017-03-24,-2.11,2.63,-2.3
2017-03-27,-2.61,2.31,-3.0
2017-03-28,0.68,0.02,-5.33
2017-03-29,-0.09,-2.32,-2.65
2017-03-30,-0.61,-0.02,-3.35
2017-03-31,-2.3,-0.43,-5.13
2017-04-03,-3.0,0.59,-3.57
2017-04-04,-5.33,1.3,-5.74
2017-04-05,-2.65,-3.34,-5.98
2017-04-06,-3.35,-3.57,-6.75
2017-04-07,-5.13,-2.11,-7.91
2017-04-10,-3.57,-2.61,-5.85
2017-04-11,-5.74,0.68,-4.59
2017-04-12,-5.98,-0.09,-4.87
2017-04-13,-6.75,-0.61,1.29
2017-04-18,-7.91,-2.3,3.48
2017-04-19,-5.85,-3.0,3.91
2017-04-20,-4.59,-5.33,4.16
2017-04-21,-4.87,-2.65,-0.68
2017-04-24,1.29,-3.35,-1.32
2017-04-25,3.48,-5.13,0.8
2017-04-26,3.91,-3.57,1.61
2017-04-27,4.16,-5.74,-0.67
2017-04-28,-0.68,-5.98,-1.47
2017-05-02,-1.32,-6.75,-6.34
2017-05-03,0.8,-7.91,-5.77
2017-05-04,1.61,-5.85,-8.06
2017-05-05,-0.67,-4.59,-8.06
2017-05-08,-1.47,-4.87,-0.78
2017-05-09,-6.34,1.29,0.83
2017-05-10,-5.77,3.48,0.26
2017-05-11,-8.06,3.91,0.19
2017-05-12,-8.06,4.16,3.56
2017-05-15,-0.78,-0.68,4.27
2017-05-16,0.83,-1.32,4.36
2017-05-17,0.26,0.8,3.1
2017-05-18,0.19,1.61,3.63
2017-05-19,3.56,-0.67,2.79
2017-05-22,4.27,-1.47,-0.66
2017-05-23,4.36,-6.34,-0.76
2017-05-24,3.1,-5.77,0.76
2017-05-25,3.63,-8.06,-0.64
2017-05-26,2.79,-8.06,-0.94
2017-05-30,-0.66,-0.78,-1.94
2017-05-31,-0.76,0.83,-2.85
2017-06-01,0.76,0.26,-5.11
2017-06-02,-0.64,0.19,-3.48
2017-06-05,-0.94,3.56,-3.02
2017-06-06,-1.94,4.27,-1.39
2017-06-07,-2.85,4.36,-3.1
2017-06-08,-5.11,3.1,-3.77
2017-06-09,-3.48,3.63,-3.63
2017-06-12,-3.02,2.79,-2.34
2017-06-13,-1.39,-0.66,-3.2
2017-06-14,-3.1,-0.76,-3.84
2017-06-15,-3.77,0.76,-4.58
2017-06-16,-3.63,-0.64,-4.38
2017-06-19,-2.34,-0.94,-2.61
2017-06-20,-3.2,-1.94,-1.7
2017-06-21,-3.84,-2.85,-0.02
2017-06-22,-4.58,-5.11,1.16
2017-06-23,-4.38,-3.48,-0.25
2017-06-26,-2.61,-3.02,0.15
2017-06-27,-1.7,-1.39,2.05
2017-06-28,-0.02,-3.1,2.02
