Date,% downloaded_hold_Glen Change,Previous % downloaded_hold_Glen Change,Next % downloaded_hold_Glen Change
2017-01-31,3.57,10.44,-2.77
2017-02-01,2.79,12.36,-4.56
2017-02-02,2.81,8.68,-2.57
2017-02-03,-2.78,10.36,-2.02
2017-02-06,-2.99,7.26,2.3
2017-02-07,-2.77,6.41,-0.02
2017-02-08,-4.56,5.49,-0.03
2017-02-09,-2.57,2.54,-0.15
2017-02-10,-2.02,3.36,3.21
2017-02-13,2.3,-0.11,5.21
2017-02-14,-0.02,3.57,3.24
2017-02-15,-0.03,2.79,4.37
2017-02-16,-0.15,2.81,6.13
2017-02-17,3.21,-2.78,2.11
2017-02-20,5.21,-2.99,-0.99
2017-02-21,3.24,-2.77,-1.33
2017-02-22,4.37,-4.56,3.43
2017-02-23,6.13,-2.57,3.51
2017-02-24,2.11,-2.02,5.88
2017-02-27,-0.99,2.3,-0.15
2017-02-28,-1.33,-0.02,-2.48
2017-03-01,3.43,-0.03,-2.18
2017-03-02,3.51,-0.15,-7.35
2017-03-03,5.88,3.21,-5.17
2017-03-06,-0.15,5.21,-3.32
2017-03-07,-2.48,3.24,-1.86
2017-03-08,-2.18,4.37,-3.75
2017-03-09,-7.35,6.13,1.64
2017-03-10,-5.17,2.11,1.2
2017-03-13,-3.32,-0.99,5.57
2017-03-14,-1.86,-1.33,3.16
2017-03-15,-3.75,3.43,3.42
2017-03-16,1.64,3.51,4.77
2017-03-17,1.2,5.88,2.96
2017-03-20,5.57,-0.15,-2.91
2017-03-21,3.16,-2.48,-1.41
2017-03-22,3.42,-2.18,-3.72
2017-03-23,4.77,-7.35,-7.0
2017-03-24,2.96,-5.17,-8.52
2017-03-27,-2.91,-3.32,-9.02
2017-03-28,-1.41,-1.86,-3.0
2017-03-29,-3.72,-3.75,-2.31
2017-03-30,-7.0,1.64,-0.72
2017-03-31,-8.52,1.2,0.42
2017-04-03,-9.02,5.57,4.22
2017-04-04,-3.0,3.16,2.82
2017-04-05,-2.31,3.42,-0.96
2017-04-06,-0.72,4.77,-2.66
2017-04-07,0.42,2.96,-6.82
2017-04-10,4.22,-2.91,-5.52
2017-04-11,2.82,-1.41,-6.17
2017-04-12,-0.96,-3.72,-7.24
2017-04-13,-2.66,-7.0,-4.34
2017-04-18,-6.82,-8.52,-2.77
2017-04-19,-5.52,-9.02,-2.9
2017-04-20,-6.17,-3.0,-6.47
2017-04-21,-7.24,-2.31,-2.05
2017-04-24,-4.34,-0.72,-3.62
2017-04-25,-2.77,0.42,-1.71
2017-04-26,-2.9,4.22,-6.45
2017-04-27,-6.47,2.82,-3.8
2017-04-28,-2.05,-0.96,-4.76
2017-05-02,-3.62,-2.66,-4.78
2017-05-03,-1.71,-6.82,-7.54
2017-05-04,-6.45,-5.52,-6.26
2017-05-05,-3.8,-6.17,-4.89
2017-05-08,-4.76,-7.24,-3.18
2017-05-09,-4.78,-4.34,-0.4
2017-05-10,-7.54,-2.77,1.12
2017-05-11,-6.26,-2.9,4.98
2017-05-12,-4.89,-6.47,2.11
2017-05-15,-3.18,-2.05,4.24
2017-05-16,-0.4,-3.62,0.36
2017-05-17,1.12,-1.71,1.08
2017-05-18,4.98,-6.45,0.47
2017-05-19,2.11,-3.8,2.63
2017-05-22,4.24,-4.76,-0.68
2017-05-23,0.36,-4.78,-3.89
2017-05-24,1.08,-7.54,-1.36
2017-05-25,0.47,-6.26,-1.46
2017-05-26,2.63,-4.89,-3.98
2017-05-30,-0.68,-3.18,-4.66
2017-05-31,-3.89,-0.4,-3.06
2017-06-01,-1.36,1.12,-0.98
2017-06-02,-1.46,4.98,1.23
2017-06-05,-3.98,2.11,0.57
2017-06-06,-4.66,4.24,0.79
2017-06-07,-3.06,0.36,0.54
2017-06-08,-0.98,1.08,-1.05
2017-06-09,1.23,0.47,-2.44
2017-06-12,0.57,2.63,1.61
2017-06-13,0.79,-0.68,-2.16
2017-06-14,0.54,-3.89,-0.55
2017-06-15,-1.05,-1.36,-2.44
2017-06-16,-2.44,-1.46,-5.25
2017-06-19,1.61,-3.98,-5.76
2017-06-20,-2.16,-4.66,-2.26
2017-06-21,-0.55,-3.06,-0.91
2017-06-22,-2.44,-0.98,2.6
2017-06-23,-5.25,1.23,2.66
2017-06-26,-5.76,0.57,4.74
2017-06-27,-2.26,0.79,9.76
2017-06-28,-0.91,0.54,9.22
2017-06-29,2.6,-1.05,6.32
2017-06-30,2.66,-2.44,6.35
2017-07-03,4.74,1.61,8.61
2017-07-04,9.76,-2.16,6.9
2017-07-05,9.22,-0.55,10.89
2017-07-06,6.32,-2.44,8.32
2017-07-07,6.35,-5.25,10.06
2017-07-10,8.61,-5.76,6.37
2017-07-11,6.9,-2.26,5.81
2017-07-12,10.89,-0.91,4.75
2017-07-13,8.32,2.6,6.36
2017-07-14,10.06,2.66,5.48
2017-07-17,6.37,4.74,3.85
2017-07-18,5.81,9.76,7.53
2017-07-19,4.75,9.22,4.65
2017-07-20,6.36,6.32,5.14
2017-07-21,5.48,6.35,4.79
2017-07-24,3.85,8.61,4.16
2017-07-25,7.53,6.9,4.72
2017-07-26,4.65,10.89,3.23
2017-07-27,5.14,8.32,5.16
2017-07-28,4.79,10.06,7.74
2017-07-31,4.16,6.37,10.84
2017-08-01,4.72,5.81,5.01
2017-08-02,3.23,4.75,3.08
2017-08-03,5.16,6.36,0.23
2017-08-04,7.74,5.48,-2.79
2017-08-07,10.84,3.85,-0.67
2017-08-08,5.01,7.53,-1.53
2017-08-09,3.08,4.65,3.87
2017-08-10,0.23,5.14,2.94
2017-08-11,-2.79,4.79,1.67
2017-08-14,-0.67,4.16,-1.52
2017-08-15,-1.53,4.72,0.4
2017-08-16,3.87,3.23,3.91
2017-08-17,2.94,5.16,6.77
2017-08-18,1.67,7.74,9.57
2017-08-21,-1.52,10.84,6.34
2017-08-22,0.4,5.01,7.69
2017-08-23,3.91,3.08,4.13
2017-08-24,6.77,0.23,6.38
2017-08-25,9.57,-2.79,6.89
2017-08-29,6.34,-0.67,6.36
2017-08-30,7.69,-1.53,4.93
2017-08-31,4.13,3.87,4.36
2017-09-01,6.38,2.94,2.58
2017-09-04,6.89,1.67,4.67
2017-09-05,6.36,-1.52,5.54
2017-09-06,4.93,0.4,1.93
2017-09-07,4.36,3.91,-2.2
2017-09-08,2.58,6.77,-6.13
2017-09-11,4.67,9.57,-5.59
2017-09-12,5.54,6.34,-4.65
2017-09-13,1.93,7.69,-4.66
2017-09-14,-2.2,4.13,-5.96
2017-09-15,-6.13,6.38,-4.38
2017-09-18,-5.59,6.89,-6.82
2017-09-19,-4.65,6.36,-8.21
2017-09-20,-4.66,4.93,-6.05
2017-09-21,-5.96,4.36,-3.61
2017-09-22,-4.38,2.58,-0.72
2017-09-25,-6.82,4.67,1.21
2017-09-26,-8.21,5.54,2.17
2017-09-27,-6.05,1.93,3.06
2017-09-28,-3.61,-2.2,6.85
2017-09-29,-0.72,-6.13,5.69
2017-10-02,1.21,-5.59,5.24
2017-10-03,2.17,-4.65,7.11
2017-10-04,3.06,-4.66,6.85
2017-10-05,6.85,-5.96,8.57
2017-10-06,5.69,-4.38,10.12
2017-10-09,5.24,-6.82,9.01
2017-10-10,7.11,-8.21,6.29
2017-10-11,6.85,-6.05,4.24
2017-10-12,8.57,-3.61,1.97
2017-10-13,10.12,-0.72,3.08
2017-10-16,9.01,1.21,4.86
2017-10-17,6.29,2.17,5.19
2017-10-18,4.24,3.06,3.09
2017-10-19,1.97,6.85,2.94
2017-10-20,3.08,5.69,-2.5
2017-10-23,4.86,5.24,-3.24
2017-10-24,5.19,7.11,-3.42
2017-10-25,3.09,6.85,0.24
2017-10-26,2.94,8.57,0.91
2017-10-27,-2.5,10.12,0.17
2017-10-30,-3.24,9.01,-1.0
2017-10-31,-3.42,6.29,-4.35
2017-11-01,0.24,4.24,-1.35
2017-11-02,0.91,1.97,-4.16
2017-11-03,0.17,3.08,-1.25
2017-11-06,-1.0,4.86,-1.63
2017-11-07,-4.35,5.19,-2.27
2017-11-08,-1.35,3.09,-6.83
2017-11-09,-4.16,2.94,-7.28
2017-11-10,-1.25,-2.5,-6.7
2017-11-13,-1.63,-3.24,-4.28
2017-11-14,-2.27,-3.42,-1.72
2017-11-15,-6.83,0.24,-2.07
2017-11-16,-7.28,0.91,0.29
2017-11-17,-6.7,0.17,-0.07
2017-11-20,-4.28,-1.0,-1.63
2017-11-21,-1.72,-4.35,-0.77
2017-11-22,-2.07,-1.35,-2.12
2017-11-23,0.29,-4.16,-3.88
2017-11-24,-0.07,-1.25,-4.16
2017-11-27,-1.63,-1.63,-5.03
2017-11-28,-0.77,-2.27,-7.76
2017-11-29,-2.12,-6.83,-7.29
2017-11-30,-3.88,-7.28,-7.15
2017-12-01,-4.16,-6.7,-4.65
2017-12-04,-5.03,-4.28,-1.87
2017-12-05,-7.76,-1.72,-1.29
2017-12-06,-7.29,-2.07,3.36
2017-12-07,-7.15,0.29,5.23
2017-12-08,-4.65,-0.07,7.08
2017-12-11,-1.87,-1.63,8.15
2017-12-12,-1.29,-0.77,10.07
2017-12-13,3.36,-2.12,9.94
2017-12-14,5.23,-3.88,11.27
2017-12-15,7.08,-4.16,8.65
2017-12-18,8.15,-5.03,9.07
2017-12-19,10.07,-7.76,10.94
2017-12-20,9.94,-7.29,10.17
2017-12-21,11.27,-7.15,10.31
2017-12-22,8.65,-4.65,7.5
2017-12-27,9.07,-1.87,5.79
2017-12-28,10.94,-1.29,5.7
2017-12-29,10.17,3.36,6.63
2018-01-02,10.31,5.23,5.88
2018-01-03,7.5,7.08,7.98
2018-01-04,5.79,8.15,6.16
2018-01-05,5.7,10.07,5.73
2018-01-08,6.63,9.94,5.01
2018-01-09,5.88,11.27,2.92
2018-01-10,7.98,8.65,4.37
2018-01-11,6.16,9.07,4.16
2018-01-12,5.73,10.94,4.77
2018-01-15,5.01,10.17,1.86
2018-01-16,2.92,10.31,-1.87
2018-01-17,4.37,7.5,-2.06
2018-01-18,4.16,5.79,-1.66
2018-01-19,4.77,5.7,-1.39
2018-01-22,1.86,6.63,1.33
2018-01-23,-1.87,5.88,0.54
2018-01-24,-2.06,7.98,-0.81
2018-01-25,-1.66,6.16,-1.83
2018-01-26,-1.39,5.73,-5.99
2018-01-29,1.33,5.01,-3.87
2018-01-30,0.54,2.92,-3.25
2018-01-31,-0.81,4.37,-4.76
2018-02-01,-1.83,4.16,-8.6
2018-02-02,-5.99,4.77,-10.18
2018-02-05,-3.87,1.86,-11.64
2018-02-06,-3.25,-1.87,-7.87
2018-02-07,-4.76,-2.06,-5.28
2018-02-08,-8.6,-1.66,-2.95
2018-02-09,-10.18,-1.39,1.37
2018-02-12,-11.64,1.33,-0.79
2018-02-13,-7.87,0.54,1.68
2018-02-14,-5.28,-0.81,7.0
2018-02-15,-2.95,-1.83,10.04
2018-02-16,1.37,-5.99,9.76
2018-02-19,-0.79,-3.87,9.46
2018-02-20,1.68,-3.25,5.51
2018-02-21,7.0,-4.76,1.03
2018-02-22,10.04,-8.6,-3.13
2018-02-23,9.76,-10.18,-6.06
2018-02-26,9.46,-11.64,-4.95
2018-02-27,5.51,-7.87,-4.16
2018-02-28,1.03,-5.28,-9.2
2018-03-01,-3.13,-2.95,-9.69
2018-03-02,-6.06,1.37,-6.67
2018-03-05,-4.95,-0.79,-8.06
2018-03-06,-4.16,1.68,-5.0
2018-03-07,-9.2,7.0,-0.72
2018-03-08,-9.69,10.04,0.88
2018-03-09,-6.67,9.76,5.76
2018-03-12,-8.06,9.46,1.22
2018-03-13,-5.0,5.51,-0.04
2018-03-14,-0.72,1.03,1.03
2018-03-15,0.88,-3.13,-1.13
2018-03-16,5.76,-6.06,-3.06
2018-03-19,1.22,-4.95,-4.54
2018-03-20,-0.04,-4.16,-3.5
2018-03-21,1.03,-9.2,-7.93
2018-03-22,-1.13,-9.69,-6.68
2018-03-23,-3.06,-6.67,-7.59
2018-03-26,-4.54,-8.06,-6.57
2018-03-27,-3.5,-5.0,-2.58
2018-03-28,-7.93,-0.72,-5.39
2018-03-29,-6.68,0.88,-5.58
2018-04-03,-7.59,5.76,-3.35
2018-04-04,-6.57,1.22,-2.81
2018-04-05,-2.58,-0.04,-5.79
2018-04-06,-5.39,1.03,-2.08
2018-04-09,-5.58,-1.13,-3.15
2018-04-10,-3.35,-3.06,-2.46
2018-04-11,-2.81,-4.54,8.44
2018-04-12,-5.79,-3.5,5.37
2018-04-13,-2.08,-7.93,8.4
2018-04-16,-3.15,-6.68,12.13
2018-04-17,-2.46,-7.59,11.37
2018-04-18,8.44,-6.57,10.17
2018-04-19,5.37,-2.58,8.06
2018-04-20,8.4,-5.39,6.71
