Date,% downloaded_hold_LLoyds Change,Previous % downloaded_hold_LLoyds Change,Next % downloaded_hold_LLoyds Change
2017-01-31,-0.8,1.28,3.01
2017-02-01,0.36,0.64,0.06
2017-02-02,0.22,0.14,-0.03
2017-02-03,1.21,-1.27,-0.35
2017-02-06,2.58,-1.25,1.46
2017-02-07,3.01,-3.57,2.41
2017-02-08,0.06,-1.2,3.13
2017-02-09,-0.03,0.2,3.65
2017-02-10,-0.35,-0.26,1.53
2017-02-13,1.46,0.33,1.95
2017-02-14,2.41,-0.8,0.96
2017-02-15,3.13,0.36,6.28
2017-02-16,3.65,0.22,5.15
2017-02-17,1.53,1.21,5.54
2017-02-20,1.95,2.58,5.08
2017-02-21,0.96,3.01,3.29
2017-02-22,6.28,0.06,2.03
2017-02-23,5.15,-0.03,2.46
2017-02-24,5.54,-0.35,2.34
2017-02-27,5.08,1.46,0.22
2017-02-28,3.29,2.41,1.09
2017-03-01,2.03,3.13,-2.0
2017-03-02,2.46,3.65,-1.43
2017-03-03,2.34,1.53,-0.74
2017-03-06,0.22,1.95,-0.95
2017-03-07,1.09,0.96,-1.2
2017-03-08,-2.0,6.28,-0.88
2017-03-09,-1.43,5.15,0.98
2017-03-10,-0.74,5.54,1.34
2017-03-13,-0.95,5.08,2.66
2017-03-14,-1.2,3.29,1.85
2017-03-15,-0.88,2.03,-1.0
2017-03-16,0.98,2.46,-0.18
2017-03-17,1.34,2.34,-1.04
2017-03-20,2.66,0.22,-2.32
2017-03-21,1.85,1.09,-1.56
2017-03-22,-1.0,-2.0,-2.48
2017-03-23,-0.18,-1.43,-4.21
2017-03-24,-1.04,-0.74,-4.36
2017-03-27,-2.32,-0.95,-4.71
2017-03-28,-1.56,-1.2,-4.71
2017-03-29,-2.48,-0.88,-3.16
2017-03-30,-4.21,0.98,-6.36
2017-03-31,-4.36,1.34,-6.68
2017-04-03,-4.71,2.66,-5.1
2017-04-04,-4.71,1.85,-5.01
2017-04-05,-3.16,-1.0,-5.29
2017-04-06,-6.36,-0.18,-5.19
2017-04-07,-6.68,-1.04,-5.49
2017-04-10,-5.1,-2.32,-2.85
2017-04-11,-5.01,-1.56,-1.46
2017-04-12,-5.29,-2.48,-0.95
2017-04-13,-5.19,-4.21,4.17
2017-04-18,-5.49,-4.36,6.24
2017-04-19,-2.85,-4.71,6.92
2017-04-20,-1.46,-4.71,9.55
2017-04-21,-0.95,-3.16,10.65
2017-04-24,4.17,-6.36,10.35
2017-04-25,6.24,-6.68,11.03
2017-04-26,6.92,-5.1,9.96
2017-04-27,9.55,-5.01,9.27
2017-04-28,10.65,-5.29,7.89
2017-05-02,10.35,-5.19,4.2
2017-05-03,11.03,-5.49,4.38
2017-05-04,9.96,-2.85,3.34
2017-05-05,9.27,-1.46,-0.39
2017-05-08,7.89,-0.95,0.27
2017-05-09,4.2,4.17,1.37
2017-05-10,4.38,6.24,3.56
2017-05-11,3.34,6.92,1.83
2017-05-12,-0.39,9.55,2.54
2017-05-15,0.27,10.65,3.37
2017-05-16,1.37,10.35,4.55
2017-05-17,3.56,11.03,3.85
2017-05-18,1.83,9.96,4.94
2017-05-19,2.54,9.27,4.43
2017-05-22,3.37,7.89,2.49
2017-05-23,4.55,4.2,0.63
2017-05-24,3.85,4.38,-1.9
2017-05-25,4.94,3.34,-2.71
2017-05-26,4.43,-0.39,-3.33
2017-05-30,2.49,0.27,-3.97
2017-05-31,0.63,1.37,-2.88
2017-06-01,-1.9,3.56,-2.55
2017-06-02,-2.71,1.83,-4.23
2017-06-05,-3.33,2.54,-3.68
2017-06-06,-3.97,3.37,-3.56
2017-06-07,-2.88,4.55,-3.81
2017-06-08,-2.55,3.85,-3.09
2017-06-09,-4.23,4.94,-1.17
2017-06-12,-3.68,4.43,-0.99
2017-06-13,-3.56,2.49,-2.8
2017-06-14,-3.81,0.63,-4.15
2017-06-15,-3.09,-1.9,-5.26
2017-06-16,-1.17,-2.71,-4.76
2017-06-19,-0.99,-3.33,-3.76
2017-06-20,-2.8,-3.97,-2.73
2017-06-21,-4.15,-2.88,-1.91
2017-06-22,-5.26,-2.55,-1.24
