Date,% downloaded_hold_Voda Change,Previous % downloaded_hold_Voda Change,Next % downloaded_hold_Voda Change
2017-01-31,-6.41,2.59,-3.46
2017-02-01,-7.03,0.92,1.56
2017-02-02,-6.26,-1.6,3.43
2017-02-03,-5.8,-2.51,2.25
2017-02-06,-5.09,-2.28,0.13
2017-02-07,-3.46,-5.18,0.87
2017-02-08,1.56,-9.48,2.2
2017-02-09,3.43,-10.19,2.64
2017-02-10,2.25,-9.94,2.01
2017-02-13,0.13,-6.91,2.93
2017-02-14,0.87,-6.41,4.26
2017-02-15,2.2,-7.03,2.99
2017-02-16,2.64,-6.26,1.58
2017-02-17,2.01,-5.8,2.6
2017-02-20,2.93,-5.09,2.7
2017-02-21,4.26,-3.46,2.98
2017-02-22,2.99,1.56,2.69
2017-02-23,1.58,3.43,2.12
2017-02-24,2.6,2.25,2.12
2017-02-27,2.7,0.13,1.76
2017-02-28,2.98,0.87,0.87
2017-03-01,2.69,2.2,0.89
2017-03-02,2.12,2.64,0.57
2017-03-03,2.12,2.01,0.49
2017-03-06,1.76,2.93,0.92
2017-03-07,0.87,4.26,1.29
2017-03-08,0.89,2.99,1.31
2017-03-09,0.57,1.58,3.46
2017-03-10,0.49,2.6,4.55
2017-03-13,0.92,2.7,4.21
2017-03-14,1.29,2.98,3.56
2017-03-15,1.31,2.69,2.01
2017-03-16,3.46,2.12,3.74
2017-03-17,4.55,2.12,3.8
2017-03-20,4.21,1.76,3.57
2017-03-21,3.56,0.87,2.81
2017-03-22,2.01,0.89,2.68
2017-03-23,3.74,0.57,-0.33
2017-03-24,3.8,0.49,-1.56
2017-03-27,3.57,0.92,-1.83
2017-03-28,2.81,1.29,-1.46
2017-03-29,2.68,1.31,-0.53
2017-03-30,-0.33,3.46,-3.32
2017-03-31,-1.56,4.55,-3.97
2017-04-03,-1.83,4.21,-3.18
2017-04-04,-1.46,3.56,-3.31
2017-04-05,-0.53,2.01,-3.04
2017-04-06,-3.32,3.74,-2.3
2017-04-07,-3.97,3.8,-4.04
2017-04-10,-3.18,3.57,-3.22
2017-04-11,-3.31,2.81,-3.51
2017-04-12,-3.04,2.68,-3.78
2017-04-13,-2.3,-0.33,-0.69
2017-04-18,-4.04,-1.56,-0.34
2017-04-19,-3.22,-1.83,-0.39
2017-04-20,-3.51,-1.46,-0.57
2017-04-21,-3.78,-0.53,-2.57
2017-04-24,-0.69,-3.32,-1.03
2017-04-25,-0.34,-3.97,1.63
2017-04-26,-0.39,-3.18,1.85
2017-04-27,-0.57,-3.31,2.83
2017-04-28,-2.57,-3.04,3.22
2017-05-02,-1.03,-2.3,1.26
2017-05-03,1.63,-4.04,2.02
2017-05-04,1.85,-3.22,1.55
2017-05-05,2.83,-3.51,4.4
2017-05-08,3.22,-3.78,6.05
2017-05-09,1.26,-0.69,8.69
2017-05-10,2.02,-0.34,9.07
2017-05-11,1.55,-0.39,8.08
2017-05-12,4.4,-0.57,7.49
2017-05-15,6.05,-2.57,9.36
2017-05-16,8.69,-1.03,9.31
2017-05-17,9.07,1.63,9.08
2017-05-18,8.08,1.85,10.59
2017-05-19,7.49,2.83,9.07
2017-05-22,9.36,3.22,8.55
2017-05-23,9.31,1.26,5.49
2017-05-24,9.08,2.02,3.64
2017-05-25,10.59,1.55,4.45
2017-05-26,9.07,4.4,4.56
2017-05-30,8.55,6.05,2.79
2017-05-31,5.49,8.69,2.12
2017-06-01,3.64,9.07,-3.26
2017-06-02,4.45,8.08,-3.09
2017-06-05,4.56,7.49,-2.58
2017-06-06,2.79,9.36,-2.33
2017-06-07,2.12,9.31,-3.71
2017-06-08,-3.26,9.08,-3.57
2017-06-09,-3.09,10.59,-3.22
2017-06-12,-2.58,9.07,-3.28
2017-06-13,-2.33,8.55,-3.58
2017-06-14,-3.71,5.49,-2.71
2017-06-15,-3.57,3.64,2.82
2017-06-16,-3.22,4.45,1.2
2017-06-19,-3.28,4.56,-0.42
2017-06-20,-3.58,2.79,-0.98
2017-06-21,-2.71,2.12,-1.44
2017-06-22,2.82,-3.26,-1.22
2017-06-23,1.2,-3.09,-2.16
2017-06-26,-0.42,-2.58,-1.84
2017-06-27,-0.98,-2.33,-2.27
2017-06-28,-1.44,-3.71,-2.2
2017-06-29,-1.22,-3.57,-2.9
2017-06-30,-2.16,-3.22,-2.21
2017-07-03,-1.84,-3.28,-1.5
2017-07-04,-2.27,-3.58,-1.85
2017-07-05,-2.2,-2.71,0.34
2017-07-06,-2.9,2.82,1.08
2017-07-07,-2.21,1.2,0.48
2017-07-10,-1.5,-0.42,1.01
2017-07-11,-1.85,-0.98,1.04
2017-07-12,0.34,-1.44,1.86
2017-07-13,1.08,-1.22,3.33
2017-07-14,0.48,-2.16,3.31
2017-07-17,1.01,-1.84,0.7
2017-07-18,1.04,-2.27,1.17
2017-07-19,1.86,-2.2,-0.5
2017-07-20,3.33,-2.9,0.86
2017-07-21,3.31,-2.21,0.69
2017-07-24,0.7,-1.5,0.5
2017-07-25,1.17,-1.85,0.96
2017-07-26,-0.5,0.34,-0.54
2017-07-27,0.86,1.08,-0.4
2017-07-28,0.69,0.48,-0.44
2017-07-31,0.5,1.01,2.3
2017-08-01,0.96,1.04,2.45
2017-08-02,-0.54,1.86,3.01
2017-08-03,-0.4,3.33,0.13
2017-08-04,-0.44,3.31,-0.36
2017-08-07,2.3,0.7,0.05
2017-08-08,2.45,1.17,0.11
2017-08-09,3.01,-0.5,0.5
2017-08-10,0.13,0.86,-1.76
2017-08-11,-0.36,0.69,-2.64
2017-08-14,0.05,0.5,-3.2
2017-08-15,0.11,0.96,-1.91
2017-08-16,0.5,-0.54,-2.52
2017-08-17,-1.76,-0.4,-1.41
2017-08-18,-2.64,-0.44,0.05
2017-08-21,-3.2,2.3,-2.45
2017-08-22,-1.91,2.45,-1.51
2017-08-23,-2.52,3.01,-0.2
2017-08-24,-1.41,0.13,-0.25
2017-08-25,0.05,-0.36,-0.5
2017-08-29,-2.45,0.05,-1.39
2017-08-30,-1.51,0.11,-2.58
