Date,ADS Index,,,,,,
2017-01-01,0.240665,,,,,,
2017-01-02,0.218388,,,,,,
2017-01-03,0.196605,,,,,,
2017-01-04,0.175308,,,,,,
2017-01-05,0.154488,,,,,,
2017-01-06,0.134139,,,,,,
2017-01-07,0.114251,,,,,,
2017-01-08,0.094817,,,,,,
2017-01-09,0.0755464,,,,,,
2017-01-10,0.0564316,,,,,,
2017-01-11,0.0374652,,,,,,
2017-01-12,0.0186398,,,,,,
2017-01-13,-5.17E-05,,,,,,
2017-01-14,-0.0186166,,,,,,
2017-01-15,-0.037062,,,,,,
2017-01-16,-0.0547437,,,,,,
2017-01-17,-0.0716684,,,,,,
2017-01-18,-0.0878426,,,,,,
2017-01-19,-0.103273,,,,,,
2017-01-20,-0.117964,,,,,,
2017-01-21,-0.131924,,,,,,
2017-01-22,-0.145155,,,,,,
2017-01-23,-0.158516,,,,,,
2017-01-24,-0.17201,,,,,,
2017-01-25,-0.185643,,,,,,
2017-01-26,-0.199419,,,,,,
2017-01-27,-0.213345,,,,,,
2017-01-28,-0.227426,,,,,,
2017-01-29,-0.241667,,,,,,
2017-01-30,-0.256186,,,,,,
2017-01-31,-0.270986,,,,,,
2017-02-01,-0.286076,,,,,,
2017-02-02,-0.300418,,,,,,
2017-02-03,-0.314018,,,,,,
2017-02-04,-0.326882,,,,,,
2017-02-05,-0.339014,,,,,,
2017-02-06,-0.349815,,,,,,
2017-02-07,-0.359288,,,,,,
2017-02-08,-0.367437,,,,,,
2017-02-09,-0.374265,,,,,,
2017-02-10,-0.379775,,,,,,
2017-02-11,-0.38397,,,,,,
2017-02-12,-0.386849,,,,,,
2017-02-13,-0.38837,,,,,,
2017-02-14,-0.388532,,,,,,
2017-02-15,-0.387336,,,,,,
2017-02-16,-0.38478,,,,,,
2017-02-17,-0.380864,,,,,,
2017-02-18,-0.375587,,,,,,
2017-02-19,-0.368946,,,,,,
2017-02-20,-0.361826,,,,,,
2017-02-21,-0.354222,,,,,,
2017-02-22,-0.346133,,,,,,
2017-02-23,-0.337556,,,,,,
2017-02-24,-0.328486,,,,,,
2017-02-25,-0.318921,,,,,,
2017-02-26,-0.308857,,,,,,
2017-02-27,-0.296911,,,,,,
2017-02-28,-0.283079,,,,,,
2017-03-01,-0.267356,,,,,,
2017-03-02,-0.251277,,,,,,
2017-03-03,-0.234835,,,,,,
2017-03-04,-0.218026,,,,,,
2017-03-05,-0.200842,,,,,,
2017-03-06,-0.184275,,,,,,
2017-03-07,-0.168321,,,,,,
2017-03-08,-0.152972,,,,,,
2017-03-09,-0.138222,,,,,,
2017-03-10,-0.124067,,,,,,
2017-03-11,-0.1105,,,,,,
2017-03-12,-0.0975157,,,,,,
2017-03-13,-0.0844366,,,,,,
2017-03-14,-0.0712572,,,,,,
2017-03-15,-0.0579725,,,,,,
2017-03-16,-0.0445773,,,,,,
2017-03-17,-0.0310664,,,,,,
2017-03-18,-0.0174348,,,,,,
2017-03-19,-0.00367701,,,,,,
2017-03-20,0.00996256,,,,,,
2017-03-21,0.0234892,,,,,,
2017-03-22,0.0369081,,,,,,
2017-03-23,0.0502245,,,,,,
2017-03-24,0.0634435,,,,,,
2017-03-25,0.0765702,,,,,,
2017-03-26,0.0896096,,,,,,
2017-03-27,0.101637,,,,,,
2017-03-28,0.112658,,,,,,
2017-03-29,0.122676,,,,,,
2017-03-30,0.131696,,,,,,
2017-03-31,0.13972,,,,,,
2017-04-01,0.146751,,,,,,
2017-04-02,0.152275,,,,,,
2017-04-03,0.15744,,,,,,
2017-04-04,0.162248,,,,,,
2017-04-05,0.166699,,,,,,
2017-04-06,0.170797,,,,,,
2017-04-07,0.174543,,,,,,
2017-04-08,0.177938,,,,,,
2017-04-09,0.180984,,,,,,
2017-04-10,0.183825,,,,,,
2017-04-11,0.186463,,,,,,
2017-04-12,0.188898,,,,,,
2017-04-13,0.191132,,,,,,
2017-04-14,0.193166,,,,,,
2017-04-15,0.195,,,,,,
2017-04-16,0.196635,,,,,,
2017-04-17,0.197993,,,,,,
2017-04-18,0.199076,,,,,,
2017-04-19,0.199884,,,,,,
2017-04-20,0.200417,,,,,,
2017-04-21,0.200675,,,,,,
2017-04-22,0.200658,,,,,,
2017-04-23,0.200367,,,,,,
2017-04-24,0.199226,,,,,,
2017-04-25,0.197236,,,,,,
2017-04-26,0.194394,,,,,,
2017-04-27,0.190701,,,,,,
2017-04-28,0.186155,,,,,,
2017-04-29,0.180754,,,,,,
2017-04-30,0.174496,,,,,,
2017-05-01,0.16768,,,,,,
2017-05-02,0.16091,,,,,,
2017-05-03,0.154183,,,,,,
2017-05-04,0.147497,,,,,,
2017-05-05,0.140848,,,,,,
2017-05-06,0.134234,,,,,,
2017-05-07,0.127653,,,,,,
2017-05-08,0.121097,,,,,,
2017-05-09,0.114566,,,,,,
2017-05-10,0.108055,,,,,,
2017-05-11,0.101562,,,,,,
2017-05-12,0.0950853,,,,,,
2017-05-13,0.088622,,,,,,
2017-05-14,0.0821695,,,,,,
2017-05-15,0.0757662,,,,,,
2017-05-16,0.0694095,,,,,,
2017-05-17,0.0630971,,,,,,
2017-05-18,0.0568264,,,,,,
2017-05-19,0.0505952,,,,,,
2017-05-20,0.0444009,,,,,,
2017-05-21,0.0382411,,,,,,
2017-05-22,0.0327832,,,,,,
2017-05-23,0.0280248,,,,,,
2017-05-24,0.0239643,,,,,,
2017-05-25,0.0206001,,,,,,
2017-05-26,0.0179307,,,,,,
2017-05-27,0.0159554,,,,,,
2017-05-28,0.0146731,,,,,,
2017-05-29,0.0132508,,,,,,
2017-05-30,0.0116879,,,,,,
2017-05-31,0.00998385,,,,,,
2017-06-01,0.00813787,,,,,,
2017-06-02,0.00614241,,,,,,
2017-06-03,0.00399667,,,,,,
2017-06-04,0.00169985,,,,,,
2017-06-05,-0.0009324,,,,,,
2017-06-06,-0.00390109,,,,,,
2017-06-07,-0.00720737,,,,,,
2017-06-08,-0.0108525,,,,,,
2017-06-09,-0.0148379,,,,,,
2017-06-10,-0.0191651,,,,,,
2017-06-11,-0.0238358,,,,,,
2017-06-12,-0.0284144,,,,,,
2017-06-13,-0.0329026,,,,,,
2017-06-14,-0.0373022,,,,,,
2017-06-15,-0.0416149,,,,,,
2017-06-16,-0.0458424,,,,,,
2017-06-17,-0.0499862,,,,,,
2017-06-18,-0.0540481,,,,,,
2017-06-19,-0.0582969,,,,,,
2017-06-20,-0.0627345,,,,,,
2017-06-21,-0.0673626,,,,,,
2017-06-22,-0.0721828,,,,,,
2017-06-23,-0.0771971,,,,,,
2017-06-24,-0.0824073,,,,,,
2017-06-25,-0.0878156,,,,,,
2017-06-26,-0.0929377,,,,,,
2017-06-27,-0.0977756,,,,,,
2017-06-28,-0.102331,,,,,,
2017-06-29,-0.106606,,,,,,
2017-06-30,-0.110602,,,,,,
2017-07-01,-0.114321,,,,,,
2017-07-02,-0.117627,,,,,,
2017-07-03,-0.120781,,,,,,
2017-07-04,-0.123786,,,,,,
2017-07-05,-0.126642,,,,,,
2017-07-06,-0.129351,,,,,,
2017-07-07,-0.131913,,,,,,
2017-07-08,-0.13433,,,,,,
2017-07-09,-0.136602,,,,,,
2017-07-10,-0.139491,,,,,,
2017-07-11,-0.142998,,,,,,
2017-07-12,-0.147123,,,,,,
2017-07-13,-0.151869,,,,,,
2017-07-14,-0.157238,,,,,,
2017-07-15,-0.163231,,,,,,
2017-07-16,-0.169851,,,,,,
2017-07-17,-0.176315,,,,,,
2017-07-18,-0.182626,,,,,,
2017-07-19,-0.188786,,,,,,
2017-07-20,-0.194798,,,,,,
2017-07-21,-0.200664,,,,,,
2017-07-22,-0.206387,,,,,,
2017-07-23,-0.211967,,,,,,
2017-07-24,-0.217767,,,,,,
2017-07-25,-0.223788,,,,,,
2017-07-26,-0.230033,,,,,,
2017-07-27,-0.236503,,,,,,
2017-07-28,-0.243202,,,,,,
2017-07-29,-0.250132,,,,,,
2017-07-30,-0.257296,,,,,,
2017-07-31,-0.264123,,,,,,
2017-08-01,-0.270618,,,,,,
2017-08-02,-0.276359,,,,,,
2017-08-03,-0.281349,,,,,,
2017-08-04,-0.285589,,,,,,
2017-08-05,-0.289082,,,,,,
2017-08-06,-0.291828,,,,,,
2017-08-07,-0.294627,,,,,,
2017-08-08,-0.29748,,,,,,
2017-08-09,-0.300388,,,,,,
2017-08-10,-0.303353,,,,,,
2017-08-11,-0.306375,,,,,,
2017-08-12,-0.309456,,,,,,
2017-08-13,-0.312596,,,,,,
2017-08-14,-0.315407,,,,,,
2017-08-15,-0.317891,,,,,,
2017-08-16,-0.320046,,,,,,
2017-08-17,-0.321876,,,,,,
2017-08-18,-0.323379,,,,,,
2017-08-19,-0.324558,,,,,,
2017-08-20,-0.325412,,,,,,
2017-08-21,-0.325852,,,,,,
2017-08-22,-0.32588,,,,,,
2017-08-23,-0.325494,,,,,,
2017-08-24,-0.324695,,,,,,
2017-08-25,-0.323483,,,,,,
2017-08-26,-0.321856,,,,,,
2017-08-27,-0.319815,,,,,,
2017-08-28,-0.315204,,,,,,
2017-08-29,-0.30802,,,,,,
2017-08-30,-0.298261,,,,,,
2017-08-31,-0.285923,,,,,,
2017-09-01,-0.271001,,,,,,
2017-09-02,-0.253311,,,,,,
2017-09-03,-0.232845,,,,,,
2017-09-04,-0.212524,,,,,,
2017-09-05,-0.192339,,,,,,
2017-09-06,-0.172282,,,,,,
2017-09-07,-0.152346,,,,,,
2017-09-08,-0.132524,,,,,,
2017-09-09,-0.112807,,,,,,
2017-09-10,-0.0931881,,,,,,
2017-09-11,-0.073753,,,,,,
2017-09-12,-0.0544943,,,,,,
2017-09-13,-0.0354046,,,,,,
2017-09-14,-0.0164766,,,,,,
2017-09-15,0.00229718,,,,,,
2017-09-16,0.0209238,,,,,,
2017-09-17,0.0394106,,,,,,
2017-09-18,0.0587433,,,,,,
2017-09-19,0.0789296,,,,,,
2017-09-20,0.0999771,,,,,,
2017-09-21,0.121894,,,,,,
2017-09-22,0.144689,,,,,,
2017-09-23,0.16837,,,,,,
2017-09-24,0.192947,,,,,,
2017-09-25,0.218139,,,,,,
2017-09-26,0.243955,,,,,,
2017-09-27,0.270406,,,,,,
2017-09-28,0.297502,,,,,,
2017-09-29,0.325253,,,,,,
2017-09-30,0.35367,,,,,,
2017-10-01,0.382764,,,,,,
2017-10-02,0.410284,,,,,,
2017-10-03,0.436239,,,,,,
2017-10-04,0.46064,,,,,,
2017-10-05,0.483497,,,,,,
2017-10-06,0.504818,,,,,,
2017-10-07,0.524611,,,,,,
2017-10-08,0.542885,,,,,,
2017-10-09,0.559248,,,,,,
2017-10-10,0.573706,,,,,,
2017-10-11,0.586266,,,,,,
2017-10-12,0.596931,,,,,,
2017-10-13,0.605707,,,,,,
2017-10-14,0.612596,,,,,,
2017-10-15,0.617602,,,,,,
2017-10-16,0.62174,,,,,,
2017-10-17,0.625013,,,,,,
2017-10-18,0.627422,,,,,,
2017-10-19,0.628969,,,,,,
2017-10-20,0.629652,,,,,,
2017-10-21,0.629473,,,,,,
2017-10-22,0.628432,,,,,,
2017-10-23,0.626266,,,,,,
2017-10-24,0.622973,,,,,,
2017-10-25,0.618553,,,,,,
2017-10-26,0.613003,,,,,,
2017-10-27,0.606322,,,,,,
2017-10-28,0.598507,,,,,,
2017-10-29,0.589555,,,,,,
2017-10-30,0.579769,,,,,,
2017-10-31,0.569146,,,,,,
2017-11-01,0.557681,,,,,,
2017-11-02,0.546677,,,,,,
2017-11-03,0.536131,,,,,,
2017-11-04,0.526038,,,,,,
2017-11-05,0.516394,,,,,,
2017-11-06,0.507152,,,,,,
2017-11-07,0.498307,,,,,,
2017-11-08,0.489856,,,,,,
2017-11-09,0.481796,,,,,,
2017-11-10,0.474124,,,,,,
2017-11-11,0.466837,,,,,,
2017-11-12,0.459932,,,,,,
2017-11-13,0.452781,,,,,,
2017-11-14,0.44538,,,,,,
2017-11-15,0.437727,,,,,,
2017-11-16,0.429818,,,,,,
2017-11-17,0.421652,,,,,,
2017-11-18,0.413224,,,,,,
2017-11-19,0.404532,,,,,,
