Date,Time,Cloud_Cover
01/01/2017,00:00:00,100
01/01/2017,01:00:00,100
01/01/2017,02:00:00,100
01/01/2017,03:00:00,100
01/01/2017,04:00:00,100
01/01/2017,05:00:00,100
01/01/2017,06:00:00,100
01/01/2017,07:00:00,76
01/01/2017,08:00:00,38
01/01/2017,09:00:00,5
01/01/2017,10:00:00,1
01/01/2017,11:00:00,0
01/01/2017,12:00:00,0
01/01/2017,13:00:00,26
01/01/2017,14:00:00,68
01/01/2017,15:00:00,39
01/01/2017,16:00:00,20
01/01/2017,17:00:00,62
01/01/2017,18:00:00,37
01/01/2017,19:00:00,70
01/01/2017,20:00:00,63
01/01/2017,21:00:00,72
01/01/2017,22:00:00,43
01/01/2017,23:00:00,37
02/01/2017,00:00:00,4
02/01/2017,01:00:00,2
02/01/2017,02:00:00,2
02/01/2017,03:00:00,4
02/01/2017,04:00:00,0
02/01/2017,05:00:00,0
02/01/2017,06:00:00,0
02/01/2017,07:00:00,0
02/01/2017,08:00:00,0
02/01/2017,09:00:00,0
02/01/2017,10:00:00,0
02/01/2017,11:00:00,0
02/01/2017,12:00:00,2
02/01/2017,13:00:00,12
02/01/2017,14:00:00,55
02/01/2017,15:00:00,21
02/01/2017,16:00:00,19
02/01/2017,17:00:00,10
02/01/2017,18:00:00,6
02/01/2017,19:00:00,13
02/01/2017,20:00:00,25
02/01/2017,21:00:00,16
02/01/2017,22:00:00,18
02/01/2017,23:00:00,38
03/01/2017,00:00:00,53
03/01/2017,01:00:00,81
03/01/2017,02:00:00,85
03/01/2017,03:00:00,81
03/01/2017,04:00:00,84
03/01/2017,05:00:00,86
03/01/2017,06:00:00,85
03/01/2017,07:00:00,100
03/01/2017,08:00:00,92
03/01/2017,09:00:00,100
03/01/2017,10:00:00,100
03/01/2017,11:00:00,100
03/01/2017,12:00:00,100
03/01/2017,13:00:00,100
03/01/2017,14:00:00,100
03/01/2017,15:00:00,100
03/01/2017,16:00:00,94
03/01/2017,17:00:00,100
