Date,EPU Index
2017-01-01,626.82
2017-01-02,864.92
2017-01-03,546.21
2017-01-04,689.41
2017-01-05,647.21
2017-01-06,664.38
2017-01-07,500.99
2017-01-08,416.09
2017-01-09,434.71
2017-01-10,574.48
2017-01-11,550.49
2017-01-12,464.86
2017-01-13,472.86
2017-01-14,447.75
2017-01-15,497.76
2017-01-16,669.4
2017-01-17,786.23
2017-01-18,565.27
2017-01-19,377.29
2017-01-20,540.56
2017-01-21,233.63
2017-01-22,412.22
2017-01-23,399.44
2017-01-24,284.23
2017-01-25,473.08
2017-01-26,301.63
2017-01-27,229.52
2017-01-28,352.78
2017-01-29,274.71
2017-01-30,329.56
2017-01-31,357.73
2017-02-01,453.06
2017-02-02,286.6
2017-02-03,568.11
2017-02-04,272.9
2017-02-05,501.55
2017-02-06,654
2017-02-07,447.32
2017-02-08,433.78
2017-02-09,330.64
2017-02-10,432.07
2017-02-11,264.89
2017-02-12,281.23
2017-02-13,395.64
2017-02-14,531.1
2017-02-15,650.34
2017-02-16,370.82
2017-02-17,415.57
2017-02-18,665.98
2017-02-19,219.93
2017-02-20,287.81
2017-02-21,423.29
2017-02-22,504.22
2017-02-23,447.82
2017-02-24,426.41
2017-02-25,291.08
2017-02-26,285.73
2017-02-27,440.94
2017-02-28,716.3
2017-03-01,569
2017-03-02,606.21
2017-03-03,252.23
2017-03-04,378.25
2017-03-05,413.53
2017-03-06,400.35
2017-03-07,415.36
2017-03-08,580.53
2017-03-09,907.88
2017-03-10,344.56
2017-03-11,317.85
2017-03-12,223.42
2017-03-13,594.17
2017-03-14,998.04
2017-03-15,395.63
2017-03-16,407.07
2017-03-17,342.49
2017-03-18,275.56
2017-03-19,331.84
2017-03-20,318.42
2017-03-21,314.76
2017-03-22,625.65
2017-03-23,538.84
2017-03-24,312.12
2017-03-25,236.34
2017-03-26,187.67
2017-03-27,397.88
2017-03-28,328.79
2017-03-29,419.27
2017-03-30,186.96
2017-03-31,449.49
2017-04-01,135.48
2017-04-02,828.45
2017-04-03,529.68
2017-04-04,320.79
2017-04-05,328.58
2017-04-06,319.89
2017-04-07,273.9
2017-04-08,192.72
2017-04-09,357.8
2017-04-10,495.61
2017-04-11,261.77
2017-04-12,289.4
2017-04-13,274.96
2017-04-14,173.19
2017-04-15,173.17
2017-04-16,323.43
2017-04-17,471.34
2017-04-18,375.45
2017-04-19,532.36
2017-04-20,274.41
2017-04-21,375.39
2017-04-22,219.7
2017-04-23,276.33
2017-04-24,380.83
2017-04-25,349.62
2017-04-26,380.72
2017-04-27,263.45
2017-04-28,399.02
2017-04-29,278.54
2017-04-30,160.56
2017-05-01,224.69
2017-05-02,153.47
2017-05-03,212.81
2017-05-04,216.45
2017-05-05,402.07
2017-05-06,113.29
2017-05-07,337.62
2017-05-08,436.58
2017-05-09,218.08
2017-05-10,306.42
2017-05-11,514.72
2017-05-12,361.57
2017-05-13,535.13
2017-05-14,349.61
2017-05-15,370.92
2017-05-16,600.16
2017-05-17,2042.45
2017-05-18,558.39
2017-05-19,607.38
2017-05-20,277.23
2017-05-21,206.37
2017-05-22,470.5
2017-05-23,420.1
2017-05-24,244.89
2017-05-25,241.86
2017-05-26,198.5
2017-05-27,138.21
2017-05-28,189.08
2017-05-29,295.71
2017-05-30,398.17
2017-05-31,439.99
2017-06-01,567.81
2017-06-02,442.23
2017-06-03,538.56
2017-06-04,359.95
2017-06-05,457.43
2017-06-06,360.06
2017-06-07,727.22
2017-06-08,654.89
2017-06-09,758.05
2017-06-10,1110.29
2017-06-11,609.55
2017-06-12,821.2
2017-06-13,649.51
2017-06-14,746.75
2017-06-15,553
2017-06-16,551.55
2017-06-17,448.5
2017-06-18,367.02
2017-06-19,544.58
2017-06-20,677.93
2017-06-21,569.8
2017-06-22,569.63
2017-06-23,865.96
2017-06-24,496.11
2017-06-25,306.68
2017-06-26,419.39
2017-06-27,462.26
2017-06-28,673.8
2017-06-29,334.18
2017-06-30,800.28
2017-07-01,733.61
2017-07-02,288.11
2017-07-03,501.41
2017-07-04,439.32
2017-07-05,340.25
2017-07-06,359.53
2017-07-07,473.18
2017-07-08,518.24
2017-07-09,357.3
2017-07-10,360.65
2017-07-11,329.99
2017-07-12,645.37
2017-07-13,272.37
2017-07-14,427.12
2017-07-15,308.61
2017-07-16,219.47
2017-07-17,280.66
2017-07-18,596.69
2017-07-19,372.28
2017-07-20,137
2017-07-21,363.85
2017-07-22,225.62
2017-07-23,260.94
2017-07-24,283.15
2017-07-25,600.84
2017-07-26,659.92
2017-07-27,432.97
2017-07-28,407.01
2017-07-29,668.19
2017-07-30,277.13
2017-07-31,519.03
2017-08-01,565.17
2017-08-02,444.27
2017-08-03,311.12
2017-08-04,679.48
2017-08-05,336.23
2017-08-06,224.72
