date,Price,Open,High,Low,Vol.,Change %
29/12/2023,7733.24,7722.74,7746.91,7719.02,225.64M,0.14%
28/12/2023,7722.74,7724.95,7745.99,7708.74,316.82M,-0.03%
27/12/2023,7724.95,7697.51,7759.74,7697.51,409.46M,0.36%
22/12/2023,7697.51,7694.73,7715.21,7676.43,320.56M,0.04%
21/12/2023,7694.73,7715.68,7715.68,7668.41,562.95M,-0.27%
20/12/2023,7715.68,7638.03,7762.88,7637.93,875.63M,1.02%
19/12/2023,7638.03,7614.48,7642.15,7605.35,935.13M,0.31%
18/12/2023,7614.48,7576.36,7630.57,7557.24,661.07M,0.50%
15/12/2023,7576.36,7648.98,7668.22,7569.00,1.58B,-0.95%
14/12/2023,7648.98,7548.44,7724.81,7548.44,1.44B,1.33%
13/12/2023,7548.44,7542.77,7584.88,7542.68,888.29M,0.08%
12/12/2023,7542.77,7544.89,7607.51,7542.37,788.54M,-0.03%
11/12/2023,7544.89,7554.47,7557.40,7493.59,811.93M,-0.13%
08/12/2023,7554.47,7513.72,7581.32,7509.83,779.76M,0.54%
07/12/2023,7513.72,7515.38,7523.57,7480.49,789.53M,-0.02%
06/12/2023,7515.38,7489.84,7542.57,7486.80,1.42B,0.34%
05/12/2023,7489.84,7512.96,7512.96,7460.21,661.29M,-0.31%
04/12/2023,7512.96,7529.35,7533.81,7476.85,818.38M,-0.22%
01/12/2023,7529.35,7453.75,7538.71,7453.75,549.09M,1.01%
30/11/2023,7453.75,7423.46,7497.68,7387.09,1.27B,0.41%
29/11/2023,7423.46,7455.24,7457.48,7408.79,531.53M,-0.43%
28/11/2023,7455.24,7460.70,7461.13,7403.25,599.93M,-0.07%
27/11/2023,7460.70,7488.20,7488.26,7452.18,398.90M,-0.37%
24/11/2023,7488.20,7483.58,7494.72,7450.12,528.51M,0.06%
23/11/2023,7483.58,7469.51,7494.77,7450.60,607.42M,0.19%
22/11/2023,7469.51,7481.99,7504.51,7452.00,627.38M,-0.17%
21/11/2023,7481.99,7496.36,7496.86,7446.68,518.87M,-0.19%
20/11/2023,7496.36,7504.25,7506.00,7472.65,466.75M,-0.11%
17/11/2023,7504.25,7410.97,7509.00,7410.00,667.07M,1.26%
16/11/2023,7410.97,7486.91,7492.84,7409.40,750.61M,-1.01%
15/11/2023,7486.91,7440.47,7533.77,7440.47,738.50M,0.62%
14/11/2023,7440.47,7425.83,7456.63,7386.66,881.44M,0.20%
13/11/2023,7425.83,7360.55,7426.14,7360.55,648.85M,0.89%
10/11/2023,7360.55,7455.67,7455.67,7319.96,833.64M,-1.28%
09/11/2023,7455.67,7401.72,7465.31,7367.21,657.63M,0.73%
08/11/2023,7401.72,7410.04,7442.09,7384.51,686.12M,-0.11%
07/11/2023,7410.04,7417.76,7431.14,7397.40,592.27M,-0.10%
06/11/2023,7417.76,7417.73,7448.36,7403.51,711.28M,0.00%
03/11/2023,7417.73,7446.53,7482.73,7396.57,750.57M,-0.39%
02/11/2023,7446.53,7342.43,7469.75,7342.43,972.52M,1.42%
01/11/2023,7342.43,7321.72,7385.39,7304.89,726.06M,0.28%
31/10/2023,7321.72,7327.39,7373.53,7309.04,805.34M,-0.08%
30/10/2023,7327.39,7291.28,7361.50,7291.28,1.01B,0.50%
27/10/2023,7291.28,7354.57,7380.33,7279.86,642.46M,-0.86%
26/10/2023,7354.57,7414.34,7414.34,7342.48,792.37M,-0.81%
25/10/2023,7414.34,7389.70,7428.11,7368.38,607.64M,0.33%
24/10/2023,7389.70,7374.83,7405.26,7324.99,697.31M,0.20%
23/10/2023,7374.83,7402.14,7402.20,7338.59,502.73M,-0.37%
20/10/2023,7402.14,7499.53,7499.62,7395.57,832.45M,-1.30%
19/10/2023,7499.53,7588.00,7588.00,7490.46,727.00M,-1.17%
18/10/2023,7588.00,7675.21,7681.50,7579.26,613.43M,-1.14%
17/10/2023,7675.21,7630.63,7682.63,7616.77,663.55M,0.58%
