Date,Price,Open,High,Low,Vol.,Change %
29/12/2023,19689.63,19719.16,19740.23,19660.95,107.54M,-0.15%
28/12/2023,19719.16,19720.75,19744.98,19646.81,174.54M,-0.01%
27/12/2023,19720.75,19630.95,19725.63,19617.61,234.14M,0.46%
22/12/2023,19630.95,19570.97,19630.95,19513.92,183.33M,0.31%
21/12/2023,19570.97,19629.09,19629.09,19464.2,241.05M,-0.30%
20/12/2023,19629.09,19315.98,19629.09,19315.98,415.48M,1.62%
19/12/2023,19315.98,19220.55,19342.81,19220.21,366.94M,0.50%
18/12/2023,19220.55,19208.97,19259.49,19090.79,347.56M,0.06%
15/12/2023,19208.97,19256.96,19401.44,19171.75,662.95M,-0.25%
14/12/2023,19256.96,18695.76,19314.88,18695.76,472.72M,3.00%
13/12/2023,18695.76,18662.12,18759.64,18661.03,345.39M,0.18%
12/12/2023,18662.12,18750.39,18817.11,18655.52,306.60M,-0.47%
11/12/2023,18750.39,18701.99,18750.39,18602.8,247.70M,0.26%
08/12/2023,18701.99,18618.74,18766.41,18592.36,274.51M,0.45%
07/12/2023,18618.74,18666.73,18675.14,18459.65,277.25M,-0.26%
06/12/2023,18666.73,18487.53,18711.13,18487.27,441.55M,0.97%
05/12/2023,18487.53,18361.25,18504.9,18322.24,312.82M,0.69%
04/12/2023,18361.25,18408.65,18532.88,18342.8,288.50M,-0.26%
01/12/2023,18408.65,18233.47,18408.65,18220.58,245.36M,0.96%
30/11/2023,18233.47,18467.58,18468.3,18233.47,575.71M,-1.27%
29/11/2023,18467.58,18387,18487.93,18344.63,288.74M,0.44%
28/11/2023,18387,18438.55,18444.02,18299.78,268.77M,-0.28%
27/11/2023,18438.55,18458.1,18508.73,18428.97,190.40M,-0.11%
24/11/2023,18458.1,18480.83,18485.56,18410.13,155.68M,-0.12%
23/11/2023,18480.83,18480.17,18496.46,18351.85,207.09M,0.00%
22/11/2023,18480.17,18347.63,18511.68,18339.07,265.50M,0.72%
21/11/2023,18347.63,18599.05,18642.91,18347.63,206.39M,-1.35%
20/11/2023,18599.05,18567.87,18633.5,18549.25,211.68M,0.17%
17/11/2023,18567.87,18351.48,18597.37,18351.48,292.39M,1.18%
16/11/2023,18351.48,18676.48,18676.48,18348.05,248.66M,-1.74%
15/11/2023,18676.48,18536.13,18912.14,18525.3,430.74M,0.76%
14/11/2023,18536.13,17913.65,18536.13,17885.66,405.70M,3.47%
13/11/2023,17913.65,17853.09,17913.65,17816.56,259.54M,0.34%
10/11/2023,17853.09,18037.85,18037.85,17586.06,237.73M,-1.02%
09/11/2023,18037.85,17846.26,18040.85,17793.13,326.71M,1.07%
08/11/2023,17846.26,17761.71,17943.3,17634.67,342.37M,0.48%
07/11/2023,17761.71,17747.47,17854.13,17637.36,218.88M,0.08%
06/11/2023,17747.47,17983.84,17993.27,17742.93,245.76M,-1.31%
03/11/2023,17983.84,17767.3,18066.25,17767.14,211.22M,1.22%
02/11/2023,17767.3,17185.89,17767.3,17185.89,380.69M,3.38%
01/11/2023,17185.89,17083.05,17229.11,16995.66,242.22M,0.60%
31/10/2023,17083.05,17017.59,17188.69,17013.62,285.88M,0.38%
30/10/2023,17017.59,16866.23,17156.28,16865.06,273.51M,0.90%
27/10/2023,16866.23,16783.09,16932.94,16772.13,182.74M,0.50%
26/10/2023,16783.09,16870.71,16889.54,16764.25,319.48M,-0.52%
25/10/2023,16870.71,16994.1,17000.62,16789.53,232.67M,-0.73%
24/10/2023,16994.1,17058.99,17113.93,16969.51,224.78M,-0.38%
23/10/2023,17058.99,17032.73,17082.39,16875.11,203.77M,0.15%
20/10/2023,17032.73,17213.14,17215.91,17032.73,251.73M,-1.05%
19/10/2023,17213.14,17403.46,17403.46,17213.14,231.85M,-1.09%
18/10/2023,17403.46,17689.46,17701.7,17396.03,271.03M,-1.62%
17/10/2023,17689.46,17519.39,17689.46,17478.59,290.80M,0.97%
16/10/2023,17519.39,17454.22,17545.13,17410.06,257.23M,0.37%
13/10/2023,17454.22,17835.69,17844.18,17454.22,274.95M,-2.14%
12/10/2023,17835.69,17876.24,18080.83,17835.69,298.65M,-0.23%
11/10/2023,17876.24,17967.67,17967.67,17854.97,247.27M,-0.51%
10/10/2023,17967.67,17572.06,17968.26,17572.06,250.53M,2.25%
09/10/2023,17572.06,17732.32,17754.8,17555.07,209.75M,-0.90%
06/10/2023,17732.32,17599.98,17745.94,17567.65,242.91M,0.75%
05/10/2023,17599.98,17492.9,17707.69,17491.5,240.22M,0.61%
04/10/2023,17492.9,17677.76,17677.76,17433.72,306.05M,-1.05%
03/10/2023,17677.76,17977.29,17977.29,17677.76,242.16M,-1.67%
02/10/2023,17977.29,18279.42,18433.88,17956.69,280.00M,-1.65%
29/09/2023,18279.42,18098.68,18397.45,18098.68,291.71M,1.00%
28/09/2023,18098.68,18220.23,18224.19,18068.75,278.67M,-0.67%
27/09/2023,18220.23,18336.65,18363.75,18212.58,233.92M,-0.63%
26/09/2023,18336.65,18415.31,18415.31,18333.61,209.68M,-0.43%
25/09/2023,18415.31,18606.84,18608.21,18338.88,250.18M,-1.03%
22/09/2023,18606.84,18638.55,18666.59,18565.21,288.55M,-0.17%
21/09/2023,18638.55,18712.37,18785.72,18576.11,209.82M,-0.39%
20/09/2023,18712.37,18426.7,18724.3,18426.13,263.63M,1.55%
19/09/2023,18426.7,18449.27,18538.51,18425.38,230.86M,-0.12%
18/09/2023,18449.27,18789.77,18793.27,18449.27,215.60M,-1.81%
15/09/2023,18789.77,18899.7,18980.92,18789.77,600.35M,-0.58%
14/09/2023,18899.7,18561.5,18899.7,18517.28,343.38M,1.82%
13/09/2023,18561.5,18542.3,18571.96,18431.03,226.04M,0.10%
12/09/2023,18542.3,18522.44,18570.81,18490.87,237.29M,0.11%
11/09/2023,18522.44,18463.19,18591.63,18422.11,180.45M,0.32%
08/09/2023,18463.19,18383.85,18463.19,18338.89,190.74M,0.43%
07/09/2023,18383.85,18451.82,18470.99,18350.37,254.97M,-0.37%
06/09/2023,18451.82,18491.42,18515.68,18360.07,221.53M,-0.21%
05/09/2023,18491.42,18524.14,18558.59,18405.5,175.43M,-0.18%
04/09/2023,18524.14,18536.9,18627.13,18521.69,155.10M,-0.07%
01/09/2023,18536.9,18605.7,18657.38,18536.9,203.14M,-0.37%
31/08/2023,18605.7,18564.52,18667.38,18538.59,394.06M,0.22%
30/08/2023,18564.52,18468.59,18597.28,18459.47,288.89M,0.52%
29/08/2023,18468.59,18131.02,18475.82,18131.02,355.16M,1.86%
25/08/2023,18131.02,18194.57,18230.9,18131.02,186.57M,-0.35%
24/08/2023,18194.57,18226.49,18402.59,18194.57,181.96M,-0.18%
23/08/2023,18226.49,18024.26,18228.05,18013.61,216.26M,1.12%
