Date,Price,Open,High,Low,Vol.,Change %
29/12/2023,763.32,763.03,764.79,762.97,2.64B,-0.04%
28/12/2023,763.66,763.43,764.62,762.23,4.24B,0.08%
27/12/2023,763.03,754.56,763.17,753.65,4.38B,1.14%
22/12/2023,754.40,751.70,754.40,750.67,2.12B,0.26%
21/12/2023,752.45,752.54,752.54,748.48,4.47B,0.13%
20/12/2023,751.44,745.93,751.44,745.93,3.10B,0.81%
19/12/2023,745.39,740.91,745.56,740.03,2.62B,0.57%
18/12/2023,741.19,738.67,741.41,736.59,2.72B,0.25%
15/12/2023,739.31,737.83,740.12,736.85,3.87B,0.20%
14/12/2023,737.84,725.69,737.84,725.69,3.22B,1.90%
13/12/2023,724.10,724.42,726.67,723.68,2.97B,0.03%
12/12/2023,723.91,726.14,727.09,722.74,2.50B,-0.20%
11/12/2023,725.33,723.93,725.33,722.18,2.71B,0.26%
08/12/2023,723.45,721.17,724.06,719.51,2.35B,0.36%
07/12/2023,720.86,717.90,721.49,717.47,2.64B,0.38%
06/12/2023,718.12,716.52,718.70,715.51,1.85B,0.20%
05/12/2023,716.68,715.71,716.68,713.85,1.85B,0.20%
04/12/2023,715.24,715.83,718.41,714.59,3.26B,-0.15%
01/12/2023,716.29,713.75,716.66,713.69,3.71B,0.35%
30/11/2023,713.78,715.19,716.40,712.53,3.06B,-0.24%
29/11/2023,715.53,713.18,716.35,712.55,5.23B,0.42%
28/11/2023,712.57,715.08,715.17,711.43,2.34B,-0.33%
27/11/2023,714.95,717.81,718.32,714.50,2.54B,-0.27%
24/11/2023,716.90,717.70,718.53,715.99,2.73B,-0.16%
23/11/2023,718.08,718.45,718.45,715.79,1.84B,0.16%
22/11/2023,716.90,716.94,718.12,716.22,1.75B,0.08%
21/11/2023,716.31,721.91,722.77,716.31,2.06B,-0.78%
20/11/2023,721.95,719.69,722.80,718.48,2.73B,0.40%
17/11/2023,719.05,713.32,719.36,713.00,3.65B,0.81%
16/11/2023,713.29,717.93,719.04,712.98,2.64B,-0.32%
15/11/2023,715.57,710.04,716.81,709.59,3.55B,0.82%
14/11/2023,709.72,701.29,710.53,699.95,4.78B,1.26%
13/11/2023,700.87,701.42,702.05,699.07,2.21B,-0.03%
10/11/2023,701.09,703.30,703.86,700.26,2.02B,-0.45%
09/11/2023,704.26,702.17,705.41,700.34,2.06B,0.37%
08/11/2023,701.68,698.21,701.78,697.54,1.68B,0.44%
07/11/2023,698.63,698.36,698.79,695.25,2.25B,0.11%
06/11/2023,697.88,697.50,699.37,696.64,2.42B,0.09%
03/11/2023,697.25,690.21,698.11,690.07,2.40B,1.00%
02/11/2023,690.34,683.49,691.18,683.49,2.35B,0.99%
01/11/2023,683.57,680.52,683.57,679.03,3.58B,0.55%
31/10/2023,679.85,678.58,681.19,678.34,2.61B,0.19%
30/10/2023,678.57,675.89,680.91,675.21,2.00B,0.61%
27/10/2023,674.46,673.21,675.68,672.64,2.43B,0.69%
26/10/2023,669.84,675.03,675.03,669.84,1.61B,-0.59%
25/10/2023,673.82,679.42,679.71,672.85,1.84B,-0.68%
24/10/2023,678.45,680.64,680.98,677.22,1.74B,-0.29%
23/10/2023,680.41,682.84,682.85,677.51,2.06B,-0.37%
20/10/2023,682.93,682.98,684.16,681.13,1.88B,-0.12%
19/10/2023,683.77,685.19,686.76,683.10,1.76B,-0.15%
18/10/2023,684.80,689.76,690.58,684.80,1.01B,-0.84%
17/10/2023,690.58,687.51,690.58,686.11,1.30B,0.55%
16/10/2023,686.81,691.07,691.44,686.81,2.43B,-0.41%
13/10/2023,689.67,696.30,696.90,689.67,2.13B,-0.85%
12/10/2023,695.57,696.79,698.38,695.08,1.56B,-0.02%
11/10/2023,695.69,697.79,700.40,695.43,1.60B,-0.34%
10/10/2023,698.09,689.19,698.31,689.18,1.45B,1.49%
09/10/2023,687.83,694.23,694.95,686.97,1.31B,-0.99%
06/10/2023,694.71,696.14,696.95,691.55,1.71B,0.00%
05/10/2023,694.74,694.71,696.35,694.45,1.94B,-0.07%
04/10/2023,695.21,703.01,703.71,694.13,2.64B,-1.17%
03/10/2023,703.44,717.14,717.14,703.44,2.62B,-1.98%
02/10/2023,717.64,725.28,727.41,717.64,3.05B,-1.18%
29/09/2023,726.18,724.44,729.23,724.44,2.42B,0.17%
28/09/2023,724.98,728.54,728.74,723.67,2.54B,-0.49%
27/09/2023,728.53,730.35,731.94,728.14,1.59B,-0.22%
26/09/2023,730.15,734.94,734.94,729.73,1.76B,-0.59%
25/09/2023,734.52,737.87,739.38,733.33,2.34B,-0.66%
22/09/2023,739.43,739.56,740.57,737.70,2.41B,0.07%
21/09/2023,738.91,744.73,745.46,738.91,5.08B,-1.04%
20/09/2023,746.70,741.95,746.70,741.95,1.80B,0.58%
19/09/2023,742.41,743.42,743.42,740.36,2.00B,0.05%
18/09/2023,742.06,745.48,748.06,742.06,1.70B,-0.44%
15/09/2023,745.35,744.70,747.01,743.49,1.51B,0.08%
14/09/2023,744.77,741.95,745.09,741.48,1.79B,0.54%
13/09/2023,740.75,743.77,744.86,739.68,1.23B,-0.33%
12/09/2023,743.21,741.63,744.27,740.67,2.26B,0.12%
11/09/2023,742.35,746.97,746.97,739.93,1.63B,-0.15%
08/09/2023,743.44,735.06,743.69,734.09,2.31B,1.05%
07/09/2023,735.68,737.51,738.56,731.24,2.79B,-0.18%
06/09/2023,736.98,739.86,739.86,736.52,3.40B,-0.41%
05/09/2023,740.05,739.95,741.55,738.85,1.78B,-0.07%
04/09/2023,740.59,741.08,743.00,740.39,3.04B,-0.11%
01/09/2023,741.43,740.41,741.74,739.53,2.29B,-0.07%
31/08/2023,741.93,740.94,742.47,739.75,2.05B,-0.01%
30/08/2023,742.04,740.82,742.75,740.82,1.90B,0.11%
29/08/2023,741.21,734.70,741.63,734.70,1.52B,1.03%
25/08/2023,733.67,735.44,735.44,733.46,2.71B,-0.12%
24/08/2023,734.52,735.62,737.26,734.48,1.85B,0.01%
23/08/2023,734.47,732.79,735.09,732.60,1.19B,0.31%
22/08/2023,732.18,729.31,733.24,729.31,1.42B,0.41%
21/08/2023,729.21,733.86,733.86,729.21,1.71B,-0.41%
18/08/2023,732.24,738.92,739.58,729.71,2.01B,-1.06%
17/08/2023,740.12,747.92,748.12,740.12,1.40B,-1.03%
16/08/2023,747.84,748.81,749.74,746.79,1.64B,-0.28%
15/08/2023,749.93,756.23,756.23,749.69,1.95B,-0.67%
14/08/2023,754.96,757.70,757.70,754.01,2.10B,-0.21%
11/08/2023,756.57,757.87,758.50,755.60,2.11B,-0.11%
10/08/2023,757.39,758.79,758.79,755.76,1.77B,-0.08%
09/08/2023,757.98,759.44,761.12,757.61,2.39B,-0.11%
08/08/2023,758.84,760.28,760.28,757.72,1.66B,-0.10%
07/08/2023,759.63,763.73,763.73,759.47,1.47B,-0.50%
04/08/2023,763.41,759.83,763.41,759.83,1.89B,0.51%
03/08/2023,759.54,758.96,760.43,757.26,2.17B,0.19%
02/08/2023,758.09,764.38,764.38,758.03,2.35B,-0.86%
01/08/2023,764.63,765.63,766.03,762.07,2.62B,-0.01%
31/07/2023,764.72,765.62,767.53,764.72,2.84B,-0.20%
28/07/2023,766.23,768.69,768.86,765.38,2.41B,-0.40%
27/07/2023,769.29,766.27,770.62,766.27,2.10B,0.41%
26/07/2023,766.15,765.38,766.51,764.62,2.58B,0.02%
25/07/2023,766.00,764.45,767.20,763.90,2.15B,0.31%
24/07/2023,763.60,766.24,766.24,763.27,1.59B,-0.38%
21/07/2023,766.55,765.21,766.55,764.38,1.75B,0.30%
20/07/2023,764.29,765.10,766.81,764.27,2.93B,-0.24%
19/07/2023,766.12,753.35,766.12,753.35,2.22B,1.56%
18/07/2023,754.36,749.56,754.36,749.45,1.48B,0.67%
17/07/2023,749.31,751.38,752.52,748.91,1.60B,-0.20%
14/07/2023,750.78,749.00,752.63,749.00,1.44B,0.07%
13/07/2023,750.29,747.14,750.29,747.14,3.44B,0.52%
12/07/2023,746.39,739.03,746.42,738.36,2.07B,1.05%
11/07/2023,738.62,740.40,740.85,738.38,1.65B,-0.01%
10/07/2023,738.72,741.75,741.75,738.72,1.89B,-0.40%
07/07/2023,741.71,740.55,741.71,738.71,2.22B,0.11%
06/07/2023,740.86,752.26,752.26,740.36,2.27B,-1.53%
05/07/2023,752.37,756.72,756.72,752.37,3.99B,-0.54%
04/07/2023,756.44,754.18,756.44,753.15,3.18B,0.28%
03/07/2023,754.31,752.76,755.02,752.39,3.40B,0.11%
30/06/2023,753.51,751.00,754.15,750.13,3.42B,0.37%
29/06/2023,750.73,754.58,755.16,749.93,3.84B,-0.78%
28/06/2023,756.60,757.13,757.13,754.93,3.31B,0.13%
27/06/2023,755.61,762.26,762.26,755.39,2.59B,-0.69%
26/06/2023,760.86,767.68,767.68,760.86,4.28B,-0.81%
23/06/2023,767.07,774.02,774.02,766.94,1.73B,-0.82%
22/06/2023,773.44,782.75,782.75,773.44,1.86B,-1.17%
21/06/2023,782.62,785.91,786.44,782.24,2.03B,-0.33%
20/06/2023,785.18,789.02,789.31,785.18,2.12B,-0.55%
19/06/2023,789.53,792.75,793.33,789.53,2.47B,-0.39%
16/06/2023,792.59,792.34,794.96,791.83,3.95B,0.13%
15/06/2023,791.56,793.09,793.09,788.81,6.60B,-0.33%
14/06/2023,794.19,794.80,795.62,792.85,2.60B,-0.07%
13/06/2023,794.72,791.72,796.26,791.72,1.93B,0.28%
12/06/2023,792.48,794.07,794.93,792.48,1.57B,-0.11%
09/06/2023,793.34,792.52,793.34,789.57,3.04B,0.06%
08/06/2023,792.90,793.52,793.52,791.86,2.32B,-0.02%
07/06/2023,793.05,792.56,793.79,791.23,1.93B,0.06%
06/06/2023,792.57,791.47,792.57,790.73,2.41B,0.10%
05/06/2023,791.81,790.45,793.25,789.13,2.05B,0.28%
02/06/2023,789.58,782.72,790.72,782.72,1.67B,0.65%
01/06/2023,784.45,783.99,785.51,781.18,2.66B,0.21%
31/05/2023,782.77,786.90,786.90,780.48,2.85B,-0.51%
30/05/2023,786.76,791.08,792.66,786.76,3.26B,-0.63%
26/05/2023,791.71,793.39,795.30,790.01,3.65B,-0.10%
25/05/2023,792.54,797.61,797.61,792.54,3.82B,-0.49%
24/05/2023,796.47,807.78,807.94,795.84,1.96B,-1.43%
23/05/2023,808.04,809.01,809.23,806.90,3.82B,-0.02%
22/05/2023,808.21,811.82,811.82,807.28,2.80B,-0.09%
19/05/2023,808.97,812.09,812.09,808.97,2.56B,-0.12%
18/05/2023,809.94,808.83,812.07,808.83,2.97B,0.09%
17/05/2023,809.20,811.67,811.67,807.95,2.90B,-0.35%
16/05/2023,812.04,815.09,816.44,811.50,3.66B,-0.34%
15/05/2023,814.85,817.34,817.34,813.72,3.81B,-0.26%
12/05/2023,816.96,815.84,816.96,814.96,2.26B,0.21%
11/05/2023,815.23,810.78,816.37,810.78,2.49B,-1.21%
10/05/2023,825.19,829.38,829.38,825.19,2.07B,-0.50%
09/05/2023,829.35,827.04,829.35,826.92,3.18B,0.07%
05/05/2023,828.79,827.59,828.79,825.81,2.83B,0.46%
04/05/2023,824.98,827.58,828.15,824.72,3.36B,-0.40%
03/05/2023,828.28,826.25,829.39,826.25,2.89B,0.01%
02/05/2023,828.20,828.77,832.79,828.05,2.83B,-0.21%
28/04/2023,829.94,821.84,830.10,821.84,3.20B,0.89%
27/04/2023,822.63,822.15,822.79,819.83,4.54B,0.10%
26/04/2023,821.84,823.61,823.61,819.32,4.66B,-0.29%
25/04/2023,824.26,828.87,828.87,824.26,6.25B,-0.55%
24/04/2023,828.85,827.31,830.30,827.31,8.47B,-0.17%
21/04/2023,830.30,827.74,830.30,826.96,8.74B,0.13%
20/04/2023,829.23,830.24,830.92,828.66,4.10B,0.00%
19/04/2023,829.22,830.12,830.12,827.45,4.27B,-0.39%
18/04/2023,832.44,835.56,836.15,831.21,4.30B,-0.11%
17/04/2023,833.37,831.72,834.40,831.35,5.05B,0.36%
14/04/2023,830.35,826.66,832.88,826.26,5.29B,0.67%
13/04/2023,824.80,820.24,825.91,820.24,4.50B,0.62%
12/04/2023,819.71,816.47,820.83,815.99,4.05B,0.35%
11/04/2023,816.85,812.00,816.96,812.00,3.72B,0.70%
06/04/2023,811.15,803.60,811.82,803.60,3.68B,0.93%
05/04/2023,803.69,809.65,810.67,803.42,2.33B,-0.81%
04/04/2023,810.22,811.45,812.36,809.46,1.85B,-0.39%
03/04/2023,813.39,812.60,819.08,810.32,2.89B,0.51%
31/03/2023,809.27,805.22,810.67,803.65,1.95B,0.43%
30/03/2023,805.84,796.81,807.04,796.81,2.92B,1.21%
29/03/2023,796.20,793.92,797.27,792.87,3.13B,0.47%
28/03/2023,792.45,799.69,799.69,790.96,3.18B,-0.76%
27/03/2023,798.48,799.35,802.37,798.48,2.44B,-0.24%
24/03/2023,800.42,806.61,806.61,798.34,2.90B,-0.87%
23/03/2023,807.44,805.30,807.51,802.88,1.89B,0.41%
22/03/2023,804.15,805.94,806.12,802.60,1.73B,-0.10%
21/03/2023,804.96,798.54,804.96,798.54,2.45B,0.97%
20/03/2023,797.22,801.83,802.24,793.61,1.75B,-0.85%
17/03/2023,804.03,813.29,817.35,803.96,1.43B,-1.23%
16/03/2023,814.07,812.54,814.08,806.52,1.92B,0.45%
15/03/2023,810.40,828.94,828.94,809.92,1.77B,-2.09%
14/03/2023,827.69,819.88,827.69,818.77,2.68B,1.04%
13/03/2023,819.16,836.90,837.66,819.16,1.64B,-2.18%
10/03/2023,837.44,847.13,847.13,833.85,2.12B,-1.44%
09/03/2023,849.67,854.92,854.92,847.16,1.94B,-0.59%
08/03/2023,854.73,859.44,859.44,853.50,2.22B,-0.62%
07/03/2023,860.06,864.51,865.50,859.69,2.55B,-0.61%
06/03/2023,865.31,865.86,865.86,860.71,2.74B,0.04%
03/03/2023,864.97,860.78,864.97,860.78,2.31B,0.43%
02/03/2023,861.29,860.42,861.63,859.10,2.52B,0.09%
01/03/2023,860.54,859.57,861.60,858.20,2.35B,0.14%
28/02/2023,859.37,859.73,859.89,857.13,4.19B,0.10%
27/02/2023,858.47,853.41,858.96,851.50,2.64B,0.68%
24/02/2023,852.63,856.13,856.51,851.86,2.91B,-0.34%
23/02/2023,855.51,853.01,858.14,852.74,3.63B,0.38%
22/02/2023,852.28,860.96,860.96,851.10,3.41B,-1.15%
21/02/2023,862.16,865.74,867.66,861.64,5.87B,-0.47%
20/02/2023,866.24,867.39,867.68,865.84,2.89B,0.06%
17/02/2023,865.70,870.39,870.39,865.33,4.68B,-0.45%
16/02/2023,869.59,869.87,871.44,866.63,4.54B,0.01%
15/02/2023,869.53,868.24,869.53,865.80,5.61B,0.26%
14/02/2023,867.30,870.67,873.52,867.30,3.28B,-0.44%
13/02/2023,871.11,873.39,873.67,871.11,3.45B,-0.38%
10/02/2023,874.39,880.51,880.51,873.93,3.67B,-0.73%
09/02/2023,880.84,881.81,885.63,880.40,2.29B,-0.27%
08/02/2023,883.23,880.14,886.25,880.14,2.76B,0.47%
07/02/2023,879.13,882.53,884.49,878.69,2.75B,-0.53%
