Date,Price,Open,High,Low,Vol.,Change %
29/12/2023,4232.01,4228.03,4238.97,4226.76,39.04M,0.09%
28/12/2023,4228.03,4228.99,4239.3,4220.05,59.92M,-0.02%
27/12/2023,4228.99,4213.05,4244.4,4213.04,76.88M,0.38%
22/12/2023,4213.05,4209.79,4220.53,4200.69,60.32M,0.08%
21/12/2023,4209.79,4221.18,4221.18,4194.51,95.60M,-0.27%
20/12/2023,4221.18,4175.13,4239.74,4175.13,155.45M,1.10%
19/12/2023,4175.13,4161.02,4176.9,4158.9,144.90M,0.34%
18/12/2023,4161.02,4142.92,4168.87,4132.49,119.03M,0.44%
15/12/2023,4142.92,4176.9,4188.86,4138.56,251.79M,-0.81%
14/12/2023,4176.9,4112.17,4212.91,4112.17,215.73M,1.57%
13/12/2023,4112.17,4108.53,4130.99,4108.48,144.52M,0.09%
12/12/2023,4108.53,4112.31,4142.84,4108.53,124.05M,-0.09%
11/12/2023,4112.31,4115.38,4117.66,4084.46,133.07M,-0.07%
08/12/2023,4115.38,4093.96,4129.55,4092.74,130.74M,0.52%
07/12/2023,4093.96,4096.16,4099.57,4075.07,120.68M,-0.05%
06/12/2023,4096.16,4078.65,4109.56,4078.32,210.09M,0.43%
05/12/2023,4078.65,4085.31,4085.31,4062.6,112.92M,-0.16%
04/12/2023,4085.31,4094.48,4097.33,4071.72,131.97M,-0.22%
01/12/2023,4094.48,4053.8,4098.22,4053.68,112.13M,1.00%
30/11/2023,4053.8,4047.89,4079.92,4027.15,202.38M,0.15%
29/11/2023,4047.89,4059.87,4062.49,4039.86,98.85M,-0.30%
28/11/2023,4059.87,4064.18,4064.18,4034.9,100.71M,-0.11%
27/11/2023,4064.18,4077.47,4078.47,4060.21,67.27M,-0.33%
24/11/2023,4077.47,4076.1,4080.67,4059.33,75.71M,0.03%
23/11/2023,4076.1,4069.6,4081.24,4057.39,89.09M,0.16%
22/11/2023,4069.6,4071.11,4082.64,4060.66,99.78M,-0.04%
21/11/2023,4071.11,4085.46,4085.69,4059.16,83.57M,-0.35%
20/11/2023,4085.46,4088.05,4089.24,4073.1,77.25M,-0.06%
17/11/2023,4088.05,4037.99,4089.91,4037.74,120.15M,1.24%
16/11/2023,4037.99,4083.22,4085.37,4037.31,114.12M,-1.11%
15/11/2023,4083.22,4056.79,4111.13,4056.79,128.74M,0.65%
14/11/2023,4056.79,4029.83,4059.76,4013.92,145.41M,0.67%
13/11/2023,4029.83,3997.59,4029.83,3997.59,100.24M,0.81%
10/11/2023,3997.59,4047.13,4047.13,3976.69,116.54M,-1.22%
09/11/2023,4047.13,4016.24,4051.55,4000.34,109.46M,0.77%
08/11/2023,4016.24,4017.63,4037.69,4002.73,111.93M,-0.03%
07/11/2023,4017.63,4020.77,4028.42,4008.92,91.15M,-0.08%
06/11/2023,4020.77,4028.19,4039.44,4018.61,111.71M,-0.18%
03/11/2023,4028.19,4033.98,4056.89,4017.59,106.03M,-0.14%
02/11/2023,4033.98,3967.55,4042.93,3967.55,146.24M,1.67%
01/11/2023,3967.55,3954.35,3985.39,3944.14,108.62M,0.33%
31/10/2023,3954.35,3954.67,3981.19,3948.03,121.57M,-0.01%
30/10/2023,3954.67,3933.17,3973.27,3933.16,136.74M,0.55%
27/10/2023,3933.17,3959.51,3974.46,3926.69,90.01M,-0.67%
26/10/2023,3959.51,3990.54,3990.62,3954,121.34M,-0.78%
25/10/2023,3990.54,3983.2,3997.21,3969.14,105.91M,0.18%
24/10/2023,3983.2,3978.44,3991.76,3953.07,105.83M,0.12%
23/10/2023,3978.44,3990.56,3990.64,3956.78,79.79M,-0.30%
20/10/2023,3990.56,4041.45,4041.45,3988.12,117.60M,-1.26%
