Date,Price,Open,High,Low,Vol.,Change %
29/12/2023,6425.03,6420.77,6434.60,6417.43,47.30M,0.07%
28/12/2023,6420.77,6414.26,6420.77,6408.53,96.66M,0.10%
27/12/2023,6414.26,6369.56,6414.26,6364.81,101.79M,0.70%
22/12/2023,6369.56,6357.47,6369.56,6350.18,89.91M,0.19%
21/12/2023,6357.47,6359.38,6359.38,6320.95,110.06M,-0.03%
20/12/2023,6359.38,6290.18,6360.37,6290.18,154.99M,1.10%
19/12/2023,6290.18,6260.29,6296.02,6260.29,120.15M,0.48%
18/12/2023,6260.29,6241.19,6280.28,6236.37,126.29M,0.31%
15/12/2023,6241.19,6192.91,6241.19,6192.91,206.24M,0.78%
14/12/2023,6192.91,6076.13,6192.91,6076.13,166.27M,1.92%
13/12/2023,6076.13,6074.79,6094.82,6074.79,100.79M,0.02%
12/12/2023,6074.79,6083.69,6102.13,6074.79,121.01M,-0.15%
11/12/2023,6083.69,6093.51,6100.39,6083.69,210.32M,-0.16%
08/12/2023,6093.51,6077.36,6106.80,6077.36,132.40M,0.27%
07/12/2023,6077.36,6076.74,6096.68,6070.24,108.66M,0.01%
06/12/2023,6076.74,6049.93,6084.74,6049.93,165.10M,0.44%
05/12/2023,6049.93,6042.57,6056.85,6035.94,121.66M,0.12%
04/12/2023,6042.57,6057.88,6071.38,6042.57,175.89M,-0.25%
01/12/2023,6057.88,6006.53,6057.88,6006.53,151.60M,0.85%
30/11/2023,6006.53,6066.13,6069.20,6006.53,167.29M,-0.98%
29/11/2023,6066.13,6056.44,6076.98,6041.79,167.18M,0.16%
28/11/2023,6056.44,6073.82,6073.82,6046.18,116.88M,-0.29%
27/11/2023,6073.82,6080.32,6085.09,6069.24,82.30M,-0.11%
24/11/2023,6080.32,6084.66,6086.71,6077.17,70.72M,-0.07%
23/11/2023,6084.66,6082.23,6088.93,6065.75,71.99M,0.04%
22/11/2023,6082.23,6068.74,6086.47,6061.66,94.82M,0.22%
21/11/2023,6068.74,6080.72,6090.89,6065.90,96.16M,-0.20%
20/11/2023,6080.72,6075.14,6085.92,6070.27,93.70M,0.09%
17/11/2023,6075.14,6021.25,6075.14,6018.77,239.95M,0.89%
16/11/2023,6021.25,6063.27,6063.78,6019.11,93.76M,-0.69%
15/11/2023,6063.27,6001.27,6070.68,6001.27,114.70M,1.03%
14/11/2023,6001.27,5904.62,6001.70,5896.26,113.60M,1.64%
13/11/2023,5904.62,5870.20,5904.62,5862.41,93.71M,0.59%
10/11/2023,5870.20,5896.94,5896.94,5856.89,89.74M,-0.45%
09/11/2023,5896.94,5870.73,5897.86,5857.48,109.62M,0.45%
08/11/2023,5870.73,5879.19,5890.83,5867.66,89.99M,-0.14%
07/11/2023,5879.19,5881.71,5884.45,5867.04,100.09M,-0.04%
06/11/2023,5881.71,5901.36,5901.36,5872.61,89.06M,-0.33%
03/11/2023,5901.36,5844.07,5903.41,5844.07,98.11M,0.98%
02/11/2023,5844.07,5764.08,5847.04,5764.08,100.78M,1.39%
01/11/2023,5764.08,5723.94,5764.08,5719.85,78.85M,0.70%
31/10/2023,5723.94,5703.65,5725.33,5700.37,119.28M,0.36%
30/10/2023,5703.65,5677.04,5711.38,5676.64,82.07M,0.47%
27/10/2023,5677.04,5668.93,5688.29,5666.88,72.82M,0.14%
26/10/2023,5668.93,5736.93,5736.93,5668.93,95.60M,-1.19%
25/10/2023,5736.93,5751.05,5751.05,5707.97,117.49M,-0.25%
24/10/2023,5751.05,5756.65,5762.29,5746.22,122.87M,-0.10%
23/10/2023,5756.65,5784.41,5784.41,5730.13,90.79M,-0.48%
20/10/2023,5784.41,5840.66,5840.66,5775.74,91.10M,-0.96%
19/10/2023,5840.66,5876.20,5876.20,5840.33,94.74M,-0.60%
18/10/2023,5876.20,5905.86,5906.32,5871.36,126.07M,-0.50%
17/10/2023,5905.86,5874.53,5905.86,5869.02,77.11M,0.53%
16/10/2023,5874.53,5903.80,5903.80,5871.20,81.36M,-0.50%
13/10/2023,5903.80,5955.70,5955.70,5898.10,129.46M,-0.87%
12/10/2023,5955.70,5943.12,5963.86,5935.60,192.55M,0.21%
11/10/2023,5943.12,5944.32,5947.29,5925.71,92.63M,-0.02%
10/10/2023,5944.32,5854.16,5944.43,5853.58,96.45M,1.54%
09/10/2023,5854.16,5897.95,5905.03,5854.16,98.78M,-0.74%
06/10/2023,5897.95,5892.00,5905.85,5879.58,97.79M,0.10%
05/10/2023,5892.00,5898.72,5905.65,5892.00,139.20M,-0.11%
04/10/2023,5898.72,5952.29,5952.29,5894.93,114.44M,-0.90%
03/10/2023,5952.29,6019.15,6019.15,5952.29,91.81M,-1.11%
02/10/2023,6019.15,6097.84,6098.36,6015.94,87.17M,-1.29%
29/09/2023,6097.84,6059.19,6108.89,6059.19,97.76M,0.64%
28/09/2023,6059.19,6072.31,6072.31,6031.98,89.62M,-0.22%
27/09/2023,6072.31,6089.73,6098.52,6071.04,166.93M,-0.29%
26/09/2023,6089.73,6127.97,6128.66,6082.70,87.09M,-0.62%
25/09/2023,6127.97,6137.26,6137.26,6107.05,96.29M,-0.15%
22/09/2023,6137.26,6143.16,6174.02,6137.26,137.17M,-0.10%
21/09/2023,6143.16,6156.44,6156.44,6126.39,105.38M,-0.22%
20/09/2023,6156.44,6090.92,6157.44,6090.92,124.89M,1.08%
19/09/2023,6090.92,6097.52,6108.69,6088.10,112.53M,-0.11%
18/09/2023,6097.52,6128.23,6134.23,6093.56,126.74M,-0.50%
15/09/2023,6128.23,6109.28,6130.90,6109.28,167.17M,0.31%
