Date,Price,Open,High,Low,Change %
29/12/2023,3.977,4.004,4.054,3.963,-0.82%
28/12/2023,4.01,3.966,4.055,3.96,1.08%
27/12/2023,3.967,4.035,4.035,3.961,-1.51%
22/12/2023,4.028,4.04,4.084,4.021,-1.03%
21/12/2023,4.07,4.105,4.134,4.04,-0.76%
20/12/2023,4.101,4.196,4.196,4.082,-4.41%
19/12/2023,4.29,4.282,4.317,4.241,-0.56%
18/12/2023,4.314,4.298,4.355,4.217,-0.23%
16/12/2023,4.324,4.324,4.324,4.324,0.84%
15/12/2023,4.288,4.342,4.398,4.247,-1.08%
14/12/2023,4.335,4.259,4.36,4.17,-0.78%
13/12/2023,4.369,4.44,4.479,4.363,-2.85%
12/12/2023,4.497,4.503,4.531,4.464,-2.22%
11/12/2023,4.599,4.582,4.623,4.547,-0.07%
10/12/2023,4.602,4.602,4.602,4.602,0.00%
09/12/2023,4.602,4.602,4.602,4.602,0.55%
08/12/2023,4.577,4.528,4.599,4.5,1.62%
07/12/2023,4.504,4.513,4.557,4.496,0.67%
06/12/2023,4.474,4.477,4.548,4.453,-0.36%
05/12/2023,4.49,4.538,4.588,4.448,-2.45%
04/12/2023,4.603,4.531,4.61,4.527,1.13%
03/12/2023,4.5515,4.5515,4.5515,4.5515,0.01%
02/12/2023,4.551,4.551,4.551,4.551,0.75%
01/12/2023,4.517,4.614,4.622,4.505,-1.61%
30/11/2023,4.591,4.543,4.623,4.519,0.92%
29/11/2023,4.549,4.569,4.61,4.501,-1.41%
28/11/2023,4.614,4.613,4.656,4.58,-0.50%
27/11/2023,4.637,4.685,4.711,4.629,-2.34%
26/11/2023,4.748,4.748,4.748,4.748,0.00%
25/11/2023,4.748,4.748,4.748,4.748,0.96%
24/11/2023,4.703,4.722,4.766,4.693,0.09%
23/11/2023,4.699,4.61,4.729,4.568,2.29%
22/11/2023,4.594,4.571,4.616,4.503,0.97%
21/11/2023,4.55,4.497,4.568,4.485,0.42%
20/11/2023,4.531,4.546,4.611,4.525,-0.78%
19/11/2023,4.5665,4.5665,4.5665,4.5665,0.01%
18/11/2023,4.566,4.566,4.566,4.566,0.53%
17/11/2023,4.542,4.493,4.562,4.42,0.04%
16/11/2023,4.54,4.567,4.588,4.493,-1.67%
