"Date","Price","Open","High","Low","Vol.","Change %"
"29/12/2023","153.78","153.38","153.82","152.96","10.58M","0.18%"
"28/12/2023","153.50","153.46","154.04","152.80","21.44M","-0.10%"
"27/12/2023","153.66","152.60","154.72","150.86","26.19M","1.24%"
"22/12/2023","151.78","149.90","152.08","149.88","13.07M","0.24%"
"21/12/2023","151.42","152.56","152.56","148.88","55.27M","-0.15%"
"20/12/2023","151.64","151.22","152.36","146.76","75.96M","2.70%"
"19/12/2023","147.66","145.56","148.48","144.74","42.44M","0.79%"
"18/12/2023","146.50","146.96","148.02","144.18","22.51M","-0.10%"
"15/12/2023","146.64","150.78","151.76","145.97","103.98M","-2.24%"
"14/12/2023","150.00","143.90","150.60","141.08","171.41M","6.32%"
"13/12/2023","141.08","139.46","142.54","139.46","59.65M","-0.42%"
"12/12/2023","141.68","143.90","143.90","141.60","36.15M","-0.58%"
"11/12/2023","142.50","143.82","144.64","141.70","59.34M","-0.54%"
"08/12/2023","143.28","141.64","144.60","139.28","58.69M","2.24%"
"07/12/2023","140.14","141.10","141.10","138.10","42.29M","-0.07%"
"06/12/2023","140.24","138.62","141.26","138.34","309.07M","0.56%"
"05/12/2023","139.46","136.50","140.50","136.50","117.46M","-2.46%"
"04/12/2023","142.98","142.80","143.72","141.39","59.57M","0.44%"
"01/12/2023","142.36","141.28","143.34","140.76","29.41M","0.94%"
"30/11/2023","141.04","140.52","142.04","139.16","68.41M","0.53%"
"29/11/2023","140.30","138.88","140.84","138.30","33.20M","0.13%"
"28/11/2023","140.12","141.32","141.32","138.78","32.24M","-0.06%"
"27/11/2023","140.20","140.56","142.72","140.20","14.26M","-1.02%"
"24/11/2023","141.64","141.24","142.02","139.28","18.68M","1.00%"
"23/11/2023","140.24","139.68","141.24","137.48","43.42M","0.19%"
"22/11/2023","139.98","141.52","142.58","139.64","30.53M","-1.23%"
"21/11/2023","141.72","143.38","143.38","140.16","17.71M","-0.58%"
"20/11/2023","142.54","142.80","143.66","141.80","36.65M","-0.18%"
"17/11/2023","142.80","140.10","143.20","137.58","36.77M","2.70%"
"16/11/2023","139.04","138.82","141.08","137.80","33.28M","-0.60%"
"15/11/2023","139.88","139.00","142.20","138.68","56.39M","1.03%"
"14/11/2023","138.46","135.58","138.64","135.14","24.53M","1.26%"
"13/11/2023","136.74","136.56","137.30","134.58","31.49M","0.86%"
"10/11/2023","135.58","136.46","136.56","134.10","20.54M","-1.02%"
"09/11/2023","136.98","135.94","137.61","134.84","56.92M","0.71%"
"08/11/2023","136.02","134.56","137.10","132.84","26.38M","-0.15%"
"07/11/2023","136.22","135.80","137.32","134.88","26.20M","-0.06%"
"06/11/2023","136.30","137.32","138.00","135.24","30.59M","-0.03%"
"03/11/2023","136.34","135.16","137.33","132.16","34.49M","2.33%"
"02/11/2023","133.24","129.90","133.40","129.64","34.23M","3.02%"
"01/11/2023","129.34","129.92","133.00","128.92","63.82M","-1.72%"
"31/10/2023","131.60","131.52","132.78","129.46","52.35M","0.72%"
"30/10/2023","130.66","128.54","131.08","128.12","58.56M","1.13%"
"27/10/2023","129.20","131.28","133.10","128.64","71.15M","-2.30%"
"26/10/2023","132.24","133.90","133.90","130.62","61.53M","-0.74%"
"25/10/2023","133.22","132.28","134.88","131.42","60.88M","-1.05%"
"24/10/2023","134.64","136.48","139.86","129.58","117.81M","-6.53%"
"23/10/2023","144.04","145.28","145.78","143.48","39.93M","-0.57%"
"20/10/2023","144.86","146.86","147.86","144.32","49.29M","-1.99%"
"19/10/2023","147.80","152.56","152.56","147.64","59.57M","-2.53%"
"18/10/2023","151.64","153.92","155.92","151.44","32.82M","-2.04%"
"17/10/2023","154.80","152.06","155.24","152.06","49.14M","1.00%"
"16/10/2023","153.26","154.00","154.40","152.02","52.83M","0.12%"
"13/10/2023","153.08","151.82","154.64","150.70","43.76M","0.53%"
"12/10/2023","152.28","157.88","158.68","151.16","69.66M","-3.12%"
"11/10/2023","157.18","155.52","158.44","154.54","31.41M","0.26%"
"10/10/2023","156.78","153.48","157.68","151.22","45.65M","3.13%"
"09/10/2023","152.02","152.76","154.22","151.58","64.82M","-1.77%"
"06/10/2023","154.76","152.80","155.18","151.62","27.15M","1.47%"
"05/10/2023","152.52","153.64","153.86","151.58","38.65M","-0.88%"
"04/10/2023","153.88","153.06","155.38","152.34","46.72M","-0.26%"
"03/10/2023","154.28","155.02","156.76","154.09","30.10M","-0.99%"
"02/10/2023","155.82","159.00","160.35","155.82","32.33M","-1.96%"
"29/09/2023","158.94","157.82","159.98","157.82","36.27M","-0.09%"
"28/09/2023","159.08","157.42","159.12","156.92","32.20M","0.61%"
"27/09/2023","158.12","158.24","160.68","157.47","29.88M","-0.98%"
"26/09/2023","159.68","156.24","161.02","155.86","55.95M","3.93%"
"25/09/2023","153.64","154.24","157.92","153.00","30.79M","-1.08%"
"22/09/2023","155.32","156.20","158.52","154.92","63.20M","-0.88%"
"21/09/2023","156.70","156.20","157.80","153.76","100.15M","-1.80%"
"20/09/2023","159.58","160.26","162.14","159.58","47.41M","0.23%"
"19/09/2023","159.22","158.00","160.14","157.66","34.23M","0.26%"
"18/09/2023","158.80","160.78","162.10","158.54","29.34M","-1.65%"
"15/09/2023","161.46","161.02","163.60","160.32","94.41M","0.86%"
"14/09/2023","160.08","157.38","160.46","156.76","43.61M","1.81%"
"13/09/2023","157.24","154.12","157.96","153.74","44.26M","2.38%"
"12/09/2023","153.58","150.80","153.76","150.60","42.28M","2.45%"
