"Date","Price","Open","High","Low","Vol.","Change %"
"29/12/2023","472.10","471.45","476.10","471.05","8.81M","0.44%"
"28/12/2023","470.05","475.00","477.05","469.20","16.70M","-0.36%"
"27/12/2023","471.75","463.55","478.55","463.55","17.59M","1.16%"
"22/12/2023","466.35","467.30","473.62","466.35","12.11M","-0.82%"
"21/12/2023","470.20","466.70","470.25","459.60","34.69M","0.22%"
"20/12/2023","469.15","474.00","478.00","464.95","19.63M","0.29%"
"19/12/2023","467.80","460.10","468.40","457.20","36.60M","1.11%"
"18/12/2023","462.65","463.65","464.60","456.25","25.15M","0.39%"
"15/12/2023","460.85","460.40","472.13","459.20","69.20M","1.56%"
"14/12/2023","453.75","448.45","456.76","430.80","49.66M","4.64%"
"13/12/2023","433.65","433.40","438.95","431.25","29.89M","-0.61%"
"12/12/2023","436.30","441.25","445.75","432.60","27.17M","-0.68%"
"11/12/2023","439.30","451.00","454.00","438.30","44.29M","-3.96%"
"08/12/2023","457.40","448.75","462.85","448.75","33.65M","0.85%"
"07/12/2023","453.55","449.20","456.20","441.15","33.99M","1.58%"
"06/12/2023","446.50","445.75","451.00","435.75","19.84M","1.85%"
"05/12/2023","438.40","440.55","445.24","433.50","22.46M","-1.18%"
"04/12/2023","443.65","447.40","460.40","441.75","31.32M","-3.07%"
"01/12/2023","457.70","445.80","459.65","445.30","52.31M","3.60%"
"30/11/2023","441.80","447.45","451.45","441.45","45.63M","-0.48%"
"29/11/2023","443.95","445.30","453.75","443.30","10.38M","-0.69%"
"28/11/2023","447.05","446.80","448.00","440.00","15.14M","0.35%"
"27/11/2023","445.50","445.25","450.95","442.70","10.01M","-0.59%"
"24/11/2023","448.15","445.70","452.95","442.25","10.75M","-0.37%"
"23/11/2023","449.80","449.45","452.45","437.00","19.71M","0.19%"
"22/11/2023","448.95","459.95","459.95","447.20","23.17M","-1.76%"
"21/11/2023","457.00","466.70","470.25","454.85","19.07M","-1.83%"
"20/11/2023","465.50","462.15","470.35","457.60","15.42M","-0.46%"
