"Date","Price","Open","High","Low","Vol.","Change %"
"29/12/2023","68.560","68.170","68.830","68.150","14.62M","0.37%"
"28/12/2023","68.310","68.650","69.050","68.220","27.58M","-0.36%"
"27/12/2023","68.560","68.120","69.000","68.020","54.22M","-0.87%"
"22/12/2023","69.160","68.990","69.425","68.711","45.33M","0.23%"
"21/12/2023","69.000","67.700","69.240","67.660","95.10M","2.25%"
"20/12/2023","67.480","68.020","68.590","66.810","85.89M","0.94%"
"19/12/2023","66.850","67.250","67.733","66.140","195.55M","-0.57%"
"18/12/2023","67.230","66.020","69.470","65.660","155.76M","3.88%"
"15/12/2023","64.720","66.190","66.480","64.650","165.40M","-2.60%"
"14/12/2023","66.450","66.290","67.300","65.880","220.85M","2.01%"
"13/12/2023","65.140","66.320","66.580","64.970","107.01M","-2.94%"
"12/12/2023","67.110","68.170","68.470","66.930","79.44M","-2.10%"
"11/12/2023","68.550","69.250","69.340","68.000","121.35M","-1.01%"
"08/12/2023","69.250","69.700","70.084","68.750","60.65M","-0.79%"
"07/12/2023","69.800","71.020","71.730","69.710","102.01M","-3.31%"
"06/12/2023","72.190","71.130","72.770","71.130","246.04M","0.88%"
"05/12/2023","71.560","70.820","71.700","70.422","41.43M","0.36%"
"04/12/2023","71.300","71.950","72.170","70.790","79.54M","-0.52%"
"01/12/2023","71.670","71.130","71.840","70.820","39.51M","0.48%"
"30/11/2023","71.330","70.880","71.700","70.300","117.37M","0.73%"
"29/11/2023","70.810","70.790","71.180","69.890","51.42M","-0.07%"
"28/11/2023","70.860","70.990","71.040","70.060","80.24M","-0.25%"
"27/11/2023","71.040","71.750","71.750","70.980","61.79M","-0.98%"
"24/11/2023","71.740","71.140","72.160","71.000","49.50M","1.23%"
"23/11/2023","70.870","71.460","71.740","70.420","117.43M","-5.41%"
"22/11/2023","74.920","74.590","75.500","74.430","64.46M","0.55%"
"21/11/2023","74.510","74.650","74.830","73.620","100.65M","-0.33%"
"20/11/2023","74.760","74.630","75.470","74.444","56.10M","-0.39%"
"17/11/2023","75.050","73.630","75.250","73.378","51.82M","2.50%"
"16/11/2023","73.220","72.730","74.510","72.730","49.42M","0.73%"
"15/11/2023","72.690","73.300","73.900","72.247","72.03M","-0.57%"
"14/11/2023","73.110","78.600","78.870","73.110","108.66M","-5.54%"
"13/11/2023","77.400","76.760","77.900","75.960","65.44M","1.34%"
"10/11/2023","76.380","77.710","77.970","76.100","65.17M","-1.55%"
"09/11/2023","77.580","77.200","77.580","76.180","50.28M","0.73%"
"08/11/2023","77.020","77.630","77.980","76.767","41.45M","-1.47%"
"07/11/2023","78.170","78.460","78.870","77.930","36.72M","-0.87%"
"06/11/2023","78.860","78.480","79.000","77.590","113.61M","0.19%"
"03/11/2023","78.710","77.750","78.710","77.390","49.88M","1.93%"
"02/11/2023","77.220","75.400","77.450","75.190","56.59M","2.78%"
"01/11/2023","75.130","75.850","76.130","75.130","71.00M","-0.75%"
"31/10/2023","75.700","77.020","77.750","75.230","55.63M","-1.34%"
"30/10/2023","76.730","76.620","77.160","76.250","50.21M","0.83%"
"27/10/2023","76.100","75.500","76.770","75.270","37.75M","1.72%"
"26/10/2023","74.810","73.620","75.140","73.620","48.13M","1.23%"
"25/10/2023","73.900","75.530","75.530","73.630","55.44M","-2.04%"
"24/10/2023","75.440","74.870","75.710","74.340","54.63M","0.83%"
"23/10/2023","74.820","75.700","75.870","74.350","38.40M","-1.16%"
"20/10/2023","75.700","76.330","78.980","75.130","56.58M","-1.29%"
"19/10/2023","76.690","77.440","77.620","76.460","106.70M","-1.27%"
"18/10/2023","77.680","77.640","78.470","76.930","33.05M","0.15%"
