Date,Price,Open,High,Low,Vol.,Change %
29/12/2023,3169.18,3174.16,3179.73,3161.89,,-0.28%
28/12/2023,3178.05,3176.91,3184.32,3173.39,,0.08%
27/12/2023,3175.65,3165.64,3178.20,3164.99,,0.41%
26/12/2023,3162.65,3152.94,3168.39,3151.72,,0.32%
25/12/2023,3152.49,3153.32,3153.39,3151.67,,0.01%
22/12/2023,3152.26,3146.89,3163.05,3142.82,,0.23%
21/12/2023,3145.09,3120.02,3147.09,3115.31,,0.75%
20/12/2023,3121.79,3152.95,3160.07,3118.76,,-1.00%
19/12/2023,3153.34,3132.53,3153.34,3131.10,,0.70%
18/12/2023,3131.35,3124.00,3135.36,3120.26,,0.17%
15/12/2023,3126.14,3128.24,3133.11,3117.34,,-0.09%
14/12/2023,3128.89,3109.89,3137.53,3108.95,,0.90%
13/12/2023,3101.08,3069.30,3110.66,3066.78,,1.10%
12/12/2023,3067.44,3058.48,3068.47,3048.70,,0.36%
11/12/2023,3056.42,3047.63,3057.92,3042.58,,0.30%
08/12/2023,3047.21,3037.93,3050.38,3030.00,,0.32%
07/12/2023,3037.45,3019.16,3041.87,3015.78,,0.55%
06/12/2023,3020.98,3022.36,3041.38,3017.65,,-0.07%
05/12/2023,3023.22,3027.38,3029.41,3014.36,,-0.11%
04/12/2023,3026.59,3045.26,3047.23,3015.29,,-0.46%
01/12/2023,3040.70,3021.44,3045.95,3016.77,,0.56%
30/11/2023,3023.63,3014.20,3023.63,3006.88,,0.32%
29/11/2023,3013.93,3014.04,3030.67,3011.72,,0.05%
28/11/2023,3012.57,3009.58,3020.47,3002.73,,0.15%
27/11/2023,3007.99,3014.95,3015.73,3007.03,,-0.24%
24/11/2023,3015.19,3008.62,3015.49,3008.46,,0.21%
23/11/2023,3008.74,3006.47,3009.80,3006.25,,0.13%
22/11/2023,3004.76,2998.26,3012.07,2996.93,,0.16%
21/11/2023,2999.87,3005.59,3008.23,2994.80,,-0.17%
20/11/2023,3004.88,2986.30,3010.12,2985.37,,0.66%
17/11/2023,2985.19,2970.69,2988.56,2970.51,,0.41%
16/11/2023,2973.00,2973.45,2976.69,2962.04,,-0.07%
15/11/2023,2975.19,2967.89,2985.06,2967.86,,0.40%
14/11/2023,2963.36,2905.20,2972.76,2905.18,,2.02%
13/11/2023,2904.64,2901.96,2910.17,2892.24,,0.13%
10/11/2023,2900.76,2874.13,2902.94,2868.63,,0.76%
09/11/2023,2878.98,2888.22,2900.93,2873.49,,-0.33%
08/11/2023,2888.41,2887.95,2894.90,2878.13,,0.04%
07/11/2023,2887.39,2887.56,2891.97,2874.87,,-0.07%
06/11/2023,2889.44,2883.80,2894.00,2879.33,,0.20%
03/11/2023,2883.80,2853.30,2891.42,2853.30,,1.10%
02/11/2023,2852.55,2802.95,2854.31,2802.88,,1.97%
01/11/2023,2797.49,2769.29,2801.83,2769.15,,1.04%
31/10/2023,2768.62,2757.48,2770.30,2749.97,,0.40%
30/10/2023,2757.59,2730.99,2762.78,2727.94,,0.94%
27/10/2023,2731.99,2741.56,2755.01,2724.91,,-0.33%
26/10/2023,2740.96,2770.08,2770.08,2735.90,,-1.12%
25/10/2023,2772.11,2801.70,2805.14,2768.28,,-1.07%
24/10/2023,2801.96,2788.73,2808.99,2785.50,,0.55%
23/10/2023,2786.75,2790.96,2806.94,2768.36,,-0.16%
20/10/2023,2791.24,2823.80,2824.79,2790.79,,-1.18%
19/10/2023,2824.45,2849.26,2856.29,2821.73,,-0.96%
18/10/2023,2851.89,2888.64,2890.31,2846.40,,-1.27%
17/10/2023,2888.62,2888.34,2899.52,2867.57,,0.11%
16/10/2023,2885.35,2863.06,2890.54,2858.38,,0.81%
13/10/2023,2862.14,2882.31,2890.93,2855.39,,-0.76%
12/10/2023,2884.06,2900.80,2907.20,2870.73,,-0.53%
11/10/2023,2899.50,2889.59,2901.44,2882.07,,0.40%
