Date,Value
03/01/2017,0.47
04/01/2017,0.49
05/01/2017,0.50
06/01/2017,0.49
09/01/2017,0.51
10/01/2017,0.51
11/01/2017,0.51
12/01/2017,0.51
13/01/2017,0.50
17/01/2017,0.48
18/01/2017,0.51
19/01/2017,0.53
20/01/2017,0.55
23/01/2017,0.53
24/01/2017,0.53
25/01/2017,0.55
26/01/2017,0.54
27/01/2017,0.53
30/01/2017,0.52
31/01/2017,0.51
01/02/2017,0.53
02/02/2017,0.52
03/02/2017,0.53
06/02/2017,0.51
07/02/2017,0.51
08/02/2017,0.50
09/02/2017,0.50
10/02/2017,0.50
13/02/2017,0.52
14/02/2017,0.50
15/02/2017,0.51
16/02/2017,0.54
17/02/2017,0.53
21/02/2017,0.52
22/02/2017,0.53
23/02/2017,0.54
24/02/2017,0.54
27/02/2017,0.55
28/02/2017,0.53
01/03/2017,0.47
02/03/2017,0.44
03/03/2017,0.40
06/03/2017,0.38
07/03/2017,0.36
08/03/2017,0.39
09/03/2017,0.40
10/03/2017,0.39
13/03/2017,0.35
14/03/2017,0.37
15/03/2017,0.43
16/03/2017,0.43
17/03/2017,0.43
20/03/2017,0.41
21/03/2017,0.40
22/03/2017,0.40
23/03/2017,0.40
24/03/2017,0.38
27/03/2017,0.38
28/03/2017,0.38
29/03/2017,0.38
30/03/2017,0.38
31/03/2017,0.40
03/04/2017,0.37
04/04/2017,0.37
05/04/2017,0.36
06/04/2017,0.38
07/04/2017,0.35
11/04/2017,0.35
12/04/2017,0.36
13/04/2017,0.36
18/04/2017,0.35
19/04/2017,0.36
20/04/2017,0.37
21/04/2017,0.38
24/04/2017,0.37
25/04/2017,0.36
26/04/2017,0.35
27/04/2017,0.37
28/04/2017,0.38
02/05/2017,0.36
03/05/2017,0.33
04/05/2017,0.34
05/05/2017,0.30
08/05/2017,0.28
09/05/2017,0.28
10/05/2017,0.29
11/05/2017,0.31
12/05/2017,0.32
15/05/2017,0.29
16/05/2017,0.29
17/05/2017,0.29
18/05/2017,0.26
19/05/2017,0.29
22/05/2017,0.27
23/05/2017,0.28
24/05/2017,0.28
25/05/2017,0.28
26/05/2017,0.28
30/05/2017,0.28
31/05/2017,0.25
01/06/2017,0.26
02/06/2017,0.26
05/06/2017,0.27
06/06/2017,0.26
07/06/2017,0.24
08/06/2017,0.24
09/06/2017,0.25
12/06/2017,0.27
13/06/2017,0.26
14/06/2017,0.26
15/06/2017,0.27
16/06/2017,0.26
19/06/2017,0.27
20/06/2017,0.29
21/06/2017,0.32
22/06/2017,0.36
23/06/2017,0.34
26/06/2017,0.31
27/06/2017,0.31
28/06/2017,0.30
29/06/2017,0.28
30/06/2017,0.29
03/07/2017,0.26
05/07/2017,0.27
06/07/2017,0.28
07/07/2017,0.28
10/07/2017,0.27
11/07/2017,0.27
12/07/2017,0.27
13/07/2017,0.27
14/07/2017,0.28
17/07/2017,0.26
18/07/2017,0.26
19/07/2017,0.22
20/07/2017,0.18
21/07/2017,0.17
24/07/2017,0.16
25/07/2017,0.16
26/07/2017,0.20
27/07/2017,0.22
28/07/2017,0.25
31/07/2017,0.26
01/08/2017,0.25
02/08/2017,0.25
03/08/2017,0.25
04/08/2017,0.25
07/08/2017,0.30
08/08/2017,0.27
09/08/2017,0.27
10/08/2017,0.28
11/08/2017,0.30
14/08/2017,0.30
15/08/2017,0.29
16/08/2017,0.32
17/08/2017,0.34
