date,Change %,average_valence
2023-12-29,0.14,0.4992246231155778
2023-12-28,-0.03,0.4950839195979899
2023-12-27,0.36,0.5087221105527638
2023-12-22,0.04,0.5538945
2023-12-21,-0.27,0.5484185
2023-12-20,1.02,0.5382585
2023-12-19,0.31,0.5363285
2023-12-18,0.5,0.5277935
2023-12-15,-0.95,0.5360135
2023-12-14,1.33,0.5223085
2023-12-13,0.08,0.5221935
2023-12-12,-0.03,0.5157135
2023-12-11,-0.13,0.5075135000000001
2023-12-08,0.54,0.5152734999999999
2023-12-07,-0.02,0.5177285
2023-12-06,0.34,0.5177485000000001
2023-12-05,-0.31,0.5099485
2023-12-04,-0.22,0.5127485
2023-12-01,1.01,0.5290935
2023-11-30,0.41,0.5028135
2023-11-29,-0.43,0.5079285
2023-11-28,-0.07,0.5046835000000001
2023-11-27,-0.37,0.5038326633165829
2023-11-24,0.06,0.5097265
2023-11-23,0.19,0.5006085
2023-11-22,-0.17,0.5003285000000001
2023-11-21,-0.19,0.4924015
2023-11-20,-0.11,0.4881643216080402
2023-11-17,1.26,0.5001685
2023-11-16,-1.01,0.4841514999999999
2023-11-15,0.62,0.481951256281407
2023-11-14,0.2,0.4773381909547738
2023-11-13,0.89,0.4742427135678392
2023-11-10,-1.28,0.4889110552763819
2023-11-09,0.73,0.4738281407035176
2023-11-08,-0.11,0.4713206030150754
2023-11-07,-0.1,0.4656623115577889
2023-11-06,0.0,0.4677175879396985
2023-11-03,-0.39,0.489136
2023-11-02,1.42,0.4667949748743719
2023-11-01,0.28,0.4681165829145728
2023-10-31,-0.08,0.5092040201005025
2023-10-30,0.5,0.4764984924623116
2023-10-27,-0.86,0.512736
2023-10-26,-0.81,0.4863567839195979
2023-10-25,0.33,0.4833115577889447
2023-10-24,0.2,0.4844824120603015
2023-10-23,-0.37,0.4849447236180905
2023-10-20,-1.3,0.49481
2023-10-19,-1.17,0.4864824120603015
2023-10-18,-1.14,0.4787035175879397
2023-10-17,0.58,0.4776231155778894
2023-10-16,0.41,0.4754472361809045
2023-10-13,-0.59,0.4916355
2023-10-12,0.32,0.4669995
2023-10-11,-0.11,0.4608035175879397
2023-10-10,1.82,0.4637295
2023-10-09,-0.03,0.467351256281407
2023-10-06,0.58,0.4902145
2023-10-05,0.53,0.4984793969849246
2023-10-04,-0.77,0.4982783919597989
2023-10-03,-0.54,0.5010723618090452
2023-10-02,-1.28,0.4967507537688442
2023-09-29,0.08,0.5109718592964825
2023-09-28,0.11,0.4959999999999999
2023-09-27,-0.43,0.4954341708542713
2023-09-26,0.02,0.4970472361809046
2023-09-25,-0.78,0.490705527638191
2023-09-22,0.07,0.5110070351758794
2023-09-21,-0.69,0.5007653266331659
2023-09-20,0.93,0.4984035175879397
2023-09-19,0.09,0.493272864321608
2023-09-18,-0.76,0.4932678391959799
2023-09-15,0.5,0.520272
2023-09-14,1.95,0.4995221105527638
2023-09-13,-0.02,0.5039793969849247
2023-09-12,0.41,0.497064824120603
2023-09-11,0.25,0.5057969849246231
2023-09-08,0.49,0.5425654999999999
2023-09-07,0.21,0.5319381909547739
2023-09-06,-0.16,0.530691959798995
2023-09-05,-0.2,0.5331110552763819
2023-09-04,-0.16,0.5330005025125628
2023-09-01,0.34,0.5399130653266332
2023-08-31,-0.46,0.5294206030150753
2023-08-30,0.12,0.5282447236180905
2023-08-29,1.72,0.5255613065326633
2023-08-25,0.07,0.54508391959799
2023-08-24,0.18,0.5367271356783919
2023-08-23,0.68,0.5295914572864322
2023-08-22,0.18,0.527837688442211
2023-08-21,-0.06,0.5231492462311558
2023-08-18,-0.65,0.5344758793969849
2023-08-17,-0.63,0.5340437185929648
2023-08-16,-0.44,0.529229648241206
2023-08-15,-1.57,0.525335175879397
2023-08-14,-0.23,0.5182597989949749
2023-08-11,-1.24,0.5401291457286432
2023-08-10,0.41,0.5240939698492463
2023-08-09,0.8,0.5258778894472361
2023-08-08,-0.36,0.5224105527638191
2023-08-07,-0.13,0.5209381909547739
2023-08-04,0.47,0.5308025125628141
2023-08-03,-0.43,0.5168527638190955
2023-08-02,-1.36,0.5092045226130654
2023-08-01,-0.43,0.5189884422110553
2023-07-31,0.07,0.5045412060301507
2023-07-28,0.02,0.524735175879397
2023-07-27,0.21,0.530170351758794
2023-07-26,-0.19,0.527229648241206
2023-07-25,0.17,0.5318678391959799
2023-07-24,0.19,0.5287170854271357
2023-07-21,0.23,0.5490185929648241
2023-07-20,0.76,0.5323150753768844
2023-07-19,1.8,0.528908040201005
2023-07-18,0.64,0.523119095477387
2023-07-17,-0.38,0.5230688442211056
2023-07-14,-0.08,0.5296587939698493
2023-07-13,0.32,0.5195165829145728
2023-07-12,1.83,0.5256874371859297
2023-07-11,0.12,0.5160819095477387
2023-07-10,0.23,0.5179587939698492
2023-07-07,-0.32,0.5321859296482412
2023-07-06,-2.17,0.5229919597989949
2023-07-05,-1.03,0.5237959798994974
2023-07-04,-0.1,0.5219542713567838
2023-07-03,-0.06,0.5232814070351759
2023-06-30,0.8,0.5185994974874372
2023-06-29,-0.38,0.5270572864321608
2023-06-28,0.52,0.5085221105527638
2023-06-27,0.11,0.5087381909547739
2023-06-26,-0.11,0.5156477386934674
2023-06-23,-0.54,0.5347090452261306
2023-06-22,-0.76,0.5227130653266331
2023-06-21,-0.13,0.5250507537688442
2023-06-20,-0.25,0.5148100502512563
2023-06-19,-0.71,0.5223778894472362
2023-06-16,0.19,0.5501475
2023-06-15,0.34,0.5359788944723618
2023-06-14,0.1,0.5329587939698492
2023-06-13,0.32,0.5327125628140703
2023-06-12,0.11,0.5206356783919598
2023-06-09,-0.49,0.5438798994974875
2023-06-08,-0.32,0.5182412060301508
2023-06-07,-0.05,0.5073417085427135
2023-06-06,0.37,0.5066582914572865
2023-06-05,-0.1,0.513
2023-06-02,1.56,0.5355854271356785
2023-06-01,0.59,0.5163085427135679
2023-05-31,-1.01,0.5152733668341709
2023-05-30,-1.38,0.5124492462311558
2023-05-26,0.74,0.539391959798995
2023-05-25,-0.74,0.5330874371859297
2023-05-24,-1.75,0.5146904522613065
2023-05-23,-0.1,0.5137010050251256
2023-05-22,0.18,0.5123286432160804
2023-05-19,0.19,0.5180331658291457
2023-05-18,0.25,0.5181954773869347
2023-05-17,-0.36,0.5192331658291457
2023-05-16,-0.34,0.5144819095477386
2023-05-15,0.3,0.4990798994974874
2023-05-12,0.31,0.5192683417085427
2023-05-11,-0.14,0.5158462311557789
2023-05-10,-0.29,0.5115597989949748
2023-05-09,-0.18,0.5031125628140704
2023-05-05,0.98,0.5141738693467337
2023-05-04,-1.1,0.5215497487437186
2023-05-03,0.2,0.5148914572864322
2023-05-02,-1.24,0.5134894472361808
2023-04-28,0.5,0.5209175879396984
2023-04-27,-0.27,0.5055949748743719
2023-04-26,-0.49,0.5087658291457287
2023-04-25,-0.27,0.5058864321608041
2023-04-24,-0.02,0.4984090452261306
2023-04-21,0.15,0.5196211055276382
2023-04-20,0.05,0.5191989949748743
2023-04-19,-0.13,0.5107507537688442
2023-04-18,0.38,0.5147658291457287
2023-04-17,0.1,0.5073788944723618
2023-04-14,0.36,0.5165095477386934
2023-04-13,0.24,0.5077306532663316
2023-04-12,0.5,0.5068914572864321
2023-04-11,0.57,0.5027457286432161
2023-04-06,1.03,0.5321638190954774
2023-04-05,0.37,0.514294472361809
2023-04-04,-0.5,0.5237869346733668
2023-04-03,0.54,0.5183246231155779
2023-03-31,0.15,0.5242341708542714
2023-03-30,0.74,0.5041879396984924
2023-03-29,1.07,0.5014090452261306
2023-03-28,0.17,0.4946954773869347
2023-03-27,0.9,0.502027135678392
2023-03-24,-1.26,0.495799
2023-03-23,-0.89,0.5024219999999999
2023-03-22,0.41,0.502182
2023-03-21,1.79,0.5010170854271356
2023-03-20,0.93,0.4923989949748743
2023-03-17,-1.01,0.519848
2023-03-16,0.89,0.508537
2023-03-15,-3.83,0.499982
2023-03-14,1.17,0.507217
2023-03-13,-2.58,0.502632
2023-03-10,-1.67,0.5193180000000001
2023-03-09,-0.63,0.504402
2023-03-08,0.13,0.503432
2023-03-07,-0.13,0.5053145
2023-03-06,-0.22,0.5011595
2023-03-03,0.04,0.5222955
2023-03-02,0.37,0.5007545
2023-03-01,0.49,0.5054495
2023-02-28,-0.74,0.5012595000000001
2023-02-27,0.72,0.4935895
2023-02-24,-0.37,0.5173805
2023-02-23,-0.29,0.5119454999999999
2023-02-22,-0.59,0.5080945
2023-02-21,-0.46,0.5119695
2023-02-20,0.12,0.5033995
2023-02-17,-0.1,0.5182105
2023-02-16,0.18,0.5122755
2023-02-15,0.55,0.5108855
2023-02-14,0.08,0.4970819999999999
2023-02-13,0.83,0.5165855
2023-02-10,-0.36,0.5144105
2023-02-09,0.33,0.5073555000000001
2023-02-08,0.26,0.5073495
2023-02-07,0.36,0.5007595
2023-02-06,-0.82,0.4920994999999999
2023-02-03,1.04,0.5140705
2023-02-02,0.76,0.5109145
2023-02-01,-0.14,0.4991305
2023-01-31,-0.17,0.4954894999999999
2023-01-30,0.25,0.4961045
2023-01-27,0.05,0.5187055
2023-01-26,0.21,0.4966205
2023-01-25,-0.16,0.4840655
2023-01-24,-0.35,0.4801045
2023-01-23,0.18,0.4774145
2023-01-20,0.3,0.5034105
2023-01-19,-1.07,0.4776705
